employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
"PBS West, LLC","Jul 07, 2023",,WARN,Reno,89502,7 - ARIZONA@WORK Maricopa County,,718,https://www.azjobconnection.gov/search/warn_lookups/718
Owens Corning,"Jul 19, 2023",63,WARN,Eloy,85131,2003 - ARIZONA@WORK Pinal County,"2101 W. Battaglia Road; Eloy, Arizona 85131",720,https://www.azjobconnection.gov/search/warn_lookups/720
BMO Harris Bank N.A.,"Jul 10, 2023",81,WARN,Tempe,85282,7 - ARIZONA@WORK Maricopa County,"1625 W Fountainhead Parkway; Tempe, Arizona 85282",719,https://www.azjobconnection.gov/search/warn_lookups/719
TransDev Services (Valley Metro Phoenix Paratransit 549),"Jul 25, 2023",135,WARN,Phoenix,85034,7 - ARIZONA@WORK Maricopa County,"120 North 44th Street; Phoenix, Arizona 85034",721,https://www.azjobconnection.gov/search/warn_lookups/721
TD SYNNEX,"Sep 18, 2023",,WARN,Chandler,85226,7 - ARIZONA@WORK Maricopa County,,738,https://www.azjobconnection.gov/search/warn_lookups/738
Bank of the West - BMO Bank,"Sep 19, 2023",112,WARN,Tempe,85282,7 - ARIZONA@WORK Maricopa County,"1625 W. Fountainhead Parkway; Tempe, Arizona 85282",740,https://www.azjobconnection.gov/search/warn_lookups/740
Novemball USA Inc,"Jul 28, 2023",100,WARN,Peoria,85381,7 - ARIZONA@WORK Maricopa County,"8606 West Ludlow Drive; Peoria, Arizona 85381",722,https://www.azjobconnection.gov/search/warn_lookups/722
Shaw Industries Group Inc.,"Sep 19, 2023",250,WARN,Dalton,30720,9 - ARIZONA@WORK Yuma County,"616 E. Walnut Ave; Dalton, Georgia 30720",739,https://www.azjobconnection.gov/search/warn_lookups/739
First Savings Bank,"Sep 29, 2023",,WARN,Jeffersonville,47130,7 - ARIZONA@WORK Maricopa County,,741,https://www.azjobconnection.gov/search/warn_lookups/741
Hyatt Corporation,"Jan 13, 2022",152,WARN,Scottsdale,85258,7 - ARIZONA@WORK Maricopa County,"7700 E. McCormick Parkway ; Scottsdale, Arizona 85258",652,https://www.azjobconnection.gov/search/warn_lookups/652
Bed Bath Beyond California Limited,"Jan 26, 2022",17,Non-WARN,Yuma,85365,9 - ARIZONA@WORK Yuma County,"1212 S. Castle Dome Ave.; Yuma, Arizona 85365",653,https://www.azjobconnection.gov/search/warn_lookups/653
Peloton,"Feb 08, 2022",52,WARN,New York,10001,7 - ARIZONA@WORK Maricopa County,"441 9th Avenue; New York, New York 10001",655,https://www.azjobconnection.gov/search/warn_lookups/655
Habitat for Humanity - ReStore,"Feb 28, 2022",3,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"1245 S. 4th Ave; Yuma, Arizona 85364",656,https://www.azjobconnection.gov/search/warn_lookups/656
Jordan Manufacturing,"Jun 14, 2022",33,Non-WARN,Yuma,85365,9 - ARIZONA@WORK Yuma County,"3860 S. Arizona Ave. ; Yuma, Arizona 85365",657,https://www.azjobconnection.gov/search/warn_lookups/657
Honeywell Chandler,"May 13, 2022",40,WARN,Chandler,85226,7 - ARIZONA@WORK Maricopa County,"6505 W. Chandler Blvd; Chandler, Arizona 85226",658,https://www.azjobconnection.gov/search/warn_lookups/658
Kirkland's Home,"Jun 22, 2022",6,Non-WARN,Yuma,85365,9 - ARIZONA@WORK Yuma County,"1496 Yuma Palms Pkwy; Yuma, Arizona 85365",660,https://www.azjobconnection.gov/search/warn_lookups/660
Hunter Douglas,"Feb 03, 2022",111,WARN,Phoenix,85043,7 - ARIZONA@WORK Maricopa County,"Claudia Flores, 601 South 65th Ave, Suite 6; Phoenix, Arizona 85043",654,https://www.azjobconnection.gov/search/warn_lookups/654
Home Point Financial Corporation d/b/a Homepoint,"Nov 17, 2022",,WARN,Chandler,85224,7 - ARIZONA@WORK Maricopa County,,673,https://www.azjobconnection.gov/search/warn_lookups/673
Santa Cruz Valley Regional Hospital (SCVRH),"Jun 20, 2022",315,WARN,Green Valley,85614,6 - ARIZONA@WORK Pima County,"4455 S 1-19 Frontage Road; Green Valley, Arizona 85614",661,https://www.azjobconnection.gov/search/warn_lookups/661
Ross Innovative Employment Solutions Corp.,"Jun 28, 2022",1,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"3850 W. 16th Street, STE A; Yuma, Arizona 85364",663,https://www.azjobconnection.gov/search/warn_lookups/663
Factory 2U (Fallas Paredes),"Jun 30, 2022",9,Non-WARN,San Luis,85349,9 - ARIZONA@WORK Yuma County,"527 N. Main St.; San Luis, Arizona 85349",664,https://www.azjobconnection.gov/search/warn_lookups/664
"AMMA Investment Group, LLC","Aug 18, 2022",103,WARN,Amado,85645,8 - ARIZONA@WORK Santa Cruz County,"2935 East Frontage Rd; Amado, Arizona 85645",670,https://www.azjobconnection.gov/search/warn_lookups/670
Community Health Associates,"Dec 19, 2022",11,WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"2851 S. Ave B Building 4; Yuma, Arizona 85364",676,https://www.azjobconnection.gov/search/warn_lookups/676
Davis Custom Welding & Steel Supply,"Aug 01, 2022",5,Non-WARN,Yuma,85365,9 - ARIZONA@WORK Yuma County,"1875 E. 9th St.; Yuma, Arizona 85365",666,https://www.azjobconnection.gov/search/warn_lookups/666
"Robinhood Markets, Inc","Aug 03, 2022",,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,,667,https://www.azjobconnection.gov/search/warn_lookups/667
eegee’s LLC,"Aug 09, 2022",23,WARN,Tucson,85713,6 - ARIZONA@WORK Pima County,"3360 E. Ajo Way; Tucson, Arizona 85713",668,https://www.azjobconnection.gov/search/warn_lookups/668
Ball Corp.,"Aug 03, 2022",120,Non-WARN,Phoenix,85043,5 - ARIZONA@WORK City of Phoenix,"211 N. 51st Ave.; Phoenix, Arizona 85043",669,https://www.azjobconnection.gov/search/warn_lookups/669
"Holsum Bakery, Inc.","Sep 01, 2022",213,WARN,Phoenix,85009,5 - ARIZONA@WORK City of Phoenix,"2322 W. Lincoln St.; Phoenix, Arizona 85009",672,https://www.azjobconnection.gov/search/warn_lookups/672
Home Point Financial Corporation d/b/a Homepoint,"Sep 01, 2022",113,WARN,Chandler,85224,7 - ARIZONA@WORK Maricopa County,"2525 West Frye Road, Suite 115, Suite 200; Chandler, Arizona 85224",671,https://www.azjobconnection.gov/search/warn_lookups/671
Honeywell Phoenix (Buckeye),"Jul 14, 2022",133,WARN,Phoenix,85043,5 - ARIZONA@WORK City of Phoenix,"4570 W Lower Buckeye Road; Phoenix, Arizona 85043",665,https://www.azjobconnection.gov/search/warn_lookups/665
Cardenas Markets LLC,"Dec 16, 2022",63,WARN,Tucson,85741,6 - ARIZONA@WORK Pima County,"902 W. Irvington; Tucson, Arizona 85741",675,https://www.azjobconnection.gov/search/warn_lookups/675
"Freshly, LLC.","Dec 05, 2022",500,WARN,Phoenix,85043,5 - ARIZONA@WORK City of Phoenix,"610 S 56th Ave.; Phoenix, Arizona 85043",674,https://www.azjobconnection.gov/search/warn_lookups/674
"NE AZ LWDB Show Low, AZ: Native Wings Complex Fire","Feb 04, 2022",60,Non-WARN,Show Low,85901,2002 - ARIZONA@WORK Northeastern Arizona,"391 W Deuce of Clubs; Show Low, Arizona 85901",659,https://www.azjobconnection.gov/search/warn_lookups/659
"TuSimple, Inc.","Dec 22, 2022",135,WARN,Tucson,85747,6 - ARIZONA@WORK Pima County,"9538 E Old Vail Rd.; Tucson, Arizona 85747",677,https://www.azjobconnection.gov/search/warn_lookups/677
Bed Bath & Beyond,"Sep 22, 2022",120,Non-WARN,Tucson,85748,6 - ARIZONA@WORK Pima County,"Gil; Tucson, Arizona 85748",683,https://www.azjobconnection.gov/search/warn_lookups/683
EQUUS Workforce Solutions,"Jun 27, 2022",4,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"3842 W. 16th Street; Yuma, Arizona 85364",662,https://www.azjobconnection.gov/search/warn_lookups/662
XPO Logistics,"Jan 29, 2021",85,Non-WARN,Phoenix,85043,5 - ARIZONA@WORK City of Phoenix,"7037 W. Van Buren; Phoenix, Arizona 85043",635,https://www.azjobconnection.gov/search/warn_lookups/635
XPO Logistics,"Jan 29, 2021",85,Non-WARN,Phoenix,85043,5 - ARIZONA@WORK City of Phoenix,"7037 W. Van Buren; Phoenix, Arizona 85043",636,https://www.azjobconnection.gov/search/warn_lookups/636
AeroGuard,"Feb 12, 2021",92,WARN,,,5 - ARIZONA@WORK City of Phoenix,,637,https://www.azjobconnection.gov/search/warn_lookups/637
Collins Aerospace,"Mar 15, 2021",95,WARN,Phoenix,85040,7 - ARIZONA@WORK Maricopa County,"3445 S. 5th Street; Phoenix, Arizona 85040",638,https://www.azjobconnection.gov/search/warn_lookups/638
Chapel Haven Schleifer Center,"Mar 12, 2021",,Non-WARN,Tucson,85719,6 - ARIZONA@WORK Pima County,,639,https://www.azjobconnection.gov/search/warn_lookups/639
SPS N95 Manufacturing,"May 26, 2021",727,WARN,Phoenix,85034,5 - ARIZONA@WORK City of Phoenix,"402 S. 36th St; Phoenix, Arizona 85034",640,https://www.azjobconnection.gov/search/warn_lookups/640
Farmers Investment Co / The Green Valley Pecan Company,"Sep 24, 2021",137,Non-WARN,Sahuarita,85629,6 - ARIZONA@WORK Pima County,"1625 E Sahuarita Rd; Sahuarita, Arizona 85629",645,https://www.azjobconnection.gov/search/warn_lookups/645
"Toca Madera Management LLC dba/aka The Madera Group, LLC","Sep 09, 2021",153,WARN,Scottsdale,85251,7 - ARIZONA@WORK Maricopa County,"4736 N Goldwater Blvd; Scottsdale, Arizona 85251",646,https://www.azjobconnection.gov/search/warn_lookups/646
National Education Partners,"Nov 04, 2021",423,WARN,Scottsdale,85255,7 - ARIZONA@WORK Maricopa County,"8667 E. Hartford Drive, Suite 100; Scottsdale, Arizona 85255",648,https://www.azjobconnection.gov/search/warn_lookups/648
Katerra Inc.,"Jun 01, 2021",251,WARN,Scottsdale,85258,7 - ARIZONA@WORK Maricopa County,"9305 East Via de Ventura, Suite 200; Scottsdale, Arizona 85258",641,https://www.azjobconnection.gov/search/warn_lookups/641
"Central Freight Lines, Inc.","Dec 14, 2021",100,WARN,Phoenix,85043,5 - ARIZONA@WORK City of Phoenix,"3450 S. 59th Ave; Phoenix, Arizona 85043",649,https://www.azjobconnection.gov/search/warn_lookups/649
"Monitronics International, Inc. d/b/a Brinks Home","Dec 17, 2021",,WARN,Phoenix,85004,5 - ARIZONA@WORK City of Phoenix,,650,https://www.azjobconnection.gov/search/warn_lookups/650
EQUUS Workforce Solutions,"Jun 02, 2021",9,Non-WARN,Yuma,85364,9 - ARIZONA@WORK Yuma County,"3826 West 16th Street; Yuma, Arizona 85364",643,https://www.azjobconnection.gov/search/warn_lookups/643
Ironwood Assisted Living,"Jun 02, 2021",10,Non-WARN,Yuma,85367,9 - ARIZONA@WORK Yuma County,"11893 South Ironwood Drive; Yuma, Arizona 85367",642,https://www.azjobconnection.gov/search/warn_lookups/642
Honeywell,"Nov 17, 2021",81,WARN,Chandler,85226,7 - ARIZONA@WORK Maricopa County,"6760 W. Chicago Street; Chandler, Arizona 85226",651,https://www.azjobconnection.gov/search/warn_lookups/651
"Centurion Detention Health Services, LLC","Aug 17, 2021",,WARN,Tucson,85713,6 - ARIZONA@WORK Pima County,,644,https://www.azjobconnection.gov/search/warn_lookups/644
"ZILLOW GROUP, Inc.","Nov 04, 2021",61,WARN,Scottsdale,85251,7 - ARIZONA@WORK Maricopa County,"4343 N. Scottsdale Rd. Suite 390; Scottsdale, Arizona 85251",647,https://www.azjobconnection.gov/search/warn_lookups/647
Grand Canyon Scenic Airlines,"Sep 03, 2020",105,WARN,Grand Canyon,86023,10 - ARIZONA@WORK Coconino County,"South Rim, Hwy 64PO Box 455; Grand Canyon, Arizona 86023",621,https://www.azjobconnection.gov/search/warn_lookups/621
Sam Levits,"Mar 25, 2020",628,WARN,,,6 - ARIZONA@WORK Pima County,,427,https://www.azjobconnection.gov/search/warn_lookups/427
Onni Properties,"Mar 25, 2020",240,WARN,,,5 - ARIZONA@WORK City of Phoenix,,425,https://www.azjobconnection.gov/search/warn_lookups/425
Go Rentals,"Mar 23, 2020",275,WARN,Phoenix,85006,7 - ARIZONA@WORK Maricopa County,"Arizona; Phoenix, Arizona 85006",416,https://www.azjobconnection.gov/search/warn_lookups/416
Passport Health,"Mar 23, 2020",65,WARN,Scottsdale,85262,7 - ARIZONA@WORK Maricopa County,"8324 E. Hartford Drive; Scottsdale, Arizona 85262",417,https://www.azjobconnection.gov/search/warn_lookups/417
CMA CGM (America) LLC,"Jan 03, 2020",100,WARN,Scottsdale,85254,7 - ARIZONA@WORK Maricopa County,"16220 North Scottsdale Avenue, suite 400; Scottsdale, Arizona 85254",394,https://www.azjobconnection.gov/search/warn_lookups/394
"Macy's Credit and Customer Services, Inc.","Jan 06, 2020",843,WARN,Tempe,85281,7 - ARIZONA@WORK Maricopa County,"1345 South 52nd Street; Tempe, Arizona 85281",395,https://www.azjobconnection.gov/search/warn_lookups/395
Constant Aviation,"Jan 10, 2020",50,Non-WARN,Mesa,85212,7 - ARIZONA@WORK Maricopa County,"5615 S. Sossaman  Rd; Mesa, Arizona 85212",396,https://www.azjobconnection.gov/search/warn_lookups/396
Denny's (Beshay Enterprises),"Mar 23, 2020",63,WARN,Casa Grande,85122,,"1851 E Florence Blvd; Casa Grande, Arizona 85122",418,https://www.azjobconnection.gov/search/warn_lookups/418
