employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Sears,"May 31, 2022",5,Non-WARN,Colby,67701,1 - Workforce Investment Area I,"1937 S. Range; Colby, Kansas 67701",2159,https://www.kansasworks.com/search/warn_lookups/2159
Cox Farms,"May 31, 2022",,Non-WARN,Long Island,67647,1 - Workforce Investment Area I,,2160,https://www.kansasworks.com/search/warn_lookups/2160
Sears,"May 31, 2022",3,Non-WARN,Newton,67114,1 - Workforce Investment Area I,"505 N. Poplar; Newton, Kansas 67114",2161,https://www.kansasworks.com/search/warn_lookups/2161
Party City,"Apr 28, 2022",4,Non-WARN,Salina,67401,1 - Workforce Investment Area I,"2855 Market Pl; Salina, Kansas 67401",2162,https://www.kansasworks.com/search/warn_lookups/2162
Siemens,"May 20, 2022",92,WARN,Hutchinson,67501,1 - Workforce Investment Area I,"1000 Commerce St.; Hutchinson, Kansas 67501",2163,https://www.kansasworks.com/search/warn_lookups/2163
SSB Manufacturing Company,"Jun 01, 2022",,WARN,Lenexa,66227,3 - Workforce Investment Area III,,2164,https://www.kansasworks.com/search/warn_lookups/2164
Amemtum PAE,"Jun 13, 2022",18,WARN,Overland Park,66213,3 - Workforce Investment Area III,"7600 West 119th Street; Overland Park, Kansas 66213",2165,https://www.kansasworks.com/search/warn_lookups/2165
GreenAcres Market,"Jun 07, 2022",2,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,"2315 W 21st St Suite 115; Wichita, Kansas 67203",2166,https://www.kansasworks.com/search/warn_lookups/2166
First Baptist Childcare,"Sep 30, 2022",15,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",2167,https://www.kansasworks.com/search/warn_lookups/2167
The Citizen's Bank,"Sep 06, 2022",,Non-WARN,Moundridge,67107,1 - Workforce Investment Area I,,2168,https://www.kansasworks.com/search/warn_lookups/2168
Dales Furniture,"Sep 23, 2022",5,Non-WARN,Garden City,67846,1 - Workforce Investment Area I,"705 W Kansas Ave; Garden City, Kansas 67846",2169,https://www.kansasworks.com/search/warn_lookups/2169
Westlake Hardware,"Sep 23, 2022",10,Non-WARN,Garden City,67846,1 - Workforce Investment Area I,"1210 Fleming St; Garden City, Kansas 67846",2170,https://www.kansasworks.com/search/warn_lookups/2170
Jimmy John's,"Sep 23, 2022",6,Non-WARN,Garden City,67846,1 - Workforce Investment Area I,"501 E Kansas Ave; Garden City, Kansas 67846",2171,https://www.kansasworks.com/search/warn_lookups/2171
Whispering Pines,"Aug 29, 2022",0,Non-WARN,Norton,67654,1 - Workforce Investment Area I,"200 Whispering Pines Ave; Norton, Kansas 67654",2172,https://www.kansasworks.com/search/warn_lookups/2172
Almost Home,"Sep 23, 2022",5,Non-WARN,Great Bend,67530,1 - Workforce Investment Area I,"1919 Van Buren; Great Bend, Kansas 67530",2173,https://www.kansasworks.com/search/warn_lookups/2173
Robby's Famous Cheesecake,"Nov 10, 2022",4,Non-WARN,Salina,67401,1 - Workforce Investment Area I,"156 S. Santa Fe; Salina, Kansas 67401",2174,https://www.kansasworks.com/search/warn_lookups/2174
Yoder Smokers,"Nov 14, 2022",8,Non-WARN,Hutchinson,67501,1 - Workforce Investment Area I,"1816 E Wasp Rd; Hutchinson, Kansas 67501",2175,https://www.kansasworks.com/search/warn_lookups/2175
Harper Camperland,"Nov 18, 2022",3,Non-WARN,Great Bend,67530,1 - Workforce Investment Area I,"1200 10th St.; Great Bend, Kansas 67530",2176,https://www.kansasworks.com/search/warn_lookups/2176
Kansas Masonic Home,"Dec 31, 2022",100,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,"2021 N. Amidon Ave #1100; Wichita, Kansas 67203",2177,https://www.kansasworks.com/search/warn_lookups/2177
Matrix Bottles,"Nov 11, 2022",,Non-WARN,Wichita,67203,4 - Workforce Investment Area IV,,2178,https://www.kansasworks.com/search/warn_lookups/2178
Masterbrand,"Dec 05, 2022",458,WARN,Newton,67114,1 - Workforce Investment Area I,"900 S. Meridian; Newton, Kansas 67114",2179,https://www.kansasworks.com/search/warn_lookups/2179
"VVF Kansas Services, LLC","Dec 12, 2022",76,WARN,Kansas City,66105,3 - Workforce Investment Area III,"1705 Kansas Avenue; Kansas City, Kansas 66105",2180,https://www.kansasworks.com/search/warn_lookups/2180
Logan's Roadhouse,"Oct 18, 2022",,Non-WARN,Wichita,67205,4 - Workforce Investment Area IV,,2198,https://www.kansasworks.com/search/warn_lookups/2198
Christopher & Banks,"Jan 20, 2021",4,Non-WARN,,,1 - Workforce Investment Area I,,2133,https://www.kansasworks.com/search/warn_lookups/2133
Christopher & Banks,"Jan 01, 2021",15,Non-WARN,,,4 - Workforce Investment Area IV,,2134,https://www.kansasworks.com/search/warn_lookups/2134
Northern Sun,"Feb 03, 2021",47,Non-WARN,Goodland,67735,1 - Workforce Investment Area I,"6425 Rd. 14; Goodland, Kansas 67735",2136,https://www.kansasworks.com/search/warn_lookups/2136
Chemstar,"Jan 28, 2021",11,Non-WARN,Mcpherson,67460,1 - Workforce Investment Area I,"503 W. Hayes; Mcpherson, Kansas 67460",2138,https://www.kansasworks.com/search/warn_lookups/2138
Christopher & Banks,"Jan 26, 2021",6,Non-WARN,Salina,67401,1 - Workforce Investment Area I,"2259 S. 9th; Salina, Kansas 67401",2131,https://www.kansasworks.com/search/warn_lookups/2131
Christopher & Banks,"Jan 20, 2021",,Non-WARN,Liberal,67901,1 - Workforce Investment Area I,,2132,https://www.kansasworks.com/search/warn_lookups/2132
Learjet,"Apr 07, 2021",,WARN,Wichita,67209,4 - Workforce Investment Area IV,,2142,https://www.kansasworks.com/search/warn_lookups/2142
GE Aviation,"Apr 08, 2021",14,Non-WARN,Arkansas City,67005,4 - Workforce Investment Area IV,"Strother Fld, Arkansas City, KS 67005; Arkansas City, Kansas 67005",2141,https://www.kansasworks.com/search/warn_lookups/2141
