,company_name,location,notice_date,employees_affected
145,Halls on Exchange,Charleston,3/18/2020,83.0
146,Halls on the Creek,Greenville,3/18/2020,132.0
147,Halls Chophouse Nexton,Summerville,3/18/2020,151.0
148,Husqvarna ConsumerOutdoor,Orangeburg,3/30/2020,850.0
149,Beach House Resort,Hilton Head Island,3/23/2020,57.0
150,GITI Tire Manufacturing,Richburg,4/4/2020,636.0
151,Palmetto Brewing,Charleston,3/21/2020,9.0
152,Peak Workforce Solutions,York,4/8/2020,38.0
153,Newbold Services,Graniteville,4/8/2020,38.0
154,Peak Workforce Solutions,Seneca,4/8/20/20,65.0
155,Newbold Services,Gray Court,4/8/2020,32.0
156,IHG Army Hotels,Fort Jackson,4/10/2020,70.0
157,Medieval TimesMedieval Knights,Myrtle Beach,4/12/2020,131.0
158,Kravet Inc,Anderson,4/8/2020,54.0
159,Peak Workforce Solutions,Manning,4/8/2020,27.0
160,Fiber Industries LLC,Darlington,4/6/2020,136.0
161,John Manville,Spartanburg,4/10/2020,6.0
162,The YMCA,Barnwell/Graniteville/North Augusta,4/24/2020,
163,Alupress,Laurens,4/10/2020,125.0
164,Invista Sarl,Lugoff,6/16/2020,71.0
165,HGC Port Royal LLC,Hilton Head,3/25/2020,31.0
166,HGC Shipyard LLC,Hilton Head,3/25/2020,25.0
167,HGC Oyster Reef,Hilton Head,3/25/2020,17.0
168,Southern Specialty FinanceInc,Statewide,5/1/2020,26.0
169,Peak Workforce Solutions,Manning,4/15/2020,26.0
170,Peak Workforce Solutions,Lake City,4/15/2020,39.0
171,TTX Company,North Augusta,4/22/2020,80.0
172,Visionworks,Greenville,4/4/2020,7.0
173,Visionworks,Mrytle Beach,4/4/2020,5.0
174,Arauco NA,Bennettsville,5/18/2020,126.0
175,Liberty Steel GeorgetownInc,Georgetown,5/15/2020,130.0
176,OS Restaurant ServicesLLC,Statewide,04/27/2020,2476.0
177,Enterprise,Columbia/Greer,4/30/2020,359.0
178,Hard Rock Cafe,Myrtle Beach,4/13/2020,82.0
179,Charleston Embassy Suites,Charleston,3/12/2020,140.0
180,Embassy SuitesBy Hilton,Columbia,3/12/2020,117.0
181,Alsco,Charleston,3/18/2020,36.0
182,Asbury dba Lexus ofGreenville,Greenville,5/1/2020,2.0
183,Asbury dba JLPV ofGreenville,Greenville,5/1/2020,2.0
184,Kravet Inc,Anderson,5/1/2020,21.0
185,Hilton Greenville,Greenville,3/14/2020,67.0
186,Interfor – Company Facility,Georgetown,4/27/2020,114.0
187,Cox Automotive,Darlington,5/17/2020,75.0
188,Greenville Embassy Suites,Greenville,3/12/2020,137.0
189,TTX,North Augusta,5/12/2020,97.0
190,Transdev,Midlands,6/30/2020,147.0
191,Transport Care Services,Midlands,6/30/2020,57.0
192,Mayville EngineeringCompany,Greenwood,7/6/2020,165.0
193,Preserve at Verdae,Greenville,3/12/2020,52.0
194,Hotel Bennett,Charleston,5/31/2020,153.0
195,James Hardie BuildingProducts Inc,Summerville,7/3/2020,60.0
196,North Charleston EmbassySuites,North Charleston,3/12/2020,118.0
197,TC TranscontinentalPackaging,Spartanburg,7/31/2020,106.0
198,Oppermann,Anderson,8/1/2020,20.0
199,The State Media Company,Columbia,7/26/2020,135.0
200,Akebono BrakeCorporation,West Columbia,8/1/2020,351.0
201,Wild Dunes Resort,Isle of Palms,6/15/2020,88.0
202,King Charles Inn,Charleston,5/14/2020,50.0
203,Toray CMA,Moore,6/7/2020,90.0
204,"Warehouse Services, Inc",Woodruff,3/22/2020,79.0
205,"Warehouse Services, Inc",Liberty,3/22/2020,89.0
206,Renaissance Charleston,Charleston,3/21/2020,60.0
207,Wild Dunes Resort,Isle of Palms,6/1/2020,70.0
208,Durham School Services,Charleston County,6/30/2020,465.0
209,Flex,West Columbia,8/31/2020,188.0
210,WestRock,North Charleston,8/16/2020,21.0
211,"Tyson Prepared Foods, Inc.",Columbia,8/14/2020,146.0
212,John Manville,Spartanburg,6/16/2020,10.0
213,John Manville,Spartanburg,5/15/2020,30.0
214,Amentum,Statewide,8/28/2020,10.0
215,Renaissance CharlestonHistoric District Hotel,Charleston,8/26/2020,60.0
216,Wyndham Mills House,Charleston,7/1/2020,77.0
217,Hilton Grand Vacations,Myrtle Beach,7/1/2020,112.0
218,Delaware North,Charleston,7/1/2020,120.0
219,Beneteau Boat Plant,Marion,9/16/2020,180.0
220,DoubleTree by Hilton,Myrtle Beach,7/22/2020,6.0
221,Shadwell Farm,Camden,8/31/2020,50.0
222,Cooper Standard,Spartanburg,3/20/2020,520.0
223,ARD Logistics,Ladson,9/30/2020,106.0
224,HMSHost,Myrtle Beach,10/15/2020,3.0
225,Avis Budget Group,Myrtle Beach,8/28/2020,3.0
226,Avis Budget Group,North Charleston,8/28/2020,12.0
227,Avis Budget Group,Greer,8/28/2020,19.0
228,Renaissance CharlestonHistoric District Hotel,Charleston,9/22/2020,60.0
229,SYKES,Kingstree,10/31/2020,99.0
230,VISTANA MBMANAGEMENT INCSheraton BroadwayPlanation,Myrtle Beach,11/13/2020,1.0
231,"VSE Myrtle Beach, LLCSheraton BroadwayPlanation",Myrtle Beach,11/13/2020,67.0
232,PCA of America,Newberry,11/16/2020,81.0
233,Elevate Textiles,Carlisle,11/15/2020,120.0
234,Wild Dunes,Isle of Palms,9/26/2020,24.0
235,P.F. Chang’s China Bistro,Greenville,9/17/2020,75.0
236,P.F. Chang’s China Bistro,Mt. Pleasant,9/17/2020,75.0
237,P.F. Chang’s China Bistro,Myrtle Beach,9/17/2020,75.0
238,Sodexo – Lexington TwoDistrict Education Center,West Columbia,9/21/2020,89.0
239,"VSE Myrtle Beach, LLCSheraton BroadwayPlantation",Myrtle Beach,11/13/2020,69.0
240,Mann+Hummel,Dillon,12/24/2020,196.0
241,Century Aluminum,Goose Creek,12/31/2020,289.0
242,"ABM Janitorial, Inc",Kershaw,11/1/2020,
243,Terex USA LLC,Rock Hill,1/1/2021,144.0
244,Liberty Steel GeorgetownInc,Georgetown,12/28/2020,104.0
245,"C & S Wholesale Services,Inc",Greenville,1/8/2021,287.0
246,"Sodexo, Inc. – NewberryCollege",Newberry,3/1/2020,51.0
247,DISH Network(RemanufacturingOperations),Spartanburg,3/5/2021,150.0
248,"VSE Myrtle Beach, LLCSheraton Broadway",Myrtle Beach,1/22/2021,1.0
249,Cardinal Health,Fort Mill,1/29/2021,66.0
250,Mundy Service Corporation,Gaston,3/31/2021,132.0
251,"LSC Communications US,LLC",Spartanburg,2/18/2021,401.0
252,"C & S Wholesale Services,Inc",Greenville,2/19/2021,56.0
253,Cardinal Health,Fort Mill,2/26/2021,66.0
254,The Westin Hilton HeadIsland Resort & Spa,Hilton Head Island,3/21/2020,276.0
255,CB&I Project ServicesGroup,Aiken,3/4/2019,105.0
256,Orano Federal Services,Aiken,3/4/2019,13.0
257,"Lowe’s Companies, Inc",Charleston,3/25/2019,80.0
258,CB&I Project ServicesGroup,Aiken,4/1/2019,369.0
259,Orano Federal Services,Aiken,4/1/2019,38.0
260,Invista,Lugoff,4/12/2019,62.0
261,"Saulsbury Industries, Inc",Jenkinsville,3/14/2019,80.0
262,VF Jeanswear Limited,Greenville,4/13/2019,108.0
263,Masonite Corporations,Denmark,7/31/2019,95.0
264,Spectrum Pharmaceuticals,Bluffton,4/12/2019,1.0
265,"Thesys CAT, LLC",Charleston,4/15/2019,41.0
266,The RADGroup,Gaffney,4/16/2019,126.0
267,Walmart,Columbia,3/29/2019,
268,CB&I Project ServicesGroup,Aiken,4/1/2019,19.0
269,Hire Right,Chapin,5/31/2019,15.0
270,Hire Right,Columbia,5/31/2019,30.0
271,"ACS Industries, Inc",Manning,4/1/2019,31.0
272,HBD/Thermoid,Elgin,6/1/2019,59.0
273,Bon Secours Mercy Health,Greenville,5/31/2019,60.0
274,"Shaw Industries Group, Inc",Central,4/26/2019,249.0
275,"Plastic Omnium AutoExteriors, LLC",Anderson,6/28/2019,290.0
276,Vesuvius USA Corporation,Dillon,7/31/2019,
277,SCHAEFFLER,Fort Mill,7/31/2020,189.0
278,CB&I Project ServicesGroup,Aiken,6/10/2019,7.0
279,Gear Design &Manfacturing –AAM Charleston,North Charleston,8/01/2019,85.0
280,"United Sporting CompaniesEllett Brothers, LLC",Chapin,9/5/2019,173.0
281,Invista,Lugoff,9/2/2019,51.0
282,"Shaw Industries Group, Inc",Clinton,6/24/2019,113.0
283,CB&I Project ServicesGroup,Aiken,8/23/2019,29.0
284,Continental Powertrain,Fountain Inn,12/13/2019,40.0
285,AECOM (CTTR),South Carolina,9/30/2019,10.0
286,Pain ManagementAssociates,Statewide,08/20/2019,257.0
287,TFE LogisticsCedar Crest Rd,Spartanburg,10/30/2019,812.0
288,TFE LogisticsFalling Creek Rd,Spartanburg,10/30/2019,663.0
289,NAPA,Cayce,12/31/2019,46.0
290,Hydro,Belton,11/15/2019,172.0
291,"Amcor Rigid PackagingUSA, LLC",Blythewood,11/24/2019,39.0
292,TTEC Services Corporation,UnitedStates/Statewide,10/5/2019,13.0
293,Hire Right,Columbia,12/6/2019,38.0
294,BKI,Simpsonville,12/28/2019,80.0
295,Georgia-Pacific WoodProducts LLC,McCormick,12/21/2019,97.0
296,Georgia-PacificAllendale Facility,Fairfax,12/21/2019,142.0
297,Charter Communications,Greenville,9/12/2019,80.0
298,"DSV Solutions, LLC",Charleston,2/2/2020,69.0
299,Nippon Electric Glass,Chester,2/14/2020,145.0
300,"On Demand Publishing,LLC (1)",North Charleston,7/3/2018,58.0
301,Dish,Spartanburg,3/18/2018,60.0
302,Wellman (1),Johnsonville,3/6/2018,92.0
303,Kongsberg Automotive,Easley,3/17/2018,61.0
304,Walmart,Laurens,4/27/2018,86.0
305,Reliable ManagementSolutions,Lexington,3/31/2018,237.0
306,Coats & Clark,Greer,,61.0
307,BAE Systems,Summerville,9/27/2018,233.0
308,Lippert ComponentsManufacturing,Chester,6/30/2018,134.0
309,Family Medicine Centers ofSouth Carolina,Columbia/Irmo/West Columbia,5/31/2018,114.0
310,Sitel,SC – statewide,4/6/2018,8.0
311,"Warehouse Services, Inc",Graniteville,6/12/2018,180.0
312,ALICE Manufacturing,Easley,7/16/2018,182.0
313,GILDAN,Hamer,7/27/2018,54.0
314,ESAB Group,Union,5/25/2018,63.0
315,AFCO,Anderson,12/31/2018,395.0
316,KENCO,Summerville,8/31/2018,100.0
317,Wells Fargo,Fort Mill,8/20/2018,77.0
318,DHL,Spartanburg,9/15/2018,576.0
319,SYKES,Greenwood,9/13/2018,213.0
320,Aramark,Rock Hill,7/31/2018,182.0
321,Element TV Company,Winnsboro,10/5/2018,126.0
322,Verizon,North Charleston,9/29/2018,92.0
323,IHG,North Charleston,11/2/2018,626.0
324,BCBS,Florence,11/7/2018,133.0
325,BCBS,Surfside,11/7/2018,111.0
326,MPW Industrial Services,Greer,12/1/2018,75.0
327,"CB&I Project ServicesGroup, LLC",Aiken,1/7/2019,502.0
328,Orano Federal Services,Aiken,1/7/2019,114.0
329,Wells Fargo,Fort Mill,1/15/2019,111.0
330,"CB&I Project ServicesGroup, LLC",Aiken,2/4/2019,372.0
331,Orano Federal Services,Aiken,2/4/2019,70.0
332,Saulsbury Industries,Jenkensville,2/8/2019,110.0
333,Clarus Linen Systems,Spartanburg,2/17/2019,88.0
334,Apex Tool Group,Sumter,03/31/2017,161.0
335,Coveris High Performance,Anderson,04/06/2017,100.0
336,Dayco,Walterboro,06/30/2017,122.0
337,Dupont,Moncks Corner,06/30/2017,106.0
338,Sodexo,Columbia,06/30/2017,525.0
339,Aramark,Charleston,06/30/2017,151.0
340,Staples,Columbia,07/07/2017,221.0
341,JCPenney,Charleston,07/31/2017,58.0
342,Resolute Forest Products,CatawbaLancasterJonesville,07/31/2017,222.0
343,Providence Health`,Columbia,09/03/2017,112.0
344,Faiveley Phase I,Greenville,08/31/2017,1.0
345,Duracell,Lancaster,12/31/2018,345.0
346,Durafiber,Winnsboro,09/11/2017,240.0
347,PMC Corp,Clinton,09/29/2017,47.0
348,Fisher Barton,Fountain Inn,09/15/2017,100.0
349,BH Media Group,Florence,09/10/2017,63.0
350,Fluor Corporation,Jenkinsville,08/01/2017,4003.0
351,SCANA,Jenkinsville,09/30/2017,617.0
352,"CBI Services, LLC",Jenkinsville,07/31/2017,75.0
353,Westinghouse Electric,Jenkinsville,08/31/2017,561.0
354,Westinghouse Electric,Rock Hill,8/31/2017,113.0
355,Kongsberg Automotive,Easley,01/01/2018,97.0
356,APEX Tool Group,Sumter,11/03/2017,115.0
357,Faiveley Transport (PhaseII),Greenville,11/05/2017,6.0
358,Wells Fargo & Co,Fort Mill,07/13/2017,120.0
359,CB&I,Laurens,03/20/2018,250.0
360,Faiveley (Phase III),Greenville,11/30/2017,6.0
361,Faiveley (Final Phase),Greenville,12/30/2017,11.0
362,Cardinal LogisticsManagement,Blythewood,01/08/2018,102.0
363,"Frederick J. Hanna &Associates, PC",Greenville,02/10/2016,
364,ADS Logistics,Gaffney,02/15/2016,105.0
