,company_name,location,notice_date,employees_affected,WARN Type,Address,URL
82,"Cowley Distributing, Inc.",Jefferson City,"Sep 16, 2021",19.0,WARN,"732 Heisinger Road; Jefferson City, Missouri 65109",https://www.kansasworks.com/search/warn_lookups/2150
83,ADM,Salina,"Sep 24, 2021",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2151
84,Fuller Industries,Great Bend,"Sep 27, 2021",21.0,Non-WARN,"1 FullerWay; Great Bend, Kansas 67530",https://www.kansasworks.com/search/warn_lookups/2152
85,PAE,Falls Church,"Oct 01, 2021",22.0,WARN,"7799 Leesburg Pike, Suite 300 North; Falls Church, Virginia 22043",https://www.kansasworks.com/search/warn_lookups/2153
86,EmberHope,Newton,"Nov 02, 2021",4.0,Non-WARN,"900 W. Broadway; Newton, Kansas 67114",https://www.kansasworks.com/search/warn_lookups/2154
87,Beaty Brands,,"Jan 04, 2019",44.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1930
88,Lee Brand,,"Jan 14, 2019",93.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1931
89,Queen's Price Chopper,,"Jan 07, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1932
90,"XPO Logistics Worldwide, Inc.",,"Jan 24, 2019",136.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1933
91,ShopKo,,"Jan 22, 2019",14.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1935
92,ShopKo,,"Jan 10, 2019",13.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1936
93,ShopKo,,"Jan 25, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1937
94,Oswego Community Hospital,,"Feb 13, 2019",62.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1938
95,Oswego Community Clinic,,"Feb 13, 2019",2.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1939
96,Chetopa Community Clinic,,"Feb 13, 2019",2.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1940
97,Billy Sims Barbecue,,"Feb 13, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1942
98,ShopKo,,"Feb 04, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1943
99,ShopKo,,"Feb 08, 2019",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1944
100,Moon's Hometown Market,,"Feb 20, 2019",3.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1945
101,Moon's Hometown Market,,"Feb 20, 2019",3.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1946
102,Aaron's,,"Feb 19, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1947
103,"Payless ShoeSource, Inc.",,"Feb 19, 2019",211.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1948
104,McCormick Armstrong,,"Feb 21, 2019",60.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1949
105,Trinity Steel & Pipe Inc.,,"May 13, 2019",6.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1977
106,ShopKo,,"Feb 19, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1950
107,ShopKo,,"Feb 22, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1951
108,Payless Shoes,,"Feb 15, 2019",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1952
109,Taylor Communications,,"Feb 27, 2019",76.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1953
110,ShopKo,,"Feb 19, 2019",15.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1954
111,St. John's Military School,,"Feb 06, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1955
112,Payless Shoes,,"Feb 15, 2019",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1956
113,Payless Shoes,,"Feb 15, 2019",6.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1957
114,Walmart,,"Mar 20, 2019",,WARN,,https://www.kansasworks.com/search/warn_lookups/1958
115,NWI Kansas City LLC,,"Mar 19, 2019",92.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1959
116,ShopKo,,"Jan 28, 2019",16.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1960
117,Oswego Home Place Senior Living,,"Mar 21, 2019",22.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1961
118,NuWa Industries,,"Mar 25, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1962
119,Payless Shoes,,"Feb 15, 2019",2.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1963
120,Concentrix CVG Corporation,,"Mar 25, 2019",179.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1964
121,Sumner Regional Medical Center,,"Jan 03, 2019",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1965
122,"Payless ShoeSource, Inc.",,"Feb 15, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1966
123,Cherry Orchard Furniture,,"Jan 29, 2019",9.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1967
124,Gymboree,,"Jan 15, 2019",8.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1968
125,Midwest Color Graphics,,"Apr 03, 2019",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1971
126,Eagle Picher Technologies,,"Apr 15, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1972
127,Grandview Products Company Inc.,,"Apr 22, 2019",35.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1973
128,ShopKo,,"Jan 25, 2019",16.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1974
129,Gun Den,,"Dec 19, 2019",2.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/2016
130,Aramark,,"Apr 16, 2019",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1975
131,Sears Hometown Store,,"May 13, 2019",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1976
132,Coach's Neighborhood Bar & Grille,,"Apr 15, 2019",20.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1978
133,Fargo,,"Mar 22, 2019",120.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1979
134,Geary Community Hospital,,"May 28, 2019",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1980
135,Greenbrier Rail,,"Feb 12, 2019",32.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1981
136,Gunderson (Greenbrier) Rail,,"Apr 26, 2019",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1982
137,Save A Lot,,"Dec 18, 2018",12.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1927
138,Sears Hometown,,"Dec 07, 2018",6.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1925
139,Long John Silver's,,"Oct 26, 2018",10.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1917
