,company_name,location,notice_date,layoff_date,employees_affected,Address,Closure,Layoff,Permanent Reduction
482,Farm Fresh #6272,Virginia Beach,03/14/2018,05/14/2018,78,P.O. Box 2250,Yes,No,No
483,Dish Network,Englewood,03/13/2018,05/15/2018,570,9601 S. Meridian Blvd,Yes,No,No
484,Amazon,Sterling,03/07/2018,05/06/2018,67,45121 Global Plaza,No,Yes,No
485,"NJVC, LLC",Chantilly,03/07/2018,04/25/2018,113,14295 Park Meadow Drive,No,Yes,No
486,Leidos,Reston,03/01/2018,04/30/2018,52,11955 Freedom Drive,No,Yes,No
487,"Schneider National Carriers, Inc. ",Green Bay,03/01/2018,04/30/2018,181,3101 S. Packland Drive,No,Yes,No
488,Quality Technology Services ,Dulles,02/21/2018,04/30/2018,52,2000 Atlantic Blvd,No,Yes,No
489,General Dynamics Information Technology,Herndon,02/19/2018,04/24/2018,73,13857 McLearen Road,No,Yes,No
490,Dormeo-US Octaspring Operations Inc,Houston,02/09/2018,03/19/2018,33,3151 Briarpark Drive,Yes,No,No
491,AES Corporation ,Arlingotn,02/05/2018,04/06/2018,70,4300 Wilson Blvd,No,Yes,Yes
492,"BAE Systems, Inc.",McLean,01/29/2018,03/20/2018,141,8201 Greensboro Drive,No,No,No
493,Dreamlight,Reading ,01/15/2018,03/16/2018,50,P.O. Box 16400,Yes,No,No
494,Sam's Club #4733 Norfolk,Bentonville,01/11/2018,03/16/2018,140,2101 SE Sample Savings Drive,Yes,No,No
495,Sam's Club #4788 Richmond,Bentonville,01/11/2018,03/16/2018,163,2101 SE Sample Savings Drive,Yes,No,No
496,Telvista,Danville,01/05/2018,03/07/2018,300,119 Cane Creek Blvd,Yes,No,No
497,Old Dominion Peanut Company,Norfolk,01/04/2018,03/09/2018,69,208 W. 14th Street,Yes,No,No
498,"Metrie, Inc.",New Lenox,01/04/2018,03/01/2018,59,2200 W. Haven Ave,Yes,No,No
499,Walmart-Roanoke #3618,Bentonville,01/03/2018,01/08/2018,72,702 SW 8th Street,Yes,No,No
500,"Transportation General, Inc",Arlington,01/03/2018,03/04/2018,80,3251 Washington Boulevard,No,No,No
501,URS Federal Services,Austin,12/26/2017,02/28/2018,78,9400 Amberglen Boulevard,No,No,Yes
502,Air Wisconsin Airline Corporation,Appleton,12/13/2017,02/16/2018,213,"W6390 Challenger Drive, Suite 203",Yes,No,No
503,Taylor Communications,Richmond,12/07/2017,02/16/2018,50,2840 Sprouse Drive,Yes,No,No
504,Eulen America,Miami ,11/08/2017,12/15/2017,216,7200 Coorporate Center Drive #266,No,No,No
505,Keswick Hall & Golf Club,Keswick,11/07/2017,01/07/2018,109,701 Club Drive,Yes,No,No
506,Zenith Education Group-Altierus Career Colleges,Minneapolis,11/03/2017,01/08/2018,33,111 Washington Avenue South,No,No,Yes
507,Zenith Education Group-Everest Institute,Minneapolis,11/03/2017,01/08/2018,43,111 Washington Avenue South,Yes,No,No
508,"Shaw Industries Group, Inc.",Dalton,10/31/2017,10/31/2017,166,616 East Walnut Avenue,Yes,No,No
509,Leidos,"Reston, VA",10/24/2017,12/29/2017,62,11955 Freedom Drive,No,Yes,No
510,General Dynamics Information Technology,Fairfax,10/16/2017,12/18/2017,92,3060 Williams Drive,Yes,No,No
511,Cardinal Logistics Management Corporation ,Concord,10/02/2017,12/02/2017,69,5333 Davidson Highway,No,No,No
512,"Specialty Retailers, Inc.",Houston,09/27/2017,12/22/2017,100,2425 West Loop South,Yes,No,No
513,Bayshore Concrete Products Corporation,Cape Charles ,09/26/2017,11/27/2017,100,1134 Bayshore Road,No,Yes,No
514,Charter Communications,Charlotte,09/21/2017,10/07/2017,52,7910 Crescent Executive Dr,No,Yes,No
515,Sovah Health-Danville,Danville,09/06/2017,11/06/2017,91,142 South Main Street,No,Yes,No
516,Sovah Health-Martinsville,Martinsville,08/28/2017,11/06/2017,67,320 Hospital Drive,No,Yes,No
517,Riverside Shore Rehabilitation Center,Parksley,08/22/2017,10/21/2017,128,26181 Parksley Road,Yes,No,No
518,"DSC Logistics, Inc. ",Des Plaines,08/14/2017,10/20/2017,70,1750 Wolf Road,No,Yes,No
519,Land-O-Sun Dairies LLC,Richmond,08/08/2017,10/07/2017,71,1505 Robin Hood Road,Yes,No,No
520,Telvista,Dallas,07/28/2017,09/30/2017,222,1605 LBJ Freeway,No,No,No
521,First Potomac Realty Trust,Bethesda,07/28/2017,10/01/2017,18,"7600 Wisconsin Avenue, 11th Floor",No,Yes,No
522,General Foam Plastics,Virginia Beach,07/26/2017,08/15/2017,109,4429 Bonney Road Suite 500,Yes,Yes,No
523,Asheboro Elastics,Boykins,07/05/2017,08/15/2017,40,32056 East Circle ,No,No,No
524,Nordstrom,Seattle ,06/30/2017,09/08/2017,153,1700 7th Avenue,Yes,No,No
525,Leidos,Reston,06/30/2017,08/31/2017,30,11955 Freedom Drive,No,Yes,Yes
526,Elkay Wood Products Co.,Waconia,06/12/2017,08/12/2017,150,10501 10th Street,Yes,No,No
527,Boats Group,Norfolk,06/01/2017,07/31/2017,72,150 Granby Street,Yes,No,No
528,"BH Media Group, Inc. ",Roanoke,05/30/2017,07/31/2017,53,201 West Campbell Ave,No,Yes,Yes
529,JCPenney,Plano,05/24/2017,07/31/2017,72,6501 Legacy Drive,Yes,No,No
530,LSC Communications,Salem,05/22/2017,07/23/2017,140,6450 Technology Drive,Yes,No,No
531,Martin's Store #6491,Carlisle,05/16/2017,08/09/2017,107,1149 Harrisonburg Pike,Yes,No,No
532,Martin's Store #6588,Carlisle,05/16/2017,08/09/2017,164,1149 Harrisoburg Pike,Yes,No,No
533,White Birch Paper ,Greenwich,05/16/2017,07/16/2017,164,80 Field Point Road,Yes,No,No
534,Martin's Store #6402 ,Carlisle,05/16/2017,07/17/2017,183,1149 Harrisonburg Pike,Yes,No,No
535,Martin's Store #6406,Carlisle,05/16/2017,07/17/2017,92,1149 Harrisonburg Pike,Yes,No,No
536,Martin's  Store #6428,Carlisle,05/16/2017,08/09/2017,127,1149 Harrisonburg Pike ,Yes,No,No
537,Martin's Store #5700,Carlisle,05/16/2017,08/09/2017,121,1149 Harrisonburg,Yes,No,No
538,Martin's Store #6440,Carlisle,05/16/2017,07/17/2017,168,1149 Harrisonburg Pike,Yes,No,No
539,Martin's Store #6489,Carlisle,05/16/2017,08/09/2017,110,1149 Harrisonburg,Yes,No,No
540,Martin's Store #6490,Carlisle,05/16/2017,07/17/2017,114,1149 Harrisonburg Pike,Yes,No,No
541,Kmart,Hoffman,05/04/2017,07/30/2017,62,3333 Beverly Road,Yes,No,No
542,Kmart,Hoffman Estates,05/04/2017,07/30/2017,67,3333 Beverly Road,Yes,No,No
543,Martin's ,Carlisle,04/24/2017,06/23/2017,109,1149 Harrisburg Pike,Yes,No,No
544,Jacobs Technology Inc.,Huntsville ,04/17/2017,06/17/2017,55,1525 Perimeter Pkwy,No,No,No
545,Martin's ,Carlisle,04/11/2017,07/10/2017,138,1149 Harrisburg Pike,Yes,No,No
546,Martin's ,Carlisel,04/11/2017,07/10/2017,141,1149 Harrisburg Pike,Yes,No,No
547,Martin's ,Carlisle ,04/11/2017,07/10/2017,99,1149 Harrisburg Pike,Yes,No,No
548,Cardinal Bank,McLean,04/10/2017,06/10/2017,60,8270 Greensboro Drive,No,Yes,Yes
549,Dollar Express,Charlotte,03/30/2017,06/30/2017,6,7520 E. Independence Road,Yes,No,No
550,Dollar Express,Charlotte,03/30/2017,06/30/2017,11,7520 E. Independence Rd,Yes,No,No
551,Dollar Express,Charlotte,03/30/2017,06/30/2017,44,7520 E. Independence Rd,Yes,No,No
552,"FreightCar America, Inc. ",Chicago,03/29/2017,04/24/2017,364,2 N. Riverside Plaza,No,No,No
553,"Bebe Stores, Inc",Brisbane,03/25/2017,05/27/2017,36,400 Valley Drive,Yes,No,No
554,"Bebe Stores, Inc",Brisbane,03/25/2017,05/27/2017,18,400 Valley Drive ,Yes,No,No
555,"Bebe Stores, Inc",Brisbane,03/25/2017,05/27/2017,10,400 Valley Drive,Yes,No,No
556,Macy's,New York,03/06/2017,03/20/2017,119,11 Penn Plaza,Yes,No,No
557,"Wilson Trucking Corporation, Inc. ",Fishersville,02/28/2017,03/01/2017,316,P.O. Box 200,Yes,No,No
558,Charter Communications ,St. Louis,02/08/2017,03/30/2017,59,12405 Powerscourt Drive,No,Yes,No
559,Aetna Insulated Wire ,Virginia Beach,01/30/2017,03/31/2017,52,1537 Air Rail Avenue ,Yes,No,No
560,ABM Healthcare Support Services,St. Clair Shores ,01/27/2017,03/31/2017,130,22622 Harper Avenue ,Yes,No,No
561,CACI,Arlington,01/03/2017,03/27/2017,65,1100 North Glebe Road,No,No,No
562,Delivery Agent Holdings Corporation,Crozet,12/22/2016,02/22/2017,134,5391 Three Notch'd Road,Yes,No,No
563,"Schenker, Inc",Chesapeake,12/14/2016,02/13/2017,16,1305 Executive Blvd,No,No,No
564,Retail Relay (Realy Foods),Louisville,12/14/2016,01/15/2017,48,282 Century Place,No,No,No
565,Volvo Group Trucks Operations,Dublin,12/14/2016,02/13/2016,519,New River Valley Plant,Yes,No,No
566,The Kane Company ,Elkridge,12/13/2016,12/09/2016,122,6500 Kane Way,Yes,No,No
567,The Kane Company,Elkridge,12/13/2016,12/09/2016,105,6500 Kane Way,Yes,No,No
568,Martin's ,Carlisle,12/08/2016,02/06/2017,173,1149 Harrisburg Pike ,Yes,No,No
569,Martin's,Carlisle,12/08/2016,02/06/2017,155,1149 Harrisburg Pike,Yes,No,No
570,Martin's ,Carlisle,12/08/2016,02/06/2017,161,1149 Harrisburg Pike,Yes,No,No
571,Martin's ,Carlisle ,12/08/2016,02/06/2017,183,1149 Harrisburg Pike,Yes,No,No
572,The Home Depot,Atlanta,12/01/2016,03/07/2016,66,2455 Paces Ferry Road,Yes,No,No
573,Quad/Graphics Inc. ,Sussex,12/01/2016,01/15/2017,81,N6W23044 Harry's Way,Yes,No,No
574,Airport Terminal Services,St. Louis ,11/11/2016,01/02/2017,85,111 Westport Plaza Drive,No,No,No
575,"Experience Works, Inc. ",Arlington,11/07/2016,12/01/2016,35,4401 Wilson Blvd.,No,No,No
576,Riverside Pace,Richmond,11/07/2016,02/03/2017,37,701 Gordon Avenue,Yes,No,No
577,Riverside Pace,Hampton,11/07/2016,02/03/2017,96,4107 West Mercury Boulevard,Yes,No,No
578,Chubb,Philadelphia,10/28/2016,12/31/2016,71,436 Walnut Street,Yes,No,No
579,NJVC,O'Fallon,10/18/2016,12/31/2016,46,1677 Mansion Way,Yes,No,No
580,Giant Food Stores (Martin's),Carlisle,09/27/2016,11/28/2016,438,1149 Harrisburg Pike,Yes,No,No
581,HDT Global,Solon,09/26/2016,12/31/2016,74,30525 Aurora Road,Yes,No,No
582,Nordson Corporation,Westlake,09/16/2016,05/01/2017,146,28601 Clemens Road,Yes,No,No
583,"Arrow Electronics, Inc.",Englewood,08/30/2016,10/29/2016,72,7459 South Lima Street,Yes,No,No
584,Novitex Government Solutions,Landover,08/29/2016,09/30/2016,55,8401 Corporate Drive,Yes,No,No
585,IBEX Global,Spring Hill,08/14/2016,10/12/2016,215,5000 Northfield Lane,No,No,Yes
586,Lockheed Martin ,Fallon ,07/29/2016,10/01/2016,123,3400 Della Circle,No,No,Yes
587,Sandvik,Bristol,07/29/2016,09/30/2016,49,15020 Industrial Park Road,Yes,No,No
588,BB&T,Winston-Salem,07/27/2016,07/27/2016,61,200 West Second Street (27101),No,Yes,Yes
589,Virginia Managment Inc.,Arlington,06/22/2016,08/24/2016,61,4600 Fairfax Drive,No,Yes,No
590,Genworth Financial Inc.,Richmond,06/15/2016,08/16/2016,42,6620 W. Broad Street,No,No,No
591,Martin's ,Carlisle ,06/14/2016,08/13/2016,65,1149 Harrisburg Pike ,Yes,No,No
592,Martin's,Carlisle,06/14/2016,08/13/2016,94,1149 Harrisburg Pike,Yes,No,No
593,Martin's,Carlisle,06/14/2016,08/13/2016,96,1149 Harrisburg Pike,Yes,No,No
594,HSN ,St. Petersburg ,06/10/2016,08/10/2016,257,1 HSN Drive ,Yes,No,No
595,"Midwesco Filter Resources, Inc. ",Niles,05/05/2016,07/03/2016,147,7720 N. Lehigh Avenue,Yes,No,No
596,"Innovative Buildings Systems, LLC",Mechanicsburg,05/03/2016,05/03/2016,219,4900 Ritter Road,Yes,No,No
597,HarrisConnect,Chesapeake,04/12/2016,06/11/2016,106,1400 Crossways Blvd,No,No,Yes
598,Southern Season,Chapel Hill,04/08/2016,06/09/2016,115,100 Europa Drive,Yes,No,No
599,"Pyrotechnique by Grucci, Inc. *notice rescinded",Radford,04/04/2016,04/08/2016,0,P.O. Box 1 Route 114,No,Yes,No
600,Alorica,Plantation,03/30/2016,05/31/2016,262,8151 Peters Road,No,No,No
601,CACI Inc,Arlington,03/28/2016,05/27/2016,64,1100 North Glebe Road ,No,Yes,No
602,Hospice of Virginia,Richmond,03/21/2016,05/15/2016,16,1700 Bayberry Court,Yes,No,No
603,AEC Narrow Fabrics ,Asheboro,03/21/2016,04/30/2016,5,150 North Park Street,No,Yes,No
604,Hospice of Virginia,Richmond,03/20/2016,05/15/2016,76,1700 Bayberry Court,Yes,No,No
605,Hospice of Virginia,Richmond,03/20/2016,05/15/2016,18,1700 Bayberry Court,Yes,No,No
606,Hospice of Virginia,Richmond,03/15/2016,05/15/2016,5,1700 Bayberry Court,Yes,No,No
607,Sterling Backcheck Company,New York,03/09/2016,08/23/2016,83,1 State Street Plaza,Yes,No,No
608,Gannett Publishing Services,Springfield,03/05/2016,07/01/2016,7,6883 Commercial Drive,Yes,No,No
609,Ball North American Metal Beverage Package,Broomfield,02/23/2016,05/01/2016,200,9300 West 108th Circle,Yes,No,No
610,Genworth Financial,Richmond,02/04/2016,04/10/2016,336,6620 West Broad Street,No,No,No
611,Sprint ,Overland Park ,01/22/2016,04/29/2016,380,6200,No,Yes,No
612,General Dynamics Mission Systems,Annapolis,01/19/2016,03/07/2016,60,430 Natioanl Business Parkway,No,No,No
613,BAE Systems,Norfolk,01/12/2016,03/18/2016,500,750 West Berkley Avenue,No,No,No
614,General Dynamics NASSCO-Norfolk ,Norfolk,01/08/2016,01/29/2016,260,200 Ligon Street,No,No,No
615,Nationwide Mutual Insurance Company,Columbus,01/07/2016,03/11/2016,85,One Nationwide Plaza,Yes,No,No
616,Macy's,Glen Allen,01/06/2016,03/14/2016,81,Virginia Center Commons,Yes,No,No
617,Macy's,Hampton,01/06/2016,03/14/2016,109,Peninsula Town Center,Yes,No,No
618,Macy's,Norfolk,01/06/2016,03/14/2016,95,Military Circle,Yes,No,No
619,Macy's,Richmond,01/06/2016,03/14/2016,135,Regency Square,Yes,No,No
620,"Sykes Enterprises, Incorporated ",Tampa,01/04/2016,03/04/2016,184,400 North Drive ,Yes,Yes,No
621,Pleasants Hardware,Richmond ,12/29/2015,02/27/2016,95,2024 West Broad Street ,Yes,Yes,No
622,SSC Service Solutions,Knoxville,12/09/2015,01/01/2016,71,1845 Midpark Road,No,No,No
623,Alion Science and Technology,McLean,12/08/2015,12/31/2015,114,1750 Tysons Boulevard,No,No,No
624,Newport News Shipbuilding,Newport News,12/03/2015,12/04/2015,741,4101 Washington Avenue,No,No,Yes
625,Volvo Group Trucks Operations ,Dublin,12/01/2015,02/05/2016,734,4881 Cougar Trucks Operations,No,No,No
626,CACI International Inc.,Arlington,11/30/2015,01/31/2016,69,1100 North Giebe Road,No,No,No
627,PAREXEL International ,Centreville,11/24/2015,01/04/2016,48,5870 Trinity Parkway,No,No,Yes
628,Mitisubishi Kagaku Imaging Corporation (MKIC),Glendale ,11/24/2015,01/19/2016,83,655 N. Central Avenue,No,No,No
629,Serco Inc.,Reston,11/19/2015,02/01/2016,44,1818 library Street,No,No,No
630,"Home Retention Services, Inc. ",Houston ,11/19/2015,04/01/2016,255,9700 Bissonnet Street,Yes,No,No
631,"Range Resources-Pine Mountain, Inc.",Fort Worth,11/09/2015,12/31/2015,158,100 Throckmorton Street,No,No,No
632,Raytheon Intelligence Information & Services,Indianapolis,11/05/2015,01/04/2016,92,6125 East 21st Street,No,No,No
633,Cumberland River Coal Company,Appalachia,10/30/2015,12/30/2015,8,US Route 603,No,No,Yes
634,Jacobs Technology Inc. ,Fort Walton Beach,10/27/2015,01/12/2016,146,Advanced Systems Group ,No,No,No
635,Gannett Publishing Services ,Springfield,10/06/2015,02/28/2016,250,6883 Commercial Drive,Yes,No,No
636,"Home Retention Services, Inc.",Houston,09/23/2015,11/23/2015,255,1980 Post Oak Blvd,Yes,No,No
637,BAE Systems,Norfolk,09/21/2015,11/20/2015,1512,750 West Berkley Avenue,No,No,Yes
638,Alpha Natural Resources ,Norton ,09/21/2015,11/20/2015,527,5703 Crutchfeild Drive,Yes,No,No
639,Sodex,Pittsburg,08/31/2015,10/02/2015,66,12 Short Street,Yes,No,No
640,Gold Key Hotels & Resorts,Virgina Beach,08/17/2015,10/01/2015,1000,300 32nd Street,No,No,No
641,The Wilburn Company ,Linthicum ,08/13/2015,09/30/2015,108,"1041 W. Nursery Road, Ste. 2A",No,No,No
642,"Printpack, Inc. ",Atlanta,07/31/2015,10/02/2015,155,2800 Overlook Parkway ,Yes,No,No
643,Raytheon ,Waltham ,07/29/2015,09/30/2015,54, 870 Winter Street,No,No,Yes
644,Hertz Transporting Inc.,Oklahoma City ,07/21/2015,09/25/2015,116,14501 Hertz Quail Springs Parkway,No,Yes,No
645,"NADA Retirement Administrators, Inc.",McLean,07/15/2015,09/15/2015,67,8400 Westpark Drive,No,Yes,No
646,Alpha Natural Resources,Norton,07/08/2015,09/06/2015,165,5703,No,Yes,No
647,"Buccaneer Computer Systems & Services, INC.",Warrenton,06/25/2015,08/25/2015,137,6799 Kennedy Road,No,Yes,No
648,"Parsons Technical Services, Inc.",Newington,06/25/2015,09/25/2015,100,8500 Cinder Bed Road,No,No,No
649,GENCO Installation Support Services ,Fort Lee,06/12/2015,08/07/2015,85,Fort Lee,Yes,No,No
650,Avis Budget Group,Virginia Beach,05/29/2015,08/01/2015,146,"300 Centre Pointe Drive,",Yes,No,No
651,Bayshore Concrete Products Corporation,Cape Charles,05/19/2015,07/19/2015,81,"1134 Bayshore Road,",Yes,No,No
652,Kmart,Hoffman Estates,04/29/2015,07/19/2015,82,"3333 Beverly Road,",Yes,No,No
653,Carpenter Company,Richmond,04/23/2015,06/24/2015,55,"5016 Monument Ave, P.O. Box 27205",No,Yes,No
654,"Raytheon Intelligence, Information and Services",Springfield,04/15/2015,06/30/2015,59,"7500 Geoint Dr.,",Yes,No,No
655,"CB&I Maintenance, Inc. ",Baton Rouge,04/07/2015,04/29/2015,148,4171 Essen Lane,No,Yes,No
656,Wyle-Aerospace Group,Lexington Park,04/06/2015,05/31/2015,67,22309 Exploration Drive,Yes,No,No
657,Parsons ,Newington,03/30/2015,05/29/2015,100,8500 Cinder Bed Road,No,No,No
658,Norfolk Southern Corporation-NS,Norfolk,03/27/2015,06/01/2015,426,Three Commercial Place,Yes,No,No
659,Sweet Briar College,Sweet Briar,03/26/2015,05/31/2015,344,34 Chapel Road,Yes,No,No
660,AT&T Corporation,Bedminster,03/16/2015,07/31/2015,62,One AT&T Way,Yes,No,No
661,Riverside Pace,Newport News,03/12/2015,05/15/2015,90,Riverside Health System,Yes,No,No
662,United,Chicago,03/06/2015,05/17/2015,64,233 South Wacker Drive,No,Yes,No
663,Riverside PACE ,Petersburg ,02/27/2015,04/30/2015,67,315 Brown Street ,Yes,No,No
664,Office Depot Inc. ,Boca Raton ,02/26/2015,05/22/2015,143,6600 North Military Trail,No,No,No
665,"Kids ""R"" Kids",Midlothian,02/26/2015,03/06/2015,39,6761 Temie Lee Pkwy,Yes,No,No
666,Trident Seafoods Corporation,Seattle,02/20/2015,04/21/2015,65,5303 Shilshole Ave NW,No,Yes,No
667,"Bart & Associates, Inc. ",McLean ,02/12/2015,04/16/2015,73,8300 Greensboro Drive ,No,No,No
668,Kmart ,Hoffman Estates,02/12/2015,05/10/2015,113,Sears Holdings Support Center,Yes,No,No
669,"Freight Handlers, Inc. FHI, LLC",Fuquay-Varina,02/10/2015,04/18/2015,65,P.O. Box 546,No,No,Yes
670,"Tyonek Services Group, Inc.",Madison,01/30/2015,03/31/2015,45,229 Palmer Road,No,No,No
671,"Suncoke Energy, Inc.",Vansant,01/29/2015,01/29/2015,151,P.O. Box 70,Yes,No,No
672,Bank of America,Washington,01/28/2015,03/29/2015,202,"1455 Pennsylvania Ave., NW",No,Yes,Yes
673,Concord Hospitality Enterprises Company,Raleigh,01/28/2015,03/29/2015,77,11410 Common Oaks Drive,Yes,No,No
674,Iluka Resources,Stony Creek,01/08/2015,04/15/2015,120,12472 St John Church Road,Yes,No,No
675,TECO Coal Corporation ,Corbin ,12/30/2014,02/12/2015,85,200 Allison Blvd.,No,Yes,No
676,Harris IT Services,Sterling,12/22/2014,02/28/2015,65,44873 Falcon Place ,No,Yes,No
677,"SunCoke Energy, Inc.",Vansant,12/15/2014,12/15/2014,160,P.O. Box 70,Yes,No,No
678,Cumberland River Coal Company,Appalachia,11/21/2014,01/20/2015,1,Route 636,No,No,Yes
679,Trident Seafoods Corporation,Seattle,11/12/2014,01/14/2015,70,5303 Shilshole Ave NW,Yes,No,No
680,Lumber Liquidators,Toano,11/10/2014,11/30/2014,121,300 John Deere Road,No,Yes,No
681,Sprint ,Overland Park,10/24/2014,10/24/2014,235,6200 Sprint Parkway ,No,No,Yes
682,Dominion ,Glen Allen,10/23/2014,12/28/2014,29,5000 Dominion Blvd,No,Yes,No
683,TECO Coal Corporation ,Corbin ,10/20/2014,12/31/2014,101,200 Allison Blvd,Yes,No,No
684,Intersections Inc.,Chantilly,10/17/2014,12/19/2014,77,3901 Stonecroft Boulevard,Yes,No,No
685,Kmart Corporation,Hofman Estates,10/15/2014,01/18/2015,88,Sear Holdings Support Center,Yes,No,No
686,Colonial Downs ,New Kent,10/04/2014,12/31/2014,52,10515 Colonial Downs Pkwy,Yes,No,No
687,Colonial Downs,New Kent,10/04/2014,12/31/2014,23,10515 Colonial Downs Pkwy,Yes,No,No
688,Asheboro Elastics Corporation,Boykins,10/03/2014,11/30/2014,100,32056 East Circle,No,No,No
689,The Founders Inn and Spa,Virginia Beach,10/03/2014,12/31/2014,208,5641 Indian River Road,No,No,No
690,Keolis Transit America,Los Angeles,09/30/2014,11/30/2014,106,6053 W. Centry Blvd,No,Yes,No
691,"Fluor Enterprises, Inc",Greenville,09/24/2014,11/30/2014,90,100 Fluor Danile Drive,No,No,Yes
692,Cumberland River Coal Company,Appalachia,09/19/2014,11/18/2014,4,Route 636,No,No,Yes
693,Travel Centers of America,Westlake,09/08/2014,11/15/2014,66,24601 Center Ridge Road,Yes,Yes,No
694,URS,Austin,08/29/2014,10/31/2014,208,9400 Ambergien Boulevard,No,Yes,No
695,DynCorp International LLC,McLean,08/20/2014,08/31/2014,64,1700 Old Meadow Road ,No,Yes,No
696,Cumberland River Coal Company,Appalachia,07/21/2014,09/19/2014,213,US Route 603,Yes,No,Yes
697,Intuit,Mountain View,07/15/2014,09/15/2014,159,2632 Marine Way,No,No,Yes
698,"Acision, LLC",Plano,07/11/2014,09/09/2014,65,6404 Internatioanl Parkway,No,No,Yes
699,Corizon Health,Brentwood,07/11/2014,09/30/2014,47,105 West Park Drive,No,Yes,No
700,Corizon Health,Brentwood,07/11/2014,09/30/2014,216,105 West Park Drive,No,Yes,No
701,Corizon Health,Brentwood,07/11/2014,09/30/2014,375,105 West Park Drive,No,Yes,No
702,United Arab Shipping Company (UASC),Cranford,07/08/2014,09/01/2014,20,511 South Avenue East,No,Yes,No
703,"Med-Fit Systems, Inc.",Independence,07/02/2014,06/30/2014,104,  709 Powerhouse Road                 ,No,No,Yes
704,"NII Holdings, Inc. ",Reston,07/01/2014,07/31/2014,88,1875 Explorer Street,No,Yes,No
705,"Transit Holding, LLC",Purcellville,07/01/2014,08/31/2014,52,109 North Bailey Lane,No,Yes,No
706,"Dickenson-Russell Coal Company, LLC",Cleveland,06/26/2014,08/25/2014,121,7546 Gravel Lick Road,Yes,No,No
707,Harris IT Services,Sterling,06/26/2014,08/29/2014,53,447873 Falcon Place,No,Yes,No
708,"AMACD American Cadastre, LLC",Herndon,06/23/2014,06/23/2014,63,13650 Dulles Technology Drive,No,No,No
709,Wolff Fording & Company,Richmond,06/23/2014,06/23/2014,118,2220 East Main Street,Yes,No,No
710,"Jacobs Technology Inc., Advanced Systems Group",Fort Walton Beach,06/02/2014,06/28/2014,84,1020 Titan Court,No,Yes,No
711,HMS Host,Washington,06/02/2014,08/07/2014,67,Dulles International Airport,No,No,No
712,"Carl Zeiss Vision, Inc.",San Diego,05/29/2014,07/29/2014,73,12121 Scripps Summit Drive,No,Yes,No
713,Electronic Arts Inc.,Redwood City,05/29/2014,07/28/2014,69,209 Redwood Shores Parkway,Yes,No,No
714,Bank of America,Washington,05/22/2014,07/20/2014,5,"1455 Pennsylvania Ave., NW",No,No,Yes
715,Sodexo,Roanoke,05/19/2014,07/06/2014,45,8004 Fishburn Drive,Yes,No,No
716,U.S. Aviation Services Corp.,Chicago,05/13/2014,07/15/2014,213,1550 S. Indiana Avenue,No,No,No
717,Cox Communications,Chesapeake,05/07/2014,07/06/2014,172, 1341 Crossways Blvd,No,Yes,No
718,Northrop Grumman Corporation,Herndon,05/05/2014,07/22/2014,57,2411 Dulles Corner Park,No,Yes,No
719,"Caterpillar Global Mining America, LLC",Oak Creek ,05/02/2014,07/01/2014,180,6744 Howell Avenue,Yes,No,No
720,Community Development Institute Head Start (CDI HS),Virginia Beach,04/30/2014,07/01/2014,63,PO Box 12638,No,Yes,No
721,"Caterpillar Global Mining America, LLC",Oak Creek ,04/29/2014,06/30/2014,45,6744 Howell Avenue,Yes,No,No
722,"Med-Fit Systems, Inc.",Independence ,04/18/2014,04/21/2014,61,709 Powerhouse Road,No,No,No
723,Reinhart Foodservices,La Crosse,04/14/2014,06/08/2014,46,100 Harborview Plaza,No,Yes,No
724,B&W mPower,Charlotte,04/14/2014,06/16/2014,211,11525 N. Community House Road,No,No,No
725,American Eagle,Washington,03/31/2014,06/04/2014,62,1 Aviation Circle,No,No,Yes
726,NIITEK,Dulles,03/19/2014,05/23/2014,78,23031 Ladbrook Drive                          ,No,No,Yes
727,DynCorp International,McLean,03/19/2014,04/30/2014,73,1700 Old Meadow Road,No,Yes,Yes
728,Aramark,Downers Grove,03/17/2014,05/16/2014,197,2300 Warrenville Road,No,No,Yes
729,"STEPS, Inc.",Farmville,03/13/2014,06/01/2014,110,225 Industrial Park Road,No,Yes,No
730,Union First Market Bank ,Ruther Glen,03/10/2014,05/09/2014,80,P.O. Box 940,No,No,Yes
731,Lockheed Martin Corporation Information Systems & Global Solutions,Arlington,03/07/2014,05/07/2014,165,1725 Jefferson Davis Hwy,No,Yes,No
732,"General Dynamics Information Technology, Inc.",Fairfax,03/06/2014,05/09/2014,344,3060 Williams Drive,No,No,Yes
733,"NCO Financial Systems, Inc.",Virginia Beach,03/05/2014,05/04/2014,107,4740 Baxter Road,No,No,Yes
734,Child Care Aware of America,Arlington,02/28/2014,05/01/2014,60,1515 N. Courthouse Road,No,No,Yes
735,General Dynamics Information Technology,Falls Church,02/25/2014,04/26/2014,110,3120 Fairview Park Drive,No,Yes,No
736,The Commodore Corporation,Goshen,02/20/2014,04/16/2014,116,1423 Lincolnway East,Yes,No,No
737,Coral Graphics,Hicksville,02/17/2014,04/19/2014,100,804 South Broadway,No,No,No
738,Bank of America,Washington,01/24/2014,03/24/2014,79,"1455 Pennsylvania Ave., NW",No,Yes,No
739,Sheraton Crystal City Hotel,Arlington,01/24/2014,04/12/2014,95,1800 Jefferson Davis Hwy,Yes,No,No
