,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
220,BENTELER AUTOMOTIVE,Opelika,07/22/2013,10/04/2013,115.0,Closing *
221,"DRUMMOND CO., INC. SHOAL CREEK MINE",Oakman,07/09/2013,09/09/2013,425.0,Layoff *
222,SODEXO (CAMPUS OF OAKWOOD UNIVERSITY),Huntsville,06/19/2013,07/22/2013,75.0,Closing *
223,BECHTEL POWER CORPORATION,Hollywood,06/17/2013,07/11/2013,83.0,Closing *
224,"RUSSELL BRANDS, INC., COOSA RIVER DISTRIBUTION",Wetumpka,06/04/2013,07/29/2013,191.0,Closing *
225,"TUSCALOOSA RESOURCES INC., SWANN'S CROSSING MINE",Brookwood,05/17/2013,07/12/2013,67.0,Closing *
226,STANDARD FURNITURE,Frisco City,05/09/2013,07/08/2013,157.0,Closing *
227,AMERICAN APPAREL-ONEONTA,Oneonta,05/01/2013,04/30/2013,200.0,Closing *
228,SODEXO (CAMPUS OF UNIV. OF MONTEVALLO),Montevallo,04/29/2013,05/15/2013,51.0,Layoff *
229,SITEL,Andalusia,04/05/2013,06/21/2013,144.0,Layoff *
230,AMERICAN APPAREL-OPP,Opp,04/02/2013,03/15/2013,200.0,Closing *
231,NORTH RIVER MINE (JIM WALTER RESOURCES),Brookwood,03/15/2013,03/15/2013,176.0,Closing *
232,"SHILOH INDUSTRIES, ANNISTON MFG. PLANT",Anniston,03/11/2013,05/07/2013,68.0,Closing *
233,VANTAGE SOURCING INC.,Taylor,03/01/2013,05/03/2013,215.0,Layoff *
234,"KC ECONOMIC DEVELOPMENT, LLC",Shorter,02/26/2013,02/19/2013,207.0,Closing *
235,EATON CORP,Decatur,01/30/2013,04/02/2013,63.0,Closing *
236,KMART CORPORATION,Anniston,01/15/2013,03/10/2015,52.0,Closing *
237,"RUSSELL BRANDS, LLC-DECORATION OPERATIONS",Alexander City,01/07/2013,03/05/2013,390.0,Closing *
238,"GREDE CASTINGS, LLC., INC.",Marion,01/03/2013,03/02/2013,105.0,Closing *
239,MOBILE PRESS REGISTER,Mobile,06/20/2012,08/17/2012,181.0,Layoff *
240,"HOSTESS BRANDS, INC.",Chickasaw,05/07/2012,07/06/2012,18.0,Closing *
241,"EARTHGRAINS BAKERY CO., MOBILE",Mobile,03/23/2012,05/21/2012,115.0,Layoff *
242,"HOSTESS BRANDS, INC.",Statewide,05/07/2012,07/06/2012,172.0,Closing *
243,"ROCK MOUNTAIN MINING , LLC",Bessemer,11/26/2012,01/21/2013,187.0,Layoff *
244,"INSIGHT CARD SERVICES, LLC",Birmingham,11/07/2012,11/07/2012,71.0,Layoff *
245,THE BIRMINGHAM NEWS,Birmingham,06/20/2012,09/30/2012,109.0,Layoff *
246,"HOSTESS BRANDS, INC.",Birmingham,05/07/2012,07/06/2012,63.0,Closing *
247,"GOLDEN LIVING, OR SOUTHERN BILLING OFFICE",Birmingham,01/25/2012,04/03/2012,38.0,Closing *
248,GENERAL DYNAMICS-LAND SYSTEMS,Anniston,11/08/2012,01/06/2013,252.0,Layoff *
249,HEARTLAND CATFISH,Greensboro,11/05/2012,11/06/2012,150.0,Closing *
250,"DRS TEST & ENERGY MANAGEMENT, LLC",Huntsville,11/01/2012,12/31/2012,84.0,Layoff *
251,CMI DOOR DIVISION/JELD-WEN,Ozark,11/01/2012,12/31/2012,70.0,Closing *
252,AMERICAN APPAREL INC.,Selma,09/25/2012,10/08/2012,250.0,Layoff *
253,AMERICAN POWER SOURCE,Fayette,08/31/2012,10/27/2012,119.0,Closing *
254,"BIG SPRINGS, INC.",Huntsville,07/10/2012,09/07/2012,87.0,Closing *
255,THE HUNTSVILLE TIMES,Huntsville,06/20/2012,08/17/2012,103.0,Layoff *
256,SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),Anniston,06/11/2012,07/31/2012,134.0,Layoff *
257,"RG STEEL, LLC",Fort Payne,05/30/2012,06/04/2012,15.0,Closing *
258,G4S GOVERNMENT SOLUTIONS INC.,Anniston,05/25/2012,06/30/2012,57.0,Layoff *
259,AAR MOBILITY SYSTEMS (FORMERLY SUMMA TECHNOLOGY),Cullman,04/24/2012,06/25/2012,181.0,Closing *
260,JOHNSON CONTROLS,Cottondale,04/23/2012,06/29/2012,103.0,Closing *
261,CONNEXION TECHNOLOGIES,Gulf Shores,04/16/2012,04/18/2012,38.0,Closing *
262,"EARTHGRAINS BAKING CO., DOTHAN",Dothan,03/21/2012,05/21/2012,124.0,Closing *
263,MBM FOODSERVICE,Montgomery,02/22/2012,04/20/2012,78.0,Layoff *
264,LEGGETT & PLATT INC. (AKA GARCY CORP.),Piedmont,01/20/2012,03/01/2012,117.0,Closing *
265,SODEXO,Tuskegee,12/14/2012,03/01/2013,124.0,Closing *
266,ANNISTON ARMY DEPOT,Anniston,01/10/2012,02/01/2012,975.0,Layoff *
267,AMERICAN APPAREL,Fort Deposit,01/09/2012,03/09/2012,181.0,Layoff *
268,HARTSELLE MEDICAL CENTER,Hartselle,01/10/2012,02/01/2012,184.0,Closing *
269,SYNCREON,Vance,01/06/2012,01/13/2012,312.0,Closing *
270,FLEXTRONICS AMERICAS LLC,Statewide,05/27/2011,08/31/2011,26.0,Layoff *
271,BIRMINGHAM SOUTHERN RAILROAD COMPANY,Fairfield,12/06/2011,01/31/2012,181.0,Closing *
272,"ALABAMA AIRCRAFT INDUSTRIES, INC.",Birmingham,02/17/2011,04/15/2011,321.0,Closing *
273,ROCKTENN (FORMERLY SMURFIT STONE),Birmingham,06/09/2011,07/30/2011,77.0,Closing *
274,THE BOEING COMPANY,Huntsville,12/05/2011,01/31/2012,164.0,Layoff *
275,WAYNE FARMS LLC,Decatur,11/16/2011,01/16/2012,363.0,Layoff *
276,"BAE SYSTEMS, USCS-ANNISTON/2",Anniston,10/31/2011,12/30/2011,155.0,Layoff *
277,RADICISPANDEX CORPORATION,Tuscaloosa,10/17/2011,12/14/2011,89.0,Closing *
278,"ERC, INC.",Huntsville,08/11/2011,10/01/2011,210.0,Layoff *
279,INFOPRO CORPORATION,Huntsville,08/11/2011,10/01/2011,210.0,Layoff *
280,JACOBS ESTS GROUP,Huntsville,08/01/2011,10/01/2011,281.0,Layoff *
281,"THERMO FISHER SCIENTIFIC, INC.",Huntsville,07/20/2011,11/18/2011,67.0,Closing *
282,NORTHRUP GRUMMAN-MAXWELL/GUNTER ANNEX,Montgomery,07/20/2011,09/15/2011,51.0,Layoff *
283,AC FABRICATED PRODUCTS-GROVE HILL,Grove Hill,06/27/2011,07/31/2011,70.0,Closing *
284,KNAUF INSULATION,Lanett,06/13/2011,06/14/2011,146.0,Closing *
285,"RECTICEL INTERIORS N.A., LLC",Tuscaloosa,05/16/2011,07/13/2011,40.0,Layoff *
286,"JOHNSON CONTROLS, INC.",Cottondale,05/13/2011,07/01/2011,42.0,Layoff *
287,K AND K FOOD SERVICES,Huntsville,05/12/2011,07/01/2011,63.0,Closing *
288,UNITED SPACE ALLIANCE (USA),Huntsville,05/11/2011,07/22/2011,45.0,Layoff *
289,TEAM ONE CONTRACT SERVICES,Prattville,05/09/2011,05/09/2011,71.0,Closing *
290,PEMCO WORLD AIR SERVICES,Dothan,05/03/2011,03/27/2012,319.0,Closing *
291,SANDERSON PLUMBING PRODUCTS,Butler,05/03/2011,04/27/2011,50.0,Closing *
292,INTEVA PRODUCTS,Gadsden,04/27/2011,07/04/2011,72.0,Layoff *
293,NORTHROP GRUMMAN SYSTEMS CORPORATION,Huntsville,04/07/2011,08/05/2011,100.0,Closing *
294,URS (WESTINGHOUSE),Anniston,03/16/2011,07/01/2011,840.0,Closing *
295,"DILLARD'S, INC.",Decatur,03/16/2011,06/02/2011,71.0,Closing *
296,"HEARTLAND ALABAMA, LLC",Greensboro,02/15/2011,03/04/2011,200.0,Layoff *
297,BEAULIEU GROUP LLC,Eufaula,02/07/2011,10/02/2011,392.0,Closing *
298,ABITIBI BOWATER,Coosa Pine,02/14/2011,04/14/2011,150.0,Layoff *
299,NORTHROP GRUMMAN,Redstone Arsenal,01/31/2011,03/31/2011,97.0,Layoff *
300,GILDAN,Fort Payne,02/01/2011,02/20/2011,279.0,Closing *
301,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,01/27/2011,04/01/2011,317.0,Closing *
302,WESTPOINT HOME INC.,Greenville,02/01/2011,09/05/2011,183.0,Closing *
303,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,01/31/2011,04/01/2011,45.0,Closing *
304,GENESEE TRISTARR INC.,Rogersville,01/28/2011,02/04/2011,69.0,Closing *
305,"ABB, INC.",Muscle Shoals,01/26/2011,04/04/2011,159.0,Closing *
306,GAF MATERIALS CORP.,Mobile,11/01/2010,12/27/2010,61.0,Closing *
307,"DAIRY FRESH, INC.",Prichard,06/01/2010,07/31/2010,116.0,Closing *
308,URS CORPORATION,Birmingham,01/22/2010,09/28/2023,134.0,Layoff *
309,"SUNGARD BUSINESS SYSTEMS, LLC",Birmingham,11/02/2010,12/31/2010,122.0,Layoff *
310,"CAREMARK RX, LLC",Birmingham,08/25/2010,10/29/2010,369.0,Closing *
311,SITEL,Birmingham,07/01/2010,08/30/2010,432.0,Closing *
312,MCWANE CAST IRON PIPE COMPANY,Birmingham,05/03/2010,04/30/2010,117.0,Closing *
313,MCWANE CAST IRON PIPE COMPANY,Birmingham,03/09/2010,03/05/2010,88.0,Layoff *
314,"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC",Birmingham,02/03/2010,03/05/2010,244.0,Closing *
315,CONTACT US TELESERVICES,Birmingham,01/28/2010,03/31/2010,114.0,Closing *
316,"NEW ERA CAP, DEMOPOLIS",Demopolis,01/28/2010,04/12/2010,351.0,Closing *
317,BB&T CORP.,Montgomery,01/20/2010,11/13/2009,223.0,Layoff *
318,SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),Huntsville,12/10/2010,02/01/2011,202.0,Closing *
319,LOPAREX,Cullman,12/29/2010,01/21/2011,70.0,Closing *
320,MICOLAS MILLS (JOHNSTON TEXTILES-2),Opp,11/22/2010,01/18/2011,135.0,Closing *
321,"CATERPILLAR LOGISTICS, INC.",Vance,11/01/2010,12/31/2010,34.0,Layoff *
322,"MID-SOUTH ELECTRONICS, INC.",Gadsden,11/08/2010,01/06/2011,50.0,Layoff *
323,APEX TOOL GROUP AKA NICHOLSON FILE,Cullman,10/27/2010,03/04/2010,66.0,Closing *
324,JELD-WEN INTERIOR DOORS,Hartselle,10/25/2010,12/20/2010,51.0,Closing *
325,JOHNSON BROTHERS WINE COMPANY,Pelham,10/04/2010,10/29/2010,50.0,Layoff *
326,JOHNSON BROTHERS WINE OF ALABAMA,Huntsville,10/04/2010,10/29/2010,25.0,Closing *
327,ARAMARK HEALTHCARE,Florence,09/24/2010,11/28/2010,201.0,Closing *
328,"VANITY FAIR BRANDS, LP",Monroeville,08/05/2010,08/16/2010,68.0,Layoff *
329,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,08/06/2010,09/30/2010,317.0,Closing *
330,NORTHROP GRUMMAN,Redstone Arsenal,08/06/2010,09/30/2010,92.0,Layoff *
331,BERRY PLASTICS COMPANY - COVALENCE SPECIALTY ADHES,Albertville,07/23/2010,12/31/2010,93.0,Closing *
332,BASTION TECHNOLOGIES,Huntsville,06/21/2010,08/19/2010,124.0,Layoff *
333,GE DOTHAN MOTOR PLANT,Dothan,05/19/2010,10/30/2010,65.0,Closing *
334,SIRSIDYNIX,Huntsville,05/12/2010,05/12/2010,64.0,Closing *
335,AUTO WAREHOUSING COMPANY,Lincoln,03/22/2010,04/30/2010,54.0,Closing *
336,REPAK SOUTH/PMDC SOUTH/GILDAN,Fort Payne,04/08/2010,06/05/2010,27.0,Closing *
337,VF JEANSWEAR,Holly Pond,02/24/2010,04/30/2010,148.0,Closing *
338,JAY MID-SOUTH,Gadsden,02/24/2010,06/01/2010,75.0,Layoff *
339,"NEW ERA CAP, DISTRIBUTION CENTER",Mobile,12/09/2009,05/01/2010,60.0,Closing *
340,BRUNO'S,Mobile,03/16/2009,05/17/2009,110.0,Closing *
341,BRUNO'S,Mobile,03/16/2009,05/17/2009,77.0,Closing *
342,BRUNO'S,Mobile,03/16/2009,05/17/2009,58.0,Closing *
343,FOOD WORLD,Mobile,03/16/2009,05/17/2009,55.0,Closing *
344,FOOD WORLD,Mobile,03/16/2009,05/17/2009,55.0,Closing *
345,FOOD WORLD,Mobile,03/16/2009,05/17/2009,47.0,Closing *
346,FOOD WORLD,Mobile,03/16/2009,05/17/2009,52.0,Closing *
347,FOOD WORLD,Mobile,03/16/2009,05/17/2009,48.0,Closing *
348,FOOD WORLD,Theodore,03/16/2009,05/17/2009,30.0,Closing *
349,FOOD WORLD,Saraland,03/16/2009,05/17/2009,30.0,Closing *
350,"ARMSTRONG WORLD INDUSTRIES, INC.  (3)",Mobile,03/11/2009,05/08/2009,172.0,Closing *
351,SEARS HOLDINGS,Saraland,03/09/2009,05/31/2009,74.0,Closing *
352,HARBISON-WALKER REFRACTORIES COMPANY,Fairfield,08/25/2009,07/27/2009,74.0,Layoff *
353,ASSURANT EMPLOYEE BENEFITS,Birmingham,07/29/2009,11/13/2009,92.0,Layoff *
354,UNITED RETAIL SERVICE (URS),Birmingham,07/10/2009,09/08/2009,16.0,Layoff *
355,"SUN MICROSYSTEMS, INC.",Birmingham,06/29/2009,05/30/2009,12.0,Layoff *
356,UNITED STATES STEEL CORPORATION,Fairfield,05/08/2009,05/19/2009,1711.0,Closing *
357,FLEX-N-GATE-ALABAMA,McCalla,04/16/2009,12/01/2008,46.0,Layoff *
358,CLIFF'S NATURAL RESOUCES INC. - OAK GROVE MINE,Adger,04/15/2009,04/09/2009,47.0,Closing *
359,FOOD WORLD,McCalla,03/16/2009,05/17/2009,74.0,Closing *
360,FOOD WORLD,Trussville,03/16/2009,05/17/2009,42.0,Closing *
361,FOOD WORLD,Birmingham,03/16/2009,05/17/2009,42.0,Closing *
362,FOOD WORLD,Hueytown,03/16/2009,05/17/2009,60.0,Closing *
363,FOOD WORLD,Birmingham,03/16/2009,05/17/2009,40.0,Closing *
364,BRUNO'S SUPERMARKETS,Birmingham,03/16/2009,05/17/2009,87.0,Closing *
365,BRUNO'S SUPERMARKETS,Hoover,03/16/2009,05/17/2009,70.0,Closing *
366,BRUNO'S SUPERMARKETS,Birmingham,03/16/2009,05/17/2009,60.0,Closing *
367,BRUNO'S SUPERMARKETS,Birmingham,03/16/2009,05/17/2009,89.0,Closing *
368,BRUNO'S SUPERMARKETS,Hoover,03/16/2009,05/17/2009,106.0,Closing *
369,BRUNO'S SUPERMARKETS,Birmingham,03/16/2009,05/17/2009,73.0,Closing *
370,FOOD WORLD,Gardendale,03/16/2009,05/17/2009,48.0,Closing *
371,KV PHARMACEUTICAL COMPANY/THER-RX CORPORATION,Hoover,03/16/2009,03/06/2009,6.0,Layoff *
372,WACHOVIA CORPORATION,Homewood,03/14/2009,09/26/2008,76.0,Closing *
373,SEARS HOLDINGS,Birmingham,02/28/2009,09/28/2023,15.0,Closing *
374,"STEVENS GRAPHICS, INC.",Birmingham,02/06/2009,03/01/2009,283.0,Layoff *
375,BIRMINGHAM SOUTHERN RAILROAD COMPANY,Fairfield,01/28/2009,12/01/2008,41.0,Layoff *
376,CR COMPRESSORS LLC,Hartselle,08/17/2009,12/02/2011,149.0,Closing *
377,SITEL,Winfield,12/28/2009,02/27/2010,302.0,Closing *
378,LOCKHEED MARTIN CORPORATION,Huntsville,12/19/2009,01/31/2010,63.0,Layoff *
379,"NEW ERA CAP CO., INC.",Jackson,11/19/2009,01/18/2010,320.0,Closing *
380,VISTEON CORPORATION,Tuscaloosa,10/04/2009,11/30/2009,,Closing *
381,"BAE SYSTEMS, USCS-ANNISTON",Anniston,08/14/2009,11/27/2010,102.0,Layoff *
382,COOPER HOSIERY MILLS,Fort Payne,10/20/2009,12/14/2009,51.0,Layoff *
383,CARLISLE TIRE AND WHEEL COMPANY,Heflin,08/05/2009,10/02/2009,50.0,Closing *
384,ARAMARK HEALTHCARE SUPPORT SERVICES,Huntsville,10/07/2009,11/28/2009,163.0,Layoff *
385,"ABITIBI BOWATER INC., COOSA PINES OPERATIONS",Coosa Pines,09/21/2009,09/28/2009,90.0,Layoff *
