,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
666,KMART CORPORATION # 7435,Mobile,01/14/2003,03/21/2003,25.0,Closing *
667,TENET PATIENT FINANCIAL SERVICES-BROOKWOOD MEDICAL,Birmingham,10/14/2003,12/05/2003,50.0,Closing *
668,DAYTON SUPERIOR MANUFACTURING,Birmingham,09/12/2003,11/10/2003,150.0,Closing *
669,"CONSTAR, INC.",Birmingham,09/08/2003,11/03/2003,48.0,Closing *
670,"GOLD KIST, INC.",Trussville,09/03/2003,11/02/2003,490.0,Closing *
671,COPPERWELD (AKA LTV COPPERWELD),Birmingham,05/12/2003,07/08/2003,54.0,Closing *
672,OVATIONS (A UNITEDHEALTH GROUP COMPANY),Birmingham,03/28/2003,06/02/2003,74.0,Closing *
673,BAKE-LINE GROUP,Birmingham,01/31/2003,04/01/2003,139.0,Closing *
674,CLARKE AMERICAN,Birmingham,01/16/2003,03/17/2003,71.0,Closing *
675,DYNCORP TECHNICAL SERVICES,Daleville,09/29/2003,11/30/2003,3157.0,Closing *
676,"GOODYEAR DUNLOP TIRE NA, LTD.",Huntsville,10/07/2003,12/05/2003,1160.0,Closing *
677,SARA LEE BAKERY GROUP,Fort Payne,09/12/2003,09/26/2003,800.0,Closing *
678,"DANA CORP.,  SPICER TRAILER PRODUCTS",Montgomery,09/15/2003,11/11/2003,98.0,Closing *
679,BECHTEL POWER CORPORATION,Decatur,08/26/2003,09/30/2003,686.0,Closing *
680,CROWNTUFT,Heflin,08/01/2003,09/29/2003,53.0,Closing *
681,PILLOWTEX CORPORATION,Phenix City,07/30/2003,07/31/2003,216.0,Closing *
682,"PILLOWTEX, INC.",Scottsboro,07/30/2003,07/30/2003,265.0,Closing *
683,"BEMIS COMPANY, INC.",Prattville,07/22/2003,09/21/2003,85.0,Closing *
684,WESTPOINT STEVENS,Greenville,06/27/2003,09/01/2003,65.0,Layoff *
685,UAW/DAIMLER CHRYSLER CHILD DEVELOPMENT,Huntsville,06/19/2003,08/29/2003,56.0,Closing *
686,"DILLARD'S INC., MONTGOMERY MALL",Montgomery,12/18/2003,02/16/2004,165.0,Closing *
687,"NEW TECHNOLOGY, INC.",Huntsville,12/17/2003,12/31/2003,94.0,Layoff *
688,"MOHAWK INDUSTRIES, INC.",Talladega,11/17/2003,01/30/2004,125.0,Closing *
689,CLEANERS HANGER COMPANY (CHC),Gadsden,12/01/2003,11/21/2003,50.0,Closing *
690,ENCOMPASS GROUP (DOWLING MANUFACTURING),Clio,11/25/2003,01/30/2004,91.0,Closing *
691,ARCATA ASSOCIATES,Huntsville,11/24/2003,12/31/2003,66.0,Closing *
692,"JOHNSTON INDUSTRIES, INC.",Valley,11/24/2003,12/15/2003,191.0,Closing *
693,WESTPOINT STEVENS (LANIER PLANT),Valley,11/17/2003,01/16/2004,300.0,Closing *
694,JVC,Tuscaloosa,11/14/2003,01/31/2004,120.0,Layoff *
695,DIGITALNET GOVERNMENT SOLUTIONS,Huntsville,11/03/2003,03/30/2004,56.0,Closing *
696,LOCKHEED MARTIN,Huntsville,11/04/2003,12/31/2003,118.0,Layoff *
697,COMPUTER SCIENCES CORPORATION,Huntsville,11/03/2003,03/30/2004,667.0,Layoff *
698,"ONESOURCE FACILITY SERVICES, INC.",Tuskegee,09/30/2003,01/15/2004,144.0,Closing *
699,L3 COMMUNICATIONS,Fort Rucker,09/29/2003,11/27/2003,57.0,Closing *
700,"FLEMING COMPANIES, INC.",Geneva,05/27/2003,05/30/2003,159.0,Closing *
701,INTERNATIONAL PAPER,Moundville,05/20/2003,05/20/2003,172.0,Closing *
702,"AVONDALE MILLS, INC., BEVILLE PLANT",Alexander City,05/22/2003,07/24/2003,174.0,Layoff *
703,FISKARS' HOME LEISURE (AMERICAN DESIGNER POTTERY),Opelika,05/21/2003,07/21/2003,76.0,Closing *
704,"CORTEZ, INC.",Marshall Center,05/12/2003,07/18/2003,157.0,Closing *
705,UNITED STATES PIPE & FOUNDRY CO.,Anniston,04/29/2003,04/29/2003,80.0,Closing *
706,MEADOW GOLD DAIRIES,Huntsville,04/25/2003,06/24/2003,140.0,Closing *
707,"LEXINGTON FABRICS, INC.",Florence,04/10/2003,04/11/2003,242.0,Closing *
708,"AVONDALE MILLS, INC.",Bon Air,03/13/2003,05/16/2003,114.0,Closing *
709,WEYERHAEUSER PLYWOOD FACILITY,Millport,02/26/2003,05/04/2003,250.0,Closing *
710,WISE ALLOYS LLC,Sheffield,01/31/2003,08/09/2004,66.0,Closing *
711,"CHAROEN POKPHAND (USA), INC.",Bakerhill,01/27/2003,03/30/2003,15.0,Closing *
712,KMART CORPORATION STORE # 4833,Atmore,01/14/2003,03/21/2003,100.0,Closing *
713,KMART CORPORATION STORE #3132,Montgomery,01/14/2003,03/21/2003,150.0,Closing *
714,KMART - STORE #3671,Madison,01/14/2003,03/21/2003,64.0,Closing *
715,"DILLARD'S INC., MOBILE",Mobile,12/02/2002,02/01/2003,152.0,Closing *
716,"MUNDY MAINTENANCE AND SERVICES, LLC",Theodore,10/03/2002,11/01/2002,90.0,Closing *
717,DEGUSSA CORP./BASF,Theodore,05/07/2002,08/31/2002,94.0,Closing *
718,MOBILE PULLEY AND MACHINE WORKS,Mobile,02/02/2002,04/22/2002,134.0,Closing *
719,OCAL INC.,Mobile,01/09/2002,12/20/2002,221.0,Closing *
720,"UNR ROHN, INC.",Bessemer,11/06/2002,12/31/2002,115.0,Closing *
721,"CUMMINS ALABAMA, INC.",Birmingham,11/05/2002,12/30/2002,63.0,Closing *
722,CONSOLIDATED FREIGHTWAYS,Birmingham,09/12/2002,09/01/2002,104.0,Closing *
723,FIRST SOURCE FURNITURE GROUP,Leeds,05/13/2002,05/09/2002,134.0,Closing *
724,"SRM AGGREGATES, INC.",Birmingham,03/22/2002,05/15/2002,177.0,Closing *
725,KMART CORPORATION-STORE 3356,Birmingham,03/11/2002,05/07/2002,80.0,Closing *
726,KMART CORPORATION-STORE 3528,Birmingham,03/11/2002,05/07/2002,80.0,Closing *
727,KMART CORPORATION-STORE 3930,Fairfield,03/11/2002,05/07/2002,90.0,Closing *
728,MACY'S EAST (GALLERIA MALL),Hoover,01/22/2002,03/24/2002,192.0,Closing *
729,TEE JAYS,Florence,07/03/2002,08/31/2002,207.0,Layoff *
730,CASH VALVE,Cullman,06/04/2002,07/15/2002,50.0,Layoff *
731,NESTLE PURINA PETCARE COMPANY,Decatur,05/23/2002,08/02/2002,125.0,Closing *
732,AMERICAN CANDY COMPANY,Selma,05/08/2002,05/10/2002,330.0,Layoff *
733,INVITROGEN CORPORATION,Huntsville,04/25/2002,04/25/2002,250.0,Closing *
734,GENESYS CONFERENCING,Montgomery,04/18/2002,06/12/2002,85.0,Closing *
735,"CLARK ALABAMA, INC.",Pell City,04/15/2002,09/01/2002,52.0,Closing *
736,WIEGAND APPLIANCE DIVISION,Vernon,04/05/2002,08/01/2002,219.0,Layoff *
737,BELLSOUTH,Decatur,03/22/2002,05/31/2002,55.0,Closing *
738,KMART CORPORATION-STORE 3849,Huntsville,03/11/2002,05/07/2002,70.0,Closing *
739,KMART CORPORATION-STORE 7336,Pelham,03/11/2002,05/07/2002,70.0,Closing *
740,KMART CORPORATION-STORE 4836,Ozark,03/11/2002,05/07/2002,80.0,Closing *
741,GETRONICS,Huntsville,03/01/2002,04/30/2002,62.0,Closing *
742,PILLOWTEX CORPORATION,Phenix City,02/28/2002,03/31/2002,818.0,Layoff *
743,"FAYETTE COTTON MILL, INC.",Fayette,02/28/2002,09/28/2003,286.0,Closing *
744,WEHADKEE YARN MILLS-CHINNABEE PLANT,Talladega,02/19/2002,04/19/2002,90.0,Closing *
745,OWENS CORNING,Athens,01/30/2002,03/31/2002,63.0,Closing *
746,TYCO ELECTRONICS,Arab,01/11/2002,03/04/2002,256.0,Closing *
747,"KMART CORPORATION, STORE # 3054",Montgomery,01/14/2002,03/21/2003,150.0,Closing *
748,SARA LEE BAKING GROUP,Huntsville,12/30/2002,02/28/2003,72.0,Closing *
749,OPP & MICOLAS MILLS (JOHNSTON INDUSTRIES),Opp,12/18/2002,12/18/2002,647.0,Closing *
750,BE & K CONSTRUCTION COMPANY,Decatur,11/05/2002,01/02/2003,108.0,Layoff *
751,"ARDCO HOLDINGS, INC.",Scottsboro,10/21/2002,12/16/2002,140.0,Closing *
752,SANMINA-SCI CORPORATION (PLANT 5),Huntsville,10/15/2002,10/28/2002,124.0,Closing *
753,BOISE PAPER SOLUTIONS,Jackson,09/26/2002,12/02/2002,78.0,Layoff *
754,"SUMMA TECHNOLOGY, INC.",Cullman,09/04/2002,10/31/2002,66.0,Layoff *
755,SIEMENS WESTINGHOUSE,Fort Payne,08/30/2002,10/28/2002,200.0,Layoff *
756,CROWNTUFT,Heflin,08/26/2002,10/21/2002,147.0,Layoff *
757,"SCHOOL SPECIALTY, INC.",Lineville,08/22/2002,10/18/2002,58.0,Closing *
758,TRILLIUM TUSCALOOSA,Tuscaloosa,08/07/2002,10/06/2002,133.0,Layoff *
759,"ANSELL HEALTHCARE PRODUCTS, INC.",Troy,08/02/2002,09/30/2002,125.0,Closing *
760,FIRST CORRECTIONS CORPORATION,Clayton,07/31/2002,09/30/2002,87.0,Closing *
761,"LIZ CLAIRBORNE, INC.",Montgomery,07/31/2002,10/04/2002,341.0,Closing *
762,HUNTLEIGH USA CORPORATION,Huntsville,07/30/2002,11/19/2002,27.0,Closing *
763,"BELLSOUTH CALL CENTER, MONTGOMERY",Montgomery,07/01/2002,09/30/2002,85.0,Closing *
764,INTERNATIONAL PAPER-MOBILE PACKAGING FACILITY,Mobile,05/29/2001,06/15/2001,137.0,Layoff *
765,SAPPI LTD.,Mobile,05/07/2001,05/15/2001,500.0,Closing *
766,"ACTEL COMMUNICATIONS, INC.",Mobile,04/16/2001,04/11/2001,175.0,Closing *
767,"ACORDIS CELLULOSIC FIBERS, INC.",Axis,04/03/2001,06/04/2001,324.0,Closing *
768,CINGULAR WIRELESS,Mobile,07/11/2001,09/15/2001,89.0,Closing *
769,"THOMAS FOUNDRY (SVEDALA INDUSTRIES, INC.)",Birmingham,11/14/2001,01/15/2002,86.0,Closing *
770,"BUTLER MANUFACTURING COMPANY, INC.",Birmingham,10/02/2001,12/01/2001,99.0,Layoff *
771,CLASSROOM DIRECT,Birmingham,08/13/2001,10/27/2001,71.0,Closing *
772,SECURITYLINK,Birmingham,07/26/2001,09/25/2001,91.0,Closing *
773,CINGULAR WIRELESS,Birmingham,07/03/2001,08/31/2001,208.0,Closing *
774,"COOK PUBLICATIONS, INC.",Birmingham,07/02/2001,09/17/2001,56.0,Layoff *
775,SIRCO SYSTEMS,Birmingham,05/07/2001,07/01/2001,46.0,Closing *
776,"MEDIA SERVICES, INC.",Birmingham,03/26/2001,05/18/2001,224.0,Closing *
777,PLIANT CORPORATION,Birmingham,02/28/2001,04/28/2001,94.0,Closing *
778,MICHEL COMPANY,Birmingham,02/26/2001,04/16/2001,1.0,Layoff *
779,"SONICS ASSOCIATES, INC.",Birmingham,02/27/2001,04/20/2001,75.0,Layoff *
780,CONNECTSOUTH,Birmingham,02/23/2001,02/23/2001,9.0,Closing *
781,GOODRICH AEROSTRUCTURES GROUP,Foley,12/28/2001,03/01/2002,350.0,Closing *
782,CAM,Chatom,12/14/2001,02/12/2002,91.0,Closing *
783,NOKIA BROADBAND ACCESS,Huntsville,12/05/2001,02/04/2002,71.0,Closing *
784,AMERICOLD COMPRESSORS,Cullman,10/31/2001,03/08/2002,476.0,Closing *
785,BE&K CONSTRUCTION COMPANY,Decatur,11/27/2001,01/03/2002,110.0,Closing *
786,"THE HUDSON COMPANIES, INC.",Troy,11/19/2001,01/21/2002,150.0,Closing *
787,RUSSELL CORPORATION,Alexander City,11/14/2001,11/26/2001,275.0,Closing *
788,"VANITY FAIR INTIMATES, ATMORE",Atmore,11/16/2001,01/14/2002,509.0,Closing *
789,"WABASH ALLOYS, LLC",Russellville,02/26/2001,04/15/2001,60.0,Closing *
790,TRIMS UNLIMITED,Greenville,02/16/2001,04/18/2002,64.0,Layoff *
791,OPELIKA FOUNDRY COMPANY,Opelika,02/16/2001,04/16/2001,71.0,Closing *
792,"TRINITY INDUSTRIES, INC.",Montgomery,02/12/2001,04/13/2001,225.0,Closing *
793,GOLDEN ROD BROILERS,Greensboro,01/13/2001,04/13/2001,179.0,Closing *
794,INTERNATIONAL WIRE,Elkmont,02/12/2001,04/13/2001,33.0,Closing *
795,INTERNATIONAL WIRE,Ardmore,02/12/2001,04/13/2001,29.0,Closing *
796,CONAGRA POULTRY COMPANY,Enterprise,02/01/2001,02/05/2001,100.0,Layoff *
797,"A-1 MANUFACTURING CO., INC.",Brilliant,01/29/2001,03/27/2001,77.0,Closing *
798,"MI-TECH STEEL, INC.",Decatur,01/23/2001,03/23/2001,65.0,Closing *
799,THERMO KING,Montgomery,01/18/2001,04/30/2001,200.0,Closing *
800,"CULP, INC.",Wetumpka,01/22/2001,03/09/2001,122.0,Closing *
801,PILLIOD FURNITURE INC.,Selma,01/18/2001,03/19/2001,165.0,Layoff *
802,PACIFICORP SYN FUEL LLC,Quinton,01/17/2001,03/17/2001,64.0,Closing *
803,"VF JEANSWEAR, RED BAY",Red Bay,11/14/2001,01/13/2002,273.0,Closing *
804,"VF JEANSWEAR, RUSSELLVILLE",Russellville,11/14/2001,01/13/2002,574.0,Closing *
805,"VF JEANSWEAR, ONEONTA",Oneonta,11/14/2001,01/13/2002,681.0,Closing *
806,"VF JEASWEAR, FLORENCE",Florence,11/14/2001,01/13/2002,434.0,Closing *
807,"VF JEANSWEAR, HANCEVILLE",Hanceville,11/14/2001,01/13/2002,217.0,Closing *
808,THE PHILLIPS-VAN HEUSEN CORP.,Ozark,11/07/2001,01/06/2002,102.0,Layoff *
809,AMERICAN FINE WIRE,Selma,11/06/2001,01/01/2002,53.0,Closing *
810,BOWATER-COOSA PINES OPERATIONS,Coosa Pines,11/02/2001,01/01/2002,314.0,Layoff *
811,ACORDIS INDUSTRIAL FIBERS,Scottsboro,10/29/2001,12/28/2001,263.0,Layoff *
812,"INTERMET-ALEX CITY CASTING COMPANY, INC.",Alexander City,10/24/2001,12/23/2001,117.0,Closing *
813,"PROMOWERKS, INC.",Phenix City,10/02/2001,11/30/2001,15.0,Closing *
814,"DANA CORPORATION, RIDE & CONTROL SYSTEMS",Anniston,10/04/2001,11/15/2001,24.0,Closing *
815,RUSSELL CORP. (TEXTILE/ATHLETIC'S OPERATIONS),Alexander City,10/01/2001,10/26/2001,150.0,Layoff *
816,ARVINMERITOR INC.,Fayette,08/20/2001,10/19/2001,371.0,Closing *
817,"TNS MILLS, INC.",Eufaula,08/09/2001,04/14/2001,132.0,Closing *
818,SCOTTSBORO ALUMINUM,Scottsboro,08/06/2001,07/06/2001,450.0,Closing *
819,"HY-TOP SPORTSWEAR, INC.",Geraldine,08/03/2001,08/10/2001,70.0,Closing *
820,"NEW TECHNOLOGY, INC.",Huntsville,08/02/2001,09/30/2001,114.0,Layoff *
821,HILTON CORPORATE CASUALS,Thomasville,07/19/2001,09/15/2001,131.0,Layoff *
822,TEE JAYS,Florence,07/16/2001,09/14/2001,660.0,Layoff *
823,"A.J. GERRARD COMPANY, INC.",Florence,07/06/2001,06/18/2001,95.0,Closing *
824,HEALTHTEX,Centreville,07/09/2001,09/07/2001,296.0,Closing *
825,PILLOWTEX CORPORATION,Phenix City,06/29/2001,07/09/2001,56.0,Closing *
826,AMERICAN NONWOVEN CORPORATION,Talladega,06/29/2001,07/31/2001,40.0,Closing *
827,EVENFLO,Jasper,06/26/2001,06/26/2001,88.0,Closing *
828,RUSSELL CORPORATION-HI-TECH SEWING PLANT,Alexander City,06/08/2001,06/30/2001,169.0,Closing *
829,RUSSELL CORPORATION-COOSA RING SPINNING PLANT,Alexander City,06/08/2001,07/15/2001,145.0,Closing *
830,RUSSELL CORPORATION-JERZEES SEWING PLANT,Lafayette,06/08/2001,06/30/2001,220.0,Closing *
831,RUSSELL CORPORATION-TEXTILE PLANT,Sylacauga,06/08/2001,06/30/2001,265.0,Closing *
832,LOUISIANA PACIFIC CORPORATION,Evergreen,05/24/2001,06/08/2001,67.0,Closing *
833,"SILICON GRAPHICS, INC. (SGI)",Huntsville,05/29/2001,07/23/2001,38.0,Layoff *
834,HEILIG-MEYERS FURNITURE,Russellville,05/24/2001,07/20/2001,76.0,Closing *
835,GREIF BROTHERS CORPORATION,Cullman,05/10/2001,07/01/2001,67.0,Closing *
836,M. FINE & SON,Killen,05/03/2001,05/02/2001,35.0,Closing *
837,INTERNATIONAL WIRE,Elkmont,04/20/2001,08/31/2001,63.0,Closing *
838,"TRICO STEEL COMPANY, LLC",Decatur,03/27/2001,03/22/2001,260.0,Closing *
839,GULF STATES PAPER CORPORATION,Maplesville,03/26/2001,06/15/2001,231.0,Layoff *
840,"DEFENDER SERVICES, INC. (FAYETTE MFG CO)",Fayette,03/26/2001,03/16/2001,168.0,Closing *
841,"ABC-NACO, INC.",Calera,03/14/2001,10/09/2001,300.0,Layoff *
842,GOLDEN RULE PRINTING,Huntsville,03/14/2001,05/09/2001,60.0,Closing *
843,"UNION YARN MILLS, INC.",Jacksonville,03/15/2001,03/30/2001,200.0,Closing *
844,DOUBLE SPRINGS CORPORATION,Double Springs,03/05/2001,03/26/2001,93.0,Closing *
845,"SCI SYSTEMS, INC.",Arab,03/01/2001,04/30/2001,337.0,Closing *
846,"SOUTHERN ENERGY RESOURCES, INC.",Mobile,12/14/2000,02/12/2001,66.0,Closing *
847,SPECIALTY MINERALS,Chickasaw,10/30/2000,12/31/2000,5.0,Closing *
848,INTERNATIONAL PAPER COMPANY,Mobile,10/18/2000,12/31/2000,790.0,Closing *
849,"BARBER DAIRIES, INC.",Mobile,06/01/2000,09/30/2000,70.0,Closing *
850,"RUBY TUESDAY, INC.",Mobile,02/11/2000,05/10/2000,160.0,Closing *
851,CHARTER HOSPITAL OF MOBILE,Mobile,01/28/2000,01/28/2000,112.0,Closing *
852,FAIRPOINT COMMUNICATIONS SOLUTIONS CORP.,Birmingham,12/18/2000,12/18/2000,60.0,Closing *
853,KMART CORPORATION,Bessemer,08/03/2000,10/05/2000,104.0,Closing *
854,"GUZZLER MANUFACTURING, INC.",Birmingham,08/02/2000,10/01/2000,115.0,Closing *
855,UNIPRISE,Birmingham,07/05/2000,09/01/2000,154.0,Closing *
856,GRIFFIN WHEEL COMPANY,Bessemer,05/12/2000,07/17/2000,117.0,Layoff *
857,COMDATA,Birmingham,04/27/2000,05/19/2000,120.0,Closing *
858,DANKA OFFICE IMAGING COMPANY,Birmingham,03/27/2000,05/15/2000,52.0,Closing *
859,KMART CORPORATION,Birmingham,03/13/2000,06/07/2000,89.0,Closing *
860,U.S. AIRWAYS,Birmingham,02/28/2000,03/25/2000,39.0,Closing *
861,TENET PHYSICIAN SERVICES,Birmingham,02/28/2000,10/15/1999,76.0,Closing *
862,PACKARD-HUGHES INTERCONNECT,Robertsdale,12/04/2000,02/05/2001,475.0,Closing *
863,DORSEY TRAILERS,Elba,11/30/2000,12/01/2000,650.0,Closing *
864,LOUISIANA- PACIFIC CORPORATION,Clayton,12/05/2000,11/29/2000,225.0,Closing *
865,AMETEK PRESTOLITE MOTORS USA,Decatur,11/27/2000,12/15/2000,250.0,Closing *
866,"JOHNSTON INDUSTRIES, INC.",Phenix City,11/22/2000,01/20/2001,175.0,Layoff *
867,"ALICEVILLE COTTON MILL, INC.",Aliceville,11/09/2000,11/09/2000,170.0,Closing *
868,TALLADEGA COLLEGE,Talladega,11/07/2000,01/06/2001,51.0,Layoff *
869,"LIBERTY TROUSER, INC",Boaz,10/30/2000,12/31/2000,85.0,Closing *
870,"WAVERLEE HOMES, INC.",Tuscumbia,10/20/2000,12/22/2000,140.0,Closing *
871,"INTERNATIONAL PAPER, INC.",Courtland,10/23/2000,12/31/2000,400.0,Layoff *
872,CMI INDUSTRIES INC.,Geneva,10/17/2000,12/14/2000,420.0,Layoff *
873,BEAULIEU-COLUMBUS MILLS,Phenix City,10/11/2000,12/02/2000,122.0,Closing *
874,RUSSELL YARNS,Alexander City,10/10/2000,10/09/2000,90.0,Closing *
875,"CRAFTWOOD DESIGN, INC.",Haleyville,10/17/2000,12/03/2000,80.0,Closing *
876,"WINFIELD COTTON MILL, INC.",Winfield,10/05/2000,10/06/2000,215.0,Closing *
877,CITATION MARION,Marion,09/18/2000,10/13/2000,110.0,Layoff *
878,DANA CORPORATION-SPICER TRAILER PRODUCTS DIV.,Montgomery,08/23/2000,10/31/2000,60.0,Layoff *
879,"ANSELL HEALTHCARE PRODUCTS, INC.",Dothan,08/16/2000,10/15/2000,128.0,Layoff *
880,"KMART CORPORATION, BREWTON",Brewton,08/07/2000,10/05/2000,85.0,Closing *
881,"GULF STATES STEEL, INC.",Gadsden,08/07/2000,08/08/2000,1690.0,Closing *
882,"RUST CONSTRUCTORS, INC.",Decatur,07/26/2000,09/05/2000,65.0,Closing *
883,MCQUAY INTERNATIONAL,Scottsboro,07/18/2000,09/30/2000,336.0,Closing *
884,ARROW SHIRT,Albertville,05/10/2000,09/25/2000,295.0,Closing *
885,"HAGER HINGE, INC.",Oxford,06/28/2000,09/08/2000,75.0,Closing *
886,"BUCCANEER HOMES, INC.",Winfield,06/01/2000,07/31/2000,96.0,Closing *
887,REDMAN HOMES,Eastaboga,05/18/2000,05/18/2000,226.0,Closing *
888,FONTAINE TRAILER COMPANY,Haleyville,05/10/2000,02/10/2000,81.0,Layoff *
889,"NC INDUSTRIES, INC.",Arley,05/02/2000,04/30/2000,134.0,Closing *
890,BEAULIEU OF AMERICA,Union Springs,05/01/2000,06/30/2000,91.0,Closing *
891,"LAIDLAW TRANSIT, INC.",Tuscaloosa,05/01/2000,06/30/2000,57.0,Closing *
892,SHOREWOOD PACKAGING CORPORATION,Andalusia,04/12/2000,04/12/2000,93.0,Closing *
893,BOSS MANUFACTURING COMPANY,Greenville,04/12/2000,06/30/2000,91.0,Closing *
894,"AMOTEX, INC.",Centre,03/31/2000,05/31/2000,55.0,Closing *
895,AMERICAN HOMESTAR CORPORATION,Brilliant,03/16/2000,03/15/2000,193.0,Closing *
896,TELEDYNE TUNGSTEN PRODUCTS,Huntsville,03/23/2000,04/03/2000,77.0,Closing *
897,VANITY FAIR INTIMATES,Jackson,03/10/2000,05/15/2000,543.0,Closing *
898,"RUSSELL CORPORATION, ASHLAND",Ashland,03/06/2000,03/17/2000,210.0,Closing *
899,BERRYDIRECT,Birmingham,03/06/2000,05/08/2000,85.0,Closing *
900,COATS NORTH AMERICA,Anniston,03/06/2000,04/28/2000,214.0,Closing *
901,KLEINERT'S INC. OF ALABAMA,Elba,02/22/2000,04/21/2000,100.0,Layoff *
902,"RUSSELL CORPORATION, GENEVA",Geneva,02/04/2000,03/03/2000,207.0,Closing *
903,"GLENN ENTERPRISES, INC.",Sulligent,02/04/2000,04/03/2000,163.0,Closing *
904,"CENTURY CARTONS, INC.",Livingston,01/10/2000,03/06/2000,80.0,Closing *
905,"DILLARD'S, INC., DISTRIBUTION CENTER",Mobile,11/01/1999,12/30/1999,137.0,Closing *
906,"INTERNATIONAL PAPER CO., BAG PLANT",Mobile,08/30/1999,10/01/1999,151.0,Layoff *
907,KIMBERLY-CLARK,Mobile,04/07/1999,07/17/1999,500.0,Layoff *
908,TENCEL-ACORDIS FIBERS,Axis,01/28/1999,03/31/1999,96.0,Closing *
909,MONTGOMERY WARD & CO.,Mobile,01/22/1999,03/21/1999,81.0,Closing *
910,JUST FOR FEET,Birmingham,10/12/1999,10/22/1999,594.0,Closing *
911,DRUMMOND COMPANY-SHOAL CREEK,Adger,09/27/1999,11/23/1999,350.0,Layoff *
912,HOME QUARTERS,Birmingham,09/09/1999,09/09/1999,84.0,Closing *
913,HOME QUARTERS,Hoover,09/09/1999,09/09/1999,68.0,Closing *
914,MEDPARTNERS,Birmingham,08/03/1999,09/28/1999,200.0,Layoff *
915,INTER-NATIONAL CHILDRENSWEAR,Birmingham,06/14/1999,07/01/1999,50.0,Closing *
916,"SONY MAGNETIC PRODUCTS, INC.",Dothan,08/20/1999,11/01/1999,250.0,Layoff *
917,COMMUNICATIONS TECHNOLOGY CORPORATION,Madison,08/10/1999,10/01/1999,65.0,Closing *
918,"CLUETT, PEABODY & CO., INC.",Enterprise,08/02/1999,10/01/1999,273.0,Closing *
919,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",Redstone Arsenal,07/23/1999,09/30/1999,396.0,Closing *
920,"TREAT ENTERTAINMENT, INC.",Florence,07/01/1999,08/30/1999,76.0,Closing *
921,"LONDON INTERNATIONAL GROUP, LLC",Dothan,05/26/1999,09/01/1999,500.0,Closing *
922,SHAPE GLOBAL TECHNOLOGY INC.,Dadeville,06/16/1999,08/16/1999,113.0,Closing *
923,SCHNEIDER NATIONAL CARRIERS,Evergreen,06/04/1999,07/01/1999,91.0,Layoff *
924,"INTER-NATIONAL CHILDRENSWEAR, LLC",Snead,06/04/1999,07/01/1999,50.0,Closing *
925,"PRAEGITZER INDUSTRIES, INC.",Madison,06/04/1999,06/08/1999,195.0,Closing *
926,FLORENCE HOSPITAL,Florence,05/28/1999,07/25/1999,205.0,Closing *
927,"S & C BEEF PROCESSORS, L.L.C.",Montgomery,05/27/1999,05/28/1999,650.0,Layoff *
928,"WEX TEX INDUSTRIES, INC.",Ashford,05/17/1999,07/31/1999,90.0,Layoff *
929,RUSSELL CORPORATION-GREENVILLE,Greenville,05/03/1999,06/30/1999,252.0,Closing *
930,BAPTIST MEDICAL CENTER-DOWNTOWN,Montgomery,04/03/1999,06/30/1999,12.0,Closing *
931,ALL LOCK COMPANY INC.,Selma,04/22/1999,07/01/1999,315.0,Closing *
932,MARTIN INDUSTRIES,Huntsville,12/12/1999,02/10/1999,121.0,Closing *
933,CINTAS CORPORATION,Stevenson,11/29/1999,11/29/1999,91.0,Closing *
934,KMART CORPORATION,Bay Minette,11/22/1999,01/26/2000,33.0,Closing *
935,"RUSSELL CORP., COLUMBIA",Columbia,11/01/1999,11/24/1999,235.0,Closing *
936,DRUMMOND COMPANY-CEDRUM MINE,Townley,09/29/1999,11/23/1999,165.0,Closing *
937,RUSSELL CORP.  WETUMPKA AUTO SEW,Wetumpka,09/09/1999,09/10/1999,117.0,Closing *
938,RUSSELL CORP. BRUNDIDGE,Brundidge,09/09/1999,09/10/1999,297.0,Layoff *
939,HOME QUARTERS,Montgomery,09/09/1999,09/09/1999,79.0,Closing *
940,BUILDERS SQUARE,Huntsville,09/09/1999,09/09/1999,68.0,Closing *
941,"JOHNSON CONTROLS, INC.",Fort McClellan,03/31/1999,06/30/1999,112.0,Closing *
942,REFORM MANUFACTURING COMPANY,Reform,03/22/1999,05/21/1999,269.0,Closing *
943,"MEDLINE INDUSTRIES, INC.",Pell City,03/16/1999,06/01/1999,75.0,Closing *
944,SALANT CORPORATION,Andalusia,03/09/1999,05/07/1999,188.0,Closing *
945,"TRAIL KING INDUSTRIES, INC.",Green Pond,03/18/1999,05/07/1999,54.0,Closing *
946,"ONEITA INDUSTRIES, INC.",Cullman,03/16/1999,04/30/1999,311.0,Closing *
947,"ONEITA INDUSTRIES, INC.",Fayette,03/16/1999,03/19/1999,355.0,Closing *
948,NIEMAND INDUSTRIES,Marion,03/03/1999,05/03/1999,81.0,Layoff *
949,"DILLARD'S, INC.",Montgomery,03/02/1999,04/30/1999,47.0,Layoff *
950,FRISCO MANUFACTURING COMPANY,Frisco City,02/04/1999,02/11/1999,67.0,Layoff *
951,KMART,Selma,02/01/1999,04/14/1999,71.0,Closing *
952,RUSSELL CORP.-WETUMPKA,Wetumpka,01/22/1999,02/15/1999,90.0,Closing *
953,COLUMBUS MILLS,Phenix City,01/25/1999,04/30/1999,175.0,Closing *
