,company_name,location,notice_date
528,"Knotel, Inc.",New York City,2/4/2021
529,"Paragon Sports, LLC",New York City,2/4/2021
530,Cantor Fitzgerald Securities (Operations Division),New York City,2/4/2021
531,GT Operating Company LLC dba Gramercy Tavern,New York City,2/3/2021
532,"Union Square Cafe II, LLC dba Union Square Cafe",New York City,2/3/2021
533,Transform SR LLC (Sears Store #01924 & Automotive Center #06134),Long Island,2/2/2021
534,El Al Israeli Airlines LTD. (JFK),New York City,2/1/2021
535,Michael Page International Inc.,New York City,2/1/2021
536,"WeWork Companies, Inc.",New York City,1/29/2021
537,"WeWork Companies, Inc.",New York City,1/29/2021
538,"BCS Automotive Interface Solutions U.S., LLC",Central,1/27/2021
539,"Mid-State Raceway, Inc. dba Vernon Downs Casino Hotel",Mohawk Valley,1/26/2021
540,"Spot & Company of Manhattan, Inc.",New York City,1/21/2021
541,T.I.C. Akean Inc.,New York City,1/20/2021
542,Pret A Manger (USA) Ltd.,New York City,1/20/2021
543,Best Buy (Store #538),Central,1/20/2021
544,"Aramark Services, Inc.",New York City,1/19/2021
545,"Paragon Sports, LLC",New York City,1/19/2021
546,"Breton Industries, Inc. (Military Products and Commercial Lines)",Mohawk Valley,1/19/2021
547,Cantor Fitzgerald Securities (Operations Division),New York City,1/19/2021
548,Michael Page International Inc.,New York City,1/15/2021
549,Southwest Airlines Co.,Capital / Long Island / New York City / Western / Finger Lakes,1/14/2021
550,"Tioga Downs Racetrack, LLC",Southern,1/12/2021
551,"Maryhaven Center of Hope Inc. (Children's Residential Program, Boy's Dormitory, Young Men's Dormitory, Center Dormitory and CRP House A and C)",Long Island,1/11/2021
552,"The Sake Club, Inc. dba Sakagura",New York City,1/11/2021
553,Herald Square Enterprises Inc. - The Rag Trader & Bo Peep Cocktail and Highball Store,New York City,1/11/2021
554,Macy's Inc.,Mid-Hudson,1/7/2021
555,Macy's Inc.,Mohawk Valley,1/7/2021
556,WV Hospitality LLC Leuca/Westlight/William Vale Hotel,New York City,1/7/2021
557,"RR Donnelley (GO Creative Studio, Presentation, Content Strategy & Proofreading operation)",New York City,1/7/2021
558,Saratoga Center for Care LLC dba Saratoga Center for Rehabilitation and Skilled Nursing Care,Capital,1/7/2021
559,HFZ Capital Group (HFZ Real Estate Development LLC),New York City,1/6/2021
560,"Fifty Second Street Hotel Associates, LLC dba Novotel New York Times Square Hotel",New York City,1/6/2021
561,Michael Page International Inc.,New York City,1/6/2021
562,Pret A Manger (USA) Ltd.,New York City,1/6/2021
563,Nobu 57 LLC dba Nobu New York Fifty Seven,New York City,1/4/2021
564,"Nobu 195 LLC, dba Nobu New York Downtown",New York City,1/4/2021
565,Imagine Early Learning Centers,New York City,1/4/2021
566,Imagine Early Learning Centers,Long Island,1/4/2021
