,company_name,location,notice_date,layoff_date,employees_affected,Closure or Layoff,Type of Layoff
231,Hyatt Corporation Motif Seattle,Seattle,6/18/2020,3/14/2020,91,Layoff,Temporary
232,"Benchmark Stevenson, LLC d/b/a Skamania Lodge",Stevenson,6/17/2020,3/18/2020,185,Layoff,Temporary
233,Seattle Art Museum,Seattle,6/16/2020,7/5/2020,76,Layoff,Temporary
234,Chihuly Garden & Glass,Seattle,6/16/2020,3/21/2020,97,Layoff,Temporary
235,Seattle Center,Seattle,6/16/2020,3/21/2020,182,Layoff,Temporary
236,Sekisui Aerospace,Renton and Sumner,6/15/2020,6/12/2020,111,Layoff,Permanent
237,Pioneer Human Services,Seattle,6/15/2020,8/14/2020,59,Layoff,Permanent
238,Crista Senior Living,Shoreline,6/15/2020,8/16/2020,156,Closure,Permanent
239,Hyatt Corporation / Hyatt Regency Bellevue,Bellevue,6/15/2020,3/15/2020,223,Layoff,Temporary
240,"Toray Composite Materials America, Inc",Tacoma,6/12/2020,8/8/2020,146,Layoff,Permanent
241,Embassy Suites Seattle Bellevue,Seattle,6/12/2020,6/1/2020,57,Layoff,Temporary
242,Triumph Aerospace Structures,Spokane,6/11/2020,6/15/2020,12,Layoff,Permanent
243,Hyatt Corporation / Hyatt Regency Lake Washington,Renton,6/9/2020,6/30/2020,129,Layoff,Temporary
244,Boeing,Puget Sound Area,6/8/2020,7/31/2020,5798,Layoff,Permanent
245,"Lamb Weston, Inc","Connell, WA",6/8/2020,6/15/2020,360,Layoff,Temporary
246,"Lamb Weston, Inc",Warden,6/8/2020,6/15/2020,300,Layoff,Temporary
247,"Cadence Aerospace, Giddence Industries",Everett,6/5/2020,4/24/2020,72,Layoff,Permanent
248,"W Hotel Management, Inc., dba W Bellevue",Bellevue,6/4/2020,3/16/2020,105,Layoff,Temporary
249,"WHC Payroll, dba The Westin Bellevue",Bellevue,6/4/2020,3/16/2020,155,Layoff,Temporary
250,Fairmont Olympic Hotel,Seattle,6/4/2020,6/1/2020,58,Layoff,Permanent
251,Fairmont Olympic Hotel,Seattle,6/4/2020,6/1/2020,278,Layoff,Temporary
252,Mitsubishi Aircraft Corporation,"Moses Lake, Renton",6/4/2020,6/1/2020,240,Layoff,Permanent
253,"Marriott International, Inc dba Seattle Redmond Marriott",Redmond,6/3/2020,3/21/2020,105,Layoff,Temporary
254,"WHC Payroll Company, dba The Westin Seattle",Seattle,6/3/2020,3/14/2020,498,Layoff,Temporary
255,"KS Tacoma Hotel, LLC dba Hotel Murano",Tacoma,6/3/2020,3/13/2020,133,Layoff,Temporary
256,SHG Hotel SPE LLC,Seattle,6/2/2020,5/15/2020,119,Layoff,Permanent
257,Aviation Technical Services,Everett,6/2/2020,6/4/2020,142,Layoff,Permanent
258,"Marriott Hotel Services, Inc., dba Seattle Marriott Bellevue",Bellevue,6/1/2020,3/21/2020,129,Layoff,Temporary
259,WHC Payroll Co Sheraton Grand Seattle,Seattle,6/1/2020,3/21/2020,503,Layoff,Temporary
260,"Coast Wenatchee, LLC",Wenatchee,6/1/2020,6/1/2020,58,Layoff,Permanent
261,WHC Payroll Company / W Seattle,Seattle,6/1/2020,3/21/2020,203,Layoff,Temporary
262,"Marriott International Inc., dba Seattle Marriott Waterfront",Seattle,6/1/2020,3/21/2020,166,Layoff,Temporary
263,Happy Guests International d/b/a Salty's,"Seattle, Des Moines",5/29/2020,3/15/2020,282,Layoff,Temporary
264,Hyatt Corporation / Thompson Seattle,Seattle,5/29/2020,6/1/2020,49,Layoff,Temporary
265,Hyatt Corporation / Thompson Seattle,Seattle,5/29/2020,6/1/2020,50,Layoff,Permanent
266,"Loews Seattle Operating Company, LLC",Seattle,5/29/2020,5/27/2020,12,Layoff,Permanent
267,"Loews Seattle Operating Company, LLC",Seattle,5/29/2020,5/27/2020,55,Layoff,Temporary
268,Saint-Gobain,Puyallup,5/28/2020,6/30/2020,96,Closure,Permanent
269,Service Labs Inc. dba Pro.com,Seattle,5/27/2020,5/22/2020,52,Layoff,Permanent
270,Holland America Line NV,Seattle,5/27/2020,6/2/2020,583,Layoff,Permanent
271,Princess Cruise Lines Ltd,Seattle,5/27/2020,6/2/2020,122,Layoff,Permanent
272,Hyatt Corporation / Hyatt Regency Seattle,Seattle,5/27/2020,5/31/2020,135,Layoff,Permanent
