,company_name,location,notice_date,layoff_date,employees_affected,Closure or Layoff,Type of Layoff
599,Hoquiam Plywood Products,Hoquiam,12/18/2015,2/15/2016,90,Layoff,Temporary
600,Omak Wood Products,Omak,12/15/2015,2/12/2016,184,Closure,Permanent
601,Aramark Sports & Entertainment,Seattle,12/10/2015,12/31/2015,78,Closure,Permanent
602,Management & Training Corporation,Sedro Woolley,12/2/2015,1/31/2016,90,Closure,Permanent
603,JACO Environmental,Bothell/Everett,11/24/2015,11/23/2015,154,Layoff,Permanent
604,Alcoa Intalco Works,Ferndale,11/19/2015,1/18/2016,465,Layoff,Temporary
605,Alcoa Inc.,Malaga,11/9/2015,1/5/2016,415,Layoff,Temporary
606,CH2M,Bellingham,10/20/2015,12/7/2015,128,Closure,Permanent
607,Graphic Packaging,Renton,10/8/2015,12/3/2015,108,Closure,Permanent
608,Haggen Food & Pharmacy,Statewide,9/25/2015,11/24/2015,1073,Closure,Permanent
609,CH2M,Bellingham,9/23/2015,11/20/2015,128,Layoff,Permanent
610,Red Lion Hotel,Vancouver,8/26/2015,10/31/2015,82,Closure,Permanent
611,HTC America,Bellevue,8/24/2015,8/25/2015,85,Layoff,Permanent
612,Boeing,Puget Sound,8/24/2015,10/23/2015,39,Layoff,Permanent
613,Interfor,Tacoma,8/24/2015,8/24/2015,127,Closure,Permanent
614,Haggen Food & Pharmacy,Spanaway,8/14/2015,10/13/2015,62,Closure,Permanent
615,HTC America,Bellevue,8/10/2015,8/10/2015,23,Layoff,Permanent
616,HTC America Innovation,Seattle,8/10/2015,8/10/2015,24,Layoff,Permanent
617,Boeing,Puget Sound,7/22/2015,9/18/2015,172,Layoff,Permanent
618,Mount Baker Vapor,Bellingham,7/13/2015,9/15/2015,92,Closure,Permanent
619,Sodexo,Snohomish,6/30/2015,8/31/2015,63,Closure,Permanent
620,Boeing,Puget Sound,6/22/2015,8/21/2015,23,Layoff,Permanent
621,Bags,Seattle,6/17/2015,8/14/2015,190,Layoff,Permanent
622,Boeing,Puget Sound,6/11/2015,7/14/2015,18,Layoff,Permanent
623,Interfor,Tacoma,5/28/2015,5/22/2015,90,Layoff,Temporary
624,Emeritus Senior Living,Seattle,4/27/2015,6/24/2015,10,Layoff,Permanent
625,Golden Nugget Tukwila Casino,Tukwila,4/27/2015,6/26/2015,69,Closure,Permanent
626,Simpson Lumber Company,Shelton,4/27/2015,6/25/2015,275,Closure,Permanent
627,Boeing,Puget Sound,4/23/2015,6/19/2015,153,Layoff,Permanent
628,Federal Home Loan Bank,Seattle,4/2/2015,6/1/2015,109,Layoff,Permanent
629,Triumph Composite Systems,Spokane,3/9/2015,5/11/2015,25,Layoff,Permanent
630,Valeant Pharmaceuticals,Seattle,3/2/2015,2/23/2015,77,Layoff,Permanent
631,"Ambassador Programs, Inc.",Spokane,2/26/2015,4/27/2015,60,Layoff,Permanent
632,Trulia,Bellevue,2/26/2015,4/20/2015,157,Layoff,Permanent
633,Boeing,Puget Sound,2/26/2015,4/24/2015,319,Layoff,Permanent
634,Emeritus Senior Living,"Seattle, WA",2/3/2015,4/2/2015,41,Layoff,Permanent
635,Great American Casino,Kent,1/26/2015,3/15/2015,93,Closure,Permanent
636,Bradken Foundry,Chehalis,1/15/2015,3/16/2015,89,Closure,Permanent
637,United Airlines,Seattle,1/7/2015,3/7/2015,41,Closure,Permanent
638,Group Health,Seattle,12/29/2014,3/1/2015,15,Closure,Permanent
639,Boeing,Puget Sound,12/2/2014,1/23/2015,83,Layoff,Permanent
640,United Airlines,Seattle,12/1/2014,1/30/2015,264,Closure,Permanent
641,Swiift Transportation,Pasco,12/1/2014,1/30/2015,180,Layoff,Permanent
642,Avamere Georgian House of Lakewood,Lakewood WA,11/12/2014,1/16/2015,69,Closure,Permanent
643,JCPenney,"Sumner, WA",11/12/2014,1/16/2015,112,Closure,Permanent
644,Nordstrom,Vancouver,10/31/2014,1/10/2015,142,Closure,Permanent
645,Group Health,Seattle,10/31/2014,12/31/2014,102,Closure,Permanent
646,Microsoft,Redmond,10/30/2014,12/28/2014,635,Layoff,Permanent
647,Amgen,Seattle,10/22/2014,12/31/2014,274,Closure,Permanent
648,Cobalt Mortgage,Kirkland,10/13/2014,12/16/2014,10,Closure,Permanent
649,"Metrie, Inc.",Monroe,10/9/2014,11/27/2014,54,Closure,Permanent
650,Emeritus Senior Living,"Seattle, WA",10/6/2014,12/1/2014,29,Layoff,Permanent
651,Hightail,Not Provided,9/18/2014,9/17/2014,1,Layoff,Permanent
652,Macro Technologies,Kirkland,9/18/2014,11/21/2014,64,Layoff,Permanent
653,Cobalt Mortgage,Kirkland,9/18/2014,11/21/2014,148,Layoff,Permanent
654,Microsoft,Redmond,9/18/2014,11/17/2014,747,Layoff,Permanent
655,Staples,Auburn,9/17/2014,11/17/2014,50,Layoff,Permanent
656,Niagara Bottling,"Burlington, WA",9/5/2014,11/13/2014,73,Closure,Permanent
657,Novo Nordisk,Seattle,9/4/2014,11/3/2014,63,Layoff,Permanent
658,JCPenney,Bellevue,9/3/2014,11/1/2014,141,Closure,Permanent
659,Boeing,Puget Sound,8/25/2014,10/24/2014,70,Layoff,Permanent
660,Employment Security Department,Statewide,8/22/2014,10/15/2014,149,Layoff,Permanent
661,G4S Government Solutions,"Bangor, Silverdale",8/12/2014,9/30/2014,93,Closure,Temporary
662,Emeritus Senior Living,"Seattle, WA",8/6/2014,10/6/2014,6,Layoff,Permanent
663,Elliott's Oyster House,"Seattle, WA",8/6/2014,10/1/2014,200,Closure,Temporary
664,Interfor,"Beaver & Forks, WA",8/1/2014,7/31/2014,87,Closure,Permanent
665,Boeing,Puget Sound,7/21/2014,9/19/2014,95,Layoff,Permanent
666,Microsoft,Redmond,7/17/2014,9/15/2014,1351,Layoff,Permanent
667,Waste Management,"Oak Harbor, WA",6/27/2014,9/19/2014,125,Closure,Permanent
668,CenturyLink,"Seattle, WA",6/11/2014,8/11/2014,158,Closure,Permanent
669,Eagle Marine Services,"Seattle, WA",6/3/2014,7/31/2014,94,Closure,Permanent
670,Emeritus Senior Living,"Seattle, WA",5/29/2014,7/31/2014,4,Layoff,Permanent
671,Eager Beaver Computers,"Spokane Valley, WA",5/5/2014,6/30/2014,1,Closure,Permanent
672,PerkinElmer,"Spokane, WA",5/2/2014,6/27/2014,80,Closure,Permanent
673,Express Scripts,"Liberty Lake, WA",4/29/2014,6/29/2014,203,Closure,Permanent
674,Chasing Fireflies,Seattle,3/4/2014,5/1/2014,92,Layoff,Permanent
675,Pepsi,Seattle,2/25/2014,4/22/2014,52,Closure,Permanent
676,Sears,Seattle,2/20/2014,6/1/2014,13,Closure,Permanent
677,Sears,"Seattle, WA",2/20/2014,6/1/2014,66,Layoff,Permanent
678,Boeing,Puget Sound,2/18/2014,4/18/2014,79,Layoff,Permanent
679,Zynga Inc.,Seattle,2/11/2014,1/30/2014,52,Closure,Permanent
680,N-Store Merchandising,"Statewide, WA",2/11/2014,2/3/2014,35,Closure,Permanent
681,Sprint,"Bellevue & Kirkland, WA",2/11/2014,3/1/2014,91,Layoff,Permanent
682,Boeing,Puget Sound,2/3/2014,4/4/2014,9,Layoff,Permanent
683,"Mettler-Toledo AutoChem, Inc.","Redmond, WA",1/24/2014,6/30/2014,21,Closure,Permanent
684,Boeing,Puget Sound,1/21/2014,3/21/2014,8,Layoff,Permanent
685,General Dynamics/Electric Boat,"Silverdale, WA",1/17/2014,3/14/2014,29,Layoff,Permanent
686,Oldcastle Building Envelope,Everett,1/13/2014,3/12/2014,56,Closure,Permanent
687,Boeing,Puget Sound,12/23/2013,2/21/2014,11,Layoff,Permanent
688,Transfield Services Rersource & Energy,"Ferndale, WA",12/10/2013,12/31/2013,49,Closure,Permanent
689,Boeing,Puget Sound,11/25/2013,1/24/2014,71,Layoff,Permanent
690,Berry Plastics Corporation,Kent,11/20/2013,1/19/2014,118,Closure,Permanent
691,Sprint,Bellevue,11/18/2013,12/31/2013,17,Layoff,Permanent
692,Boeing,Puget Sound,11/6/2013,1/1/2014,39,Layoff,Permanent
693,Electric Boat,Bremerton,11/1/2013,1/3/2014,6,Layoff,Permanent
694,Pacific Rail Services,Seattle,10/22/2013,12/31/2013,75,Closure,Permanent
695,Boeing,Puget Sound,10/15/2013,12/13/2013,200,Layoff,Permanent
696,Visiting Nurse Home Care,"Whatcom, County",10/1/2013,11/30/2013,150,Closure,Permanent
697,RockTenn,Renton,9/30/2013,11/22/2013,58,Closure,Permanent
698,Boeing,Puget Sound,9/23/2013,11/22/2013,266,Layoff,Permanent
699,Mike Campbell & Associates,Lacey,9/10/2013,11/12/2013,76,Closure,Permanent
700,Sprint,Bellevue & Kirkland,9/9/2013,9/20/2013,161,Closure,Permanent
701,RoadLink Workforce Solutions,Chehalis,9/3/2013,9/15/2013,86,Closure,Permanent
702,AREVA Federal Services LLC,Richland,8/1/2013,7/31/2013,3,Layoff,Permanent
703,Boeing,Puget Sound,7/29/2013,9/27/2013,3,Layoff,Permanent
704,Boeing,Puget Sound,7/25/2013,9/20/2013,143,Layoff,Permanent
705,Medical Center Pharmacy,Olympia,7/24/2013,6/30/2013,4,Closure,Permanent
706,Pacific Construction Systems,Bellevue,7/18/2013,12/31/2013,103,Closure,Permanent
707,Andrews International Inc.,Seattle,7/15/2013,9/1/2013,35,Layoff,Permanent
708,"Fluor Federal Services, Inc.",Richland,7/8/2013,9/26/2013,150,Layoff,Permanent
709,Boeing,Puget Sound,6/25/2013,8/23/2013,266,Layoff,Permanent
710,Zynga Inc.,Seattle,6/7/2013,6/3/2013,2,Layoff,Permanent
711,Boeing,Puget Sound,5/21/2013,7/19/2013,253,Layoff,Permanent
712,RoadLink Workforce Solutions,Chehalis,5/16/2013,5/18/2013,150,Layoff,Permanent
713,EPIC,Yakima County,5/8/2013,5/31/2013,328,Layoff,Permanent
714,Boeing,Puget Sound,4/23/2013,6/21/2013,99,Layoff,Permanent
715,Comprehensive Clinical Development NW,Tacoma,4/17/2013,4/17/2013,43,Closure,Permanent
716,Sargento,Bellingham,4/11/2013,5/3/2013,34,Closure,Permanent
717,First A.M.E. Child Development Center,Seattle,4/10/2013,6/30/2013,45,Closure,Permanent
718,Boeing,Puget Sound,4/8/2013,6/7/2013,939,Layoff,Permanent
719,"Sykes Enterprises, Incorporated",Spokane Valley,3/26/2013,5/26/2013,148,Closure,Permanent
720,"Semiahmoo Resort Company, LLC",Blaine,3/6/2013,5/3/2013,107,Closure,Permanent
721,Central Parking,Bellevue,2/21/2013,2/28/2013,102,Closure,Permanent
722,Levy Premium Foodservice LP,Seattle,1/30/2013,2/26/2013,363,Closure,Permanent
723,Briggs Nursery,Porter,1/28/2013,1/25/2013,150,Closure,Permanent
724,Katana Summit,Ephrata,1/18/2013,12/31/2012,81,Closure,Permanent
725,Kmart,Seattle,1/15/2013,3/10/2013,85,Closure,Permanent
726,American Suzuki Motor Corporation,Snohomish and Spokane Counties,1/14/2013,3/14/2013,2,Closure,Permanent
727,"Pacific Physicians' Laboratory, Inc.",Lynnwood,1/9/2013,3/9/2013,59,Closure,Permanent
728,Skookum,Ft. Lewis,12/27/2012,2/28/2013,54,Layoff,Temporary
729,Life Care Center of West Seattle,Seattle,12/20/2012,1/31/2013,99,Closure,Permanent
730,TriWest Healthcare Alliance Corporation,Pierce County,12/18/2012,2/15/2013,127,Closure,Permanent
731,TriWest Healthcare Alliance Corporation,Yakima,12/18/2012,2/15/2013,1,Closure,Permanent
732,TriWest Healthcare Alliance Corporation,Seattle,12/18/2012,2/15/2013,1,Closure,Permanent
733,TriWest Healthcare Alliance Corporation,Port Angeles,12/18/2012,2/15/2013,2,Closure,Permanent
734,TriWest Healthcare Alliance Corporation,Bremerton,12/18/2012,2/15/2013,5,Closure,Permanent
735,TriWest Healthcare Alliance Corporation,Everett,12/14/2012,2/15/2013,2,Closure,Permanent
736,TriWest Healthcare Alliance Corporation,Oak Harbor,12/14/2012,2/15/2013,4,Closure,Permanent
737,TriWest Healthcare Alliance Corporation,Fairchild AFB,12/14/2012,2/15/2013,3,Closure,Permanent
738,BAE Systems,Keyport,10/31/2012,12/27/2012,57,Closure,Permanent
739,"Semiahmoo Resort Company, LLC",Blaine,10/30/2012,12/31/2012,224,Closure,Permanent
740,"Clopay Building Products Company, Inc.",Auburn,10/25/2012,1/25/2013,55,Closure,Permanent
741,Draper Valley Holdings LLC,Renton,10/8/2012,12/7/2012,66,Closure,Permanent
742,URS Federal Services,Oak Harbor,9/25/2012,10/31/2012,236,Layoff,Permanent
743,Dendreon Corporation,Seattle,9/20/2012,11/20/2012,145,Layoff,Permanent
744,American Airlines,Seattle,9/18/2012,11/16/2012,66,Layoff,Permanent
745,Berry Plastics Corporation,Kent,9/10/2012,8/24/2012,59,Layoff,Permanent
746,AREVA Federal Services LLC,Richland,8/21/2012,8/15/2012,5,Layoff,Permanent
747,Harland Clarke Holdings Corp.,Milton,8/6/2012,10/9/2012,35,Closure,Permanent
748,Auburn Regional Medical Center,Auburn,8/1/2012,9/28/2012,827,Layoff,Permanent
749,Universal Lumpers,Auburn,7/19/2012,9/24/2012,97,Closure,Permanent
750,"Thales Avionics, Inc.",Seattle,7/16/2012,9/14/2012,42,Closure,Permanent
751,Seattle Hilton Hotel,Seattle,7/5/2012,9/3/2012,141,Closure,Permanent
752,National Food Corporation,Everett,6/22/2012,8/24/2012,75,Layoff,Permanent
753,Parsons,Pasco,6/20/2012,8/19/2012,103,Closure,Permanent
754,Sterling Bank (First Independent Bank),Vancouver,6/4/2012,8/3/2012,63,Layoff,Permanent
755,Delta Air Lines Reservation Call Center,SeaTac,5/22/2012,9/1/2012,189,Closure,Permanent
756,"Amonix, Inc.",Langley,5/7/2012,6/30/2012,1,Layoff,Permanent
757,Hostess Brands,Bellingham,5/7/2012,7/3/2012,6,Closure,Permanent
758,Hostess Brands,Everett,5/7/2012,7/3/2012,15,Closure,Permanent
759,Hostess Brands,Seattle,5/7/2012,7/3/2012,111,Closure,Permanent
760,Hostess Brands,Kent,5/7/2012,7/3/2012,17,Closure,Permanent
761,Hostess Brands,Bremerton,5/7/2012,7/3/2012,6,Closure,Permanent
762,Hostess Brands,Lakewood,5/7/2012,7/3/2012,53,Closure,Permanent
763,Hostess Brands,Tacoma,5/7/2012,7/3/2012,3,Closure,Permanent
764,Hostess Brands,Tumwater,5/7/2012,7/3/2012,8,Closure,Permanent
765,Hostess Brands,Longview,5/7/2012,7/3/2012,6,Closure,Permanent
766,Hostess Brands,Moses Lake,5/7/2012,7/3/2012,2,Closure,Permanent
767,Hostess Brands,Yakima,5/7/2012,7/3/2012,9,Closure,Permanent
768,Hostess Brands,Spokane,5/7/2012,7/3/2012,14,Closure,Permanent
769,Verizon Wireless,Bellevue,5/2/2012,6/30/2012,814,Closure,Permanent
770,Davis Wire Corporation,Kent,4/27/2012,6/19/2012,57,Layoff,Permanent
771,BAE Systems,Keyport,4/27/2012,6/30/2012,61,Layoff,Permanent
772,Cardiac Science Corporate,Bothell,4/10/2012,6/5/2012,60,Closure,Permanent
773,Harland Clarke Holdings Corp.,Milton,4/10/2012,6/2/2012,74,Layoff,Permanent
774,"Zipper Interactive, Inc.",Redmond,4/2/2012,6/1/2012,86,Closure,Permanent
775,Boeing,Puget Sound,3/26/2012,5/28/2012,39,Layoff,Permanent
776,Swedish Visiting Nurse Services,"Seattle, Mountlake Terrace",2/28/2012,4/27/2012,216,Closure,Permanent
777,CenturyLink,Gig Harbor,2/23/2012,4/27/2012,52,Layoff,Permanent
778,Heinz North America,Kent,2/10/2012,4/13/2012,79,Closure,Permanent
779,"Sykes Enterprises, Incorporated",Spokane Valley,1/10/2012,3/12/2012,167,Layoff,Permanent
780,Snokist Growers,Yakima,12/9/2011,2/5/2012,607,Closure,Permanent
781,"Emerald Shared Services DBA K&L Distributors, Inc.",Renton,11/21/2011,1/20/2012,215,Closure,Permanent
782,Washington State Employment Security Department,Statewide,10/21/2011,1/16/2012,222,Layoff,Permanent
783,"Lowe's HIW, Inc.",Tacoma,10/20/2011,12/16/2011,92,Closure,Permanent
784,Kimberly-Clark Corporation,Everett,10/19/2011,1/1/2012,760,Closure,Permanent
785,"BlueScope Buildings North America, Inc.",Arlington,10/13/2011,12/12/2011,67,Closure,Permanent
786,Kerry Ingredients & Flavours,Kent,10/13/2011,12/16/2011,58,Closure,Permanent
787,Hampton Lumber Mills,Darrington,10/12/2011,12/12/2011,76,Layoff,Permanent
788,Stimson Lumber,Colville,9/15/2011,11/11/2011,67,Closure,Permanent
789,TeleTech,Bremerton,8/31/2011,10/30/2011,240,Closure,Permanent
790,"Woodinville Lumber, Inc.",Woodinville,8/23/2011,8/26/2011,76,Closure,Permanent
791,"Woodinville Construction Services, L.L.C.",Woodinville,8/23/2011,8/26/2011,38,Closure,Permanent
792,Tri-County Truss,Burlington,8/23/2011,8/26/2011,94,Closure,Permanent
793,Kmart,Spokane,8/17/2011,11/6/2011,68,Closure,Permanent
794,Hampton Affiliates,Randle,8/9/2011,10/31/2011,80,Layoff,Temporary
795,Lockheed Martin Corporation,5 Puget Sound military locations,8/1/2011,9/30/2011,41,Layoff,Permanent
796,CH2MHill Plateau Remediation Company,Richland,7/29/2011,9/29/2011,750,Layoff,Permanent
797,Materials & Energy Corporation,Richland,7/29/2011,9/29/2011,141,Layoff,Permanent
798,Wells Fargo Home Mortgage Servicing,Bellevue,6/22/2011,8/21/2011,113,Closure,Permanent
799,Monterey Gormet Foods,Kent,6/20/2011,8/17/2011,75,Closure,Permanent
800,Penguin Windows,"Lynnwood, Vancouver",6/15/2011,6/10/2011,121,Closure,Permanent
801,Petermann Northwest LLC,Seattle,5/27/2011,6/22/2011,109,Closure,Permanent
802,"Grays Harbor Paper, LLC",Hoquiam,5/27/2011,5/25/2011,231,Closure,Permanent
803,"Insight Schools, Inc.",Bellevue,5/26/2011,7/18/2011,168,Closure,Permanent
804,BAE Systems,Keyport,5/10/2011,6/30/2011,90,Closure,Permanent
805,Cardiac Science Corporate,Bothell,4/29/2011,7/1/2011,54,Layoff,Permanent
806,Pinnacle Foods Group,Tacoma,4/26/2011,6/23/2011,139,Closure,Permanent
807,"Radia, Inc. P. S.",Everett,4/14/2011,6/30/2011,51,Layoff,Permanent
808,Whirlpool Corporation,Yakima,4/12/2011,6/13/2011,140,Closure,Permanent
809,"Union Bank, N.A.",Everett,3/11/2011,3/31/2011,72,Layoff,Permanent
810,CompuCom Application Services,Bellevue,2/15/2011,2/8/2011,60,Layoff,Permanent
811,Harland Clarke Holdings Corp.,Milton,2/9/2011,4/9/2011,53,Closure,Permanent
812,Penguin Windows,"Lynwood, Mukilteo, Lakewood",2/1/2011,2/1/2011,210,Closure,Permanent
813,DAL Global Services,Seattle,1/31/2011,2/23/2011,168,Layoff,Permanent
814,"Pilchuck Contractors, Inc.",Puget Sound,1/28/2011,3/28/2011,300,Layoff,Permanent
815,"Semiahmoo Resort Company, LLC",Blaine,12/20/2010,2/15/2011,321,Closure,Permanent
816,"ZipRealty, Inc.",Kirkland,12/6/2010,1/31/2011,129,Layoff,Permanent
817,International Paper,Bellevue,11/15/2010,1/14/2011,78,Closure,Permanent
818,Exel,Auburn,11/2/2010,1/29/2011,146,Closure,Permanent
819,"Icicle Seafoods, Inc.",Seattle,10/21/2010,12/20/2010,83,Closure,Permanent
820,CDM Long-Term Care Services,Vancouver,10/19/2010,11/1/2010,100,Layoff,Permanent
821,AHP (Associated Hygienic Products LLC),Vancouver,9/30/2010,11/27/2010,101,Closure,Permanent
822,Xanodyne,Western Washington,9/21/2010,11/21/2010,3,Layoff,Permanent
823,"The Men's Wearhouse, Inc.",Fife,9/13/2010,11/12/2010,42,Closure,Permanent
824,Cruise West,Seattle,9/9/2010,9/8/2010,65,Closure,Permanent
825,Skookum Fleet Management,Fort Lewis,8/20/2010,10/18/2010,50,Layoff,Temporary
826,"Icicle Seafoods, Inc.",Bellingham,8/2/2010,10/18/2010,71,Closure,Permanent
827,Skookum Fleet Management,Fort Lewis,7/16/2010,7/12/2010,176,Layoff,Permanent
828,Commercial Vehicle Group,Vancouver,7/16/2010,9/1/2010,12,Closure,Permanent
829,Mason County Forest Products,Shelton,6/2/2010,7/31/2010,130,Layoff,Permanent
830,Columbia Valley Community Health,Wenatchee,6/2/2010,7/1/2010,53,Layoff,Permanent
831,AlliedBarton Security Services LLC,"Seattle, Bellevue",5/27/2010,6/17/2010,128,Layoff,Permanent
832,Boeing,Puget Sound,5/21/2010,7/23/2010,17,Layoff,Permanent
833,Boeing,Puget Sound,4/19/2010,6/18/2010,125,Layoff,Permanent
834,"ConAgra Foods, Inc.",Prosser,3/30/2010,5/30/2010,218,Closure,Permanent
835,Boeing,Puget Sound,3/19/2010,5/21/2010,65,Layoff,Permanent
836,"AB Car Rental Services, Inc.",Tukwila,3/17/2010,5/19/2010,206,Layoff,Permanent
837,"Olympic Security Services, Inc.",Tukwila,3/11/2010,4/16/2010,54,Layoff,Permanent
838,Zumiez Inc.,Everett,2/22/2010,4/23/2010,172,Closure,Permanent
839,Boeing,Puget Sound,2/19/2010,4/23/2010,527,Layoff,Permanent
840,Kmart,Bremerton,2/5/2010,5/17/2010,55,Closure,Permanent
841,BCI Coca Cola Bottling Company,Woodland,1/29/2010,4/1/2010,56,Closure,Permanent
842,Boeing,Puget Sound,1/22/2010,3/26/2010,9,Layoff,Permanent
843,Auto Warehousing Co.,Tacoma,1/20/2010,3/22/2010,55,Layoff,Permanent
844,Boeing,Puget Sound,1/15/2010,3/19/2010,20,Layoff,Permanent
845,International Paper,Auburn,1/14/2010,3/6/2010,2,Closure,Permanent
846,Bank of America,Bellevue,1/14/2010,3/12/2010,50,Closure,Permanent
847,CPC International Apple Company,Tieton,12/31/2009,2/22/2010,75,Layoff,Permanent
848,Boeing,Puget Sound,12/18/2009,2/19/2010,56,Layoff,Permanent
849,Walter Meier Inc.,Auburn,12/18/2009,2/15/2010,5,Closure,Permanent
850,Boeing,Puget Sound,11/20/2009,1/22/2010,49,Layoff,Permanent
851,Kmart,Vancouver,11/18/2009,1/18/2010,68,Closure,Permanent
852,"Sun Microsystems, Inc",Bellevue,11/4/2009,1/3/2010,3,Layoff,Permanent
853,BD Diagnostics,Redmond,11/3/2009,12/23/2009,15,Closure,Permanent
854,Boeing,Puget Sound,10/30/2009,1/1/2010,48,Layoff,Permanent
855,"Expedia, Inc.",Tacoma,10/22/2009,10/21/2009,171,Closure,Permanent
856,Boeing,Puget Sound,10/9/2009,12/11/2009,53,Layoff,Permanent
857,Wells Fargo Mortgage,Kirkland,10/8/2009,12/7/2009,60,Closure,Permanent
858,Brandrud,Auburn,10/5/2009,12/4/2009,104,Closure,Permanent
859,Boeing,Puget Sound,9/18/2009,11/20/2009,126,Layoff,Permanent
860,"SumTotal Systems, Inc.",Bellevue,9/15/2009,9/15/2009,59,Layoff,Permanent
861,Adaptis Inc.,Seattle,9/14/2009,11/2/2009,138,Closure,Permanent
862,Microsoft,Redmond,9/3/2009,11/1/2009,27,Layoff,Permanent
863,"CROSSMARK Home Improvements, LCC",Statewide,8/31/2009,10/31/2009,77,Layoff,Permanent
864,"Northwest Territorial Mint, LCC",Auburn,8/28/2009,10/24/2009,109,Closure,Permanent
865,Philips Electronics,Snoqualmie,8/28/2009,10/30/2009,75,Closure,Permanent
866,Boeing,Puget Sound,8/21/2009,10/23/2009,279,Layoff,Permanent
867,"Crossroads Services, Inc.",Statewide,8/14/2009,10/18/2009,45,Layoff,Permanent
868,Boeing,Puget Sound,7/31/2009,10/2/2009,45,Layoff,Permanent
869,"Stemilt Growers, Inc.",Orondo,7/27/2009,9/24/2009,94,Closure,Permanent
870,"Stemilt Growers, Inc.",Orondo,7/20/2009,9/17/2009,67,Closure,Permanent
871,Boeing,Puget Sound,7/17/2009,9/18/2009,104,Layoff,Permanent
872,Electric Boat,Silverdale,7/17/2009,9/25/2009,8,Layoff,Permanent
873,Johnson Outdoors Watercraft Inc.,Ferndale,7/1/2009,9/4/2009,90,Closure,Permanent
874,"Sun Microsystems, Inc",Bellevue,6/26/2009,8/24/2009,2,Layoff,Permanent
875,Boeing,Puget Sound,6/19/2009,8/21/2009,157,Layoff,Permanent
876,Saint-Gobain Crystals,Washougal,6/12/2009,8/10/2009,58,Closure,Permanent
877,"Merck & Co., Inc.",Seattle,6/8/2009,7/31/2009,40,Closure,Permanent
878,KeyCorp,Tacoma,6/4/2009,8/3/2009,240,Closure,Permanent
879,Shaw Industries,Algona,6/1/2009,7/31/2009,62,Closure,Permanent
880,Ruan Transportation,Seattle,5/28/2009,7/31/2009,81,Closure,Permanent
881,Weyerhaeuser Forest Operation,Cosmopolis,5/22/2009,7/21/2009,53,Layoff,Permanent
882,Boeing,Puget Sound,5/22/2009,7/24/2009,117,Layoff,Permanent
883,Johnson Controls Inc,Bellevue,5/18/2009,7/31/2009,45,Closure,Permanent
884,CDG Management,Olympia,5/15/2009,5/29/2009,41,Closure,Permanent
885,Amgen,Bothell,5/14/2009,7/13/2009,101,Layoff,Permanent
886,Microsoft,Redmond,5/5/2009,7/4/2009,1200,Layoff,Permanent
887,Spring Air,Lacey,5/4/2009,5/1/2009,45,Layoff,Permanent
888,Coast Engine & Equipment,Tacoma,5/4/2009,7/3/2009,111,Closure,Permanent
889,ZymoGenetics,Seattle,4/30/2009,6/30/2009,170,Layoff,Permanent
890,Boeing,Puget Sound,4/21/2009,6/19/2009,119,Layoff,Permanent
891,Liberty Mutual Insurance,Bothell,4/17/2009,6/16/2009,100,Layoff,Permanent
892,Hampton Affiliates,Morton,4/8/2009,6/6/2009,124,Layoff,Permanent
893,Hampton Affiliates,Darrington,4/8/2009,6/6/2009,118,Layoff,Permanent
894,JP Morgan Chase,Tukwila,4/7/2009,6/15/2009,45,Closure,Permanent
895,Guy Bennett Lumber,Clarkston,4/3/2009,6/5/2009,74,Closure,Temporary
896,Microsoft,Seattle,4/1/2009,6/30/2009,2,Layoff,Permanent
897,"Sun Microsystems, Inc",Bellevue,3/31/2009,5/30/2009,24,Layoff,Permanent
898,Exide Technologies,Sumner,3/31/2009,3/31/2009,43,Closure,Permanent
899,Commercial Vehicle Group,Vancouver,3/20/2009,4/30/2009,70,Closure,Permanent
900,Boeing,Puget Sound,3/20/2009,5/22/2009,710,Layoff,Permanent
901,Weyerhaeuser Sawmill,Toutle,3/5/2009,5/1/2009,1,Closure,Permanent
902,Weyerhaeuser Lumbermill,Raymond,3/4/2009,3/9/2009,50,Layoff,Permanent
903,General Dynamics,Spokane Valley,2/25/2009,4/24/2009,353,Closure,Permanent
904,Boeing,Puget Sound,2/25/2009,4/24/2009,781,Layoff,Permanent
905,Best Buy,Kent,2/12/2009,4/14/2009,82,Closure,Permanent
906,Results Bellingham,Bellingham,2/12/2009,4/12/2009,150,Closure,Permanent
907,TTM Technologies,Redmond,2/5/2009,3/16/2009,369,Closure,Permanent
908,Boeing,Puget Sound,2/5/2009,3/20/2009,668,Layoff,Permanent
909,SolarWorld Industries,Vancouver,1/30/2009,3/13/2009,63,Layoff,Permanent
910,Allied Waste,Seattle,1/28/2009,3/31/2009,203,Layoff,Permanent
911,Weyerhaeuser Sawmill,Aberdeen,1/27/2009,1/26/2009,128,Closure,Permanent
912,Pacific Veneer Weyerhaeuser,Aberdeen,1/27/2009,1/26/2009,93,Closure,Permanent
913,"Sun Microsystems, Inc",Bellevue,1/23/2009,3/23/2009,4,Layoff,Permanent
914,Microsoft,Redmond,1/23/2009,3/23/2009,872,Layoff,Permanent
915,Seattle Post-Intelligencer,Seattle,1/21/2009,3/18/2009,181,Closure,Permanent
916,Qwest,Seattle,1/21/2009,4/15/2009,235,Closure,Permanent
917,Philips Electronics,Auburn,1/20/2009,3/20/2009,96,Closure,Permanent
918,Teck,Metaline Falls,1/6/2009,2/16/2009,165,Layoff,Permanent
