,company_name,location,notice_date,employees_affected,URL
110,"ZILLOW GROUP, Inc.",Scottsdale,"Nov 04, 2021",61.0,https://www.azjobconnection.gov/search/warn_lookups/647
111,Grand Canyon Scenic Airlines,Grand Canyon,"Sep 03, 2020",105.0,https://www.azjobconnection.gov/search/warn_lookups/621
112,Sam Levits,,"Mar 25, 2020",628.0,https://www.azjobconnection.gov/search/warn_lookups/427
113,Onni Properties,,"Mar 25, 2020",240.0,https://www.azjobconnection.gov/search/warn_lookups/425
114,Go Rentals,Phoenix,"Mar 23, 2020",275.0,https://www.azjobconnection.gov/search/warn_lookups/416
115,Passport Health,Scottsdale,"Mar 23, 2020",65.0,https://www.azjobconnection.gov/search/warn_lookups/417
116,CMA CGM (America) LLC,Scottsdale,"Jan 03, 2020",100.0,https://www.azjobconnection.gov/search/warn_lookups/394
117,"Macy's Credit and Customer Services, Inc.",Tempe,"Jan 06, 2020",843.0,https://www.azjobconnection.gov/search/warn_lookups/395
118,Constant Aviation,Mesa,"Jan 10, 2020",50.0,https://www.azjobconnection.gov/search/warn_lookups/396
119,Denny's (Beshay Enterprises),Casa Grande,"Mar 23, 2020",63.0,https://www.azjobconnection.gov/search/warn_lookups/418
120,MAPFRE Insurance - Enterprise Contact Center,Gilbert,"Jan 13, 2020",68.0,https://www.azjobconnection.gov/search/warn_lookups/397
121,TMI Acquisitions LLC,Tucson,"Jan 10, 2020",,https://www.azjobconnection.gov/search/warn_lookups/398
122,Aecom,Glendale,"Jan 17, 2020",62.0,https://www.azjobconnection.gov/search/warn_lookups/399
123,Dyncorp,Tuscon,"Jan 15, 2020",200.0,https://www.azjobconnection.gov/search/warn_lookups/400
124,Bella Fresh,Phoenix,"Feb 05, 2020",125.0,https://www.azjobconnection.gov/search/warn_lookups/402
125,Transportation Brokerage Specialists Inc (TBS),Chandler,"Feb 20, 2020",110.0,https://www.azjobconnection.gov/search/warn_lookups/403
126,Transportation Brokerage Specialists Inc (TBS),Phoenix,"Feb 20, 2020",110.0,https://www.azjobconnection.gov/search/warn_lookups/404
127,HotChalk,Phoenix,"Feb 25, 2020",75.0,https://www.azjobconnection.gov/search/warn_lookups/405
128,Northrop Grumman,Sierra Vista,"Mar 09, 2020",,https://www.azjobconnection.gov/search/warn_lookups/406
129,Dani Dental Studio,Tempe,"Mar 25, 2020",80.0,https://www.azjobconnection.gov/search/warn_lookups/426
130,Amentum,Yuma,"Mar 13, 2020",62.0,https://www.azjobconnection.gov/search/warn_lookups/407
131,Enclos,Phoenix,"Mar 16, 2020",25.0,https://www.azjobconnection.gov/search/warn_lookups/408
132,Embassy Suites Tempe,Tempe,"Mar 18, 2020",47.0,https://www.azjobconnection.gov/search/warn_lookups/409
133,Roadhouse cinemas,Tucson,"Mar 18, 2020",109.0,https://www.azjobconnection.gov/search/warn_lookups/410
134,Pima Valve,Chandler,"Mar 18, 2020",,https://www.azjobconnection.gov/search/warn_lookups/411
135,Punch Bowl social,Phoenix,"Mar 18, 2020",123.0,https://www.azjobconnection.gov/search/warn_lookups/412
