,company_name,location,notice_date,layoff_date,employees_affected,Formal Name,City,State,Zip
1587,"Washburn International, Inc.",444 E Courtland St ,1/7/1998,,271,INTERCRAFT COMPANY,Mundelein,IL,60060-2309
1588,HYSTER COMPANY,1901 E VOORHEES STREET ,1/15/1998,,175,NACCO,DANVILLE,IL,61832
1589,BANK OF AMERICA - MIDWEST RETAIL OPERATIONS CENTER,105 WEST ADAMS ,1/16/1998,,65,BANK OF AMERICA - MIDWEST RETAIL OPERATI,CHICAGO,IL,60603
1590,AT&T BUSINESS COMMUNICATION SERVICES,85 WEST CONGRESS PARKWAY ,1/23/1998,,64,AT&T BUSINESS COMMUNICATION SERVICES,CHICAGO,IL,60605
1591,"AMERAIL - AMERICAN PASSENGER RAIL CAR CO, LLC",900 EAST 103RD STREET ,1/28/1998,,598,AMERAIL - AMERICAN PASSENGER RAIL CAR CO,CHICAGO,IL,60628
1592,LIPTON,24708 WEST DURKEE ROAD ,2/2/1998,,172,LIPTON,CHANNAHON,IL,60410
1593,TARGET STORES,8560 South Cottage Grove ,12/8/1997,,106,Target Stores,Chiacgo,IL,61832
1594,Johns Manville International Group Inc,1871 N Pershing Rd ,1/27/1998,,169,"JOHNS MANVILLE INTERNATIONAL,INC",Waukegan,IL,60087-5149
1595,J.L. CLARK,2300 WISCONSIN AVE. ,11/24/1997,,75,J.L. CLARK,DOWNERS GROVE,IL,60515
1596,FIRST DATA CORP,700 EAST LAKE COOK ROAD ,2/2/1998,,120,FIRST DATA CORP,BUFFALO GROVE,IL,60089
1597,"CERTIFIED GROCERS MIDWEST, INC",ONE CERTIFIED DRIVE ,2/5/2009,,415,"CERTIFIED GROCERS MIDWEST, INC",HODGKINS,IL,60525
1598,"BEARDSLEY & PIPER, LLC",5501 WEST GRAND AVENUE ,2/9/1998,,71,"BEARDSLEY & PIPER, LLC",CHICAGO,IL,60639
1599,"GLENAYRE ELECTRONICS, INC.",ONE GLENAYRE WAY ,2/5/1998,,66,"GLENAYRE ELECTRONICS, INC.",QUINCY,IL,62301
1600,"GLENAYRE ELECTRONICS, INC.",ONE GLENAYRE WAY ,5/22/2001,,238,"GLENAYRE ELECTRONICS, INC.",QUINCY,IL,62301
1601,"VENTURE STORES, INC. V-151",5880 EAST STATE STREET ,2/10/1998,,98,"VENTURE STORES, INC. V-151",ROCKFORD,IL,61108-2454
1602,WANG GOVERNMENT SERVICES,3939 MISSISSIPPI AVENUE ,2/12/1998,,56,WANG GOVERNMENT SERVICES,CAHOKIA,IL,62206-1043
1603,CCH INCORPORATED,4025 West Peterson Avenue ,3/2/1998,,39,CCH INCORPORATED,CHICAGO,IL,60646-6069
1604,FIELD CONTAINER COMPANY L P,214 MECHANIC ST BOX 500 ,2/26/1998,,50,FIELD CONTAINER COMPANY L P,MOMENCE,IL,60954
1605,"Zionssolutions, LLC",101 Shiloh Blvd ,2/25/1998,,801,ZION GENERATING STATION/COMED,Zion,IL,60099-2722
1606,Hebenstreit Communications Corp,1111 N Plaza Dr Ste 200 ,3/3/1998,,144,HEBENSTREIT COMMUNICATIONS CORP.,Schaumburg,IL,60173-4996
1607,HONEYWELL HOME & BUILDING CONTROL,1500 W DUNDEE ROAD ,3/10/1998,,62,HONEYWELL HOME & BUILDING CONTROL,ARLINGTON HGTS,IL,60004
1608,McKesson Corporation,1355 Enterprise Dr ,3/30/1998,,158,MCKESSON CORPORATION,Romeoville,IL,60446
1609,Martin Industries Inc,4251 Saint Clair Ave ,4/2/1998,,92,"MARTIN INDUSTRIES, INC.",East Saint Louis,IL,62203-1089
1610,GE CAPITAL,"1600 GOLF RD, 2ND FL ",4/7/1998,,121,GE CAPITAL,ROLLING MEADOWS,IL,60008
1611,"LAIDLAW TRANSIT, INC",100 W 91ST STREET ,4/21/1998,,144,"LAIDLAW TRANSIT, INC",CHICAGO,IL,60620-1435
1612,Precision Products Inc,2415 South Grand Ave E ,4/23/1998,,206,"PRECISION PRODUCTS, INC.",Springfield,IL,62703-2744
1613,"VENTURE STORES, INC.",2550 EAST HOMMER M ADAMS PKWY ,4/27/1998,,113,"VENTURE STORES, INC.",ALTON,IL,62002-5616
1614,"VENTURE STORES, INC.",6250 A NORTHWEST HWY ,4/27/1998,,71,"VENTURE STORES, INC.",CRYSTAL LAKE,IL,60014-7933
1615,"VENTURE STORES, INC.",1701 N LARKEN AVENUE ,4/27/1998,,75,"VENTURE STORES, INC.",CREST HILL,IL,60435
1616,"VENTURE STORES, INC.",1602 N STATE RT 50 ,4/27/1998,,63,"VENTURE STORES, INC.",BOURBONNAIS,IL,60914-9304
1617,"VENTURE STORES, INC.",2000 36TH AVENUE ,4/27/1998,,73,"VENTURE STORES, INC.",MOLINE,IL,61265-6963
1618,Stevens Industries,704 W. Main Street ,4/6/2009,,53,Stevens Industries,Teutopolis,IL,62467
1619,Stevens Industries,704 W. Main Street ,5/16/2002,,150,Stevens Industries,Teutopolis,IL,62467
1620,"VENTURE STORES, INC.",901 W LAKE AVENUE ,4/27/1998,,92,"VENTURE STORES, INC.",PEORIA,IL,61614
1621,"VENTURE STORES, INC.",2800 N WATER STREET ,4/27/1998,,75,"VENTURE STORES, INC.",DECATUR,IL,62526
1622,ROBBINS RESOURCE RECOVERY FACILITY,13400 S KEDZIE AVENUE ,8/8/2000,,142,ROBBINS RESOURCE RECOVERY FACILITY,ROBBINS,IL,60472
1623,"VENTURE STORES, INC.",2115 S MCARTHUR BLVD ,4/27/1998,,96,"VENTURE STORES, INC.",SPRINGFIELD,IL,62704-4501
1624,"VENTURE STORES, INC.",1050 N ROUTE 53 ,4/27/1998,,77,"VENTURE STORES, INC.",ADDISON,IL,60101-1034
1625,"VENTURE STORES, INC.",7401 LEMONT ROAD ,4/27/1998,,90,"VENTURE STORES, INC.",DOWNERS GROVE,IL,60516-3805
1626,"VENTURE STORES, INC.",510 S ROUTE 59 ,4/27/1998,,86,"VENTURE STORES, INC.",NAPERVILLE,IL,60540-0915
1627,"VENTURE STORES, INC.",17W734 22ND STREET ,4/27/1998,,124,"VENTURE STORES, INC.",OAK BROOK TERACE,IL,60181-4402
1628,"VENTURE STORES, INC.",1250 N LAKE STREET ,4/27/1998,,69,"VENTURE STORES, INC.",AURORA,IL,60506-2453
1629,"VENTURE STORES, INC.",450 AIRPORT ROAD ,4/27/1998,,55,"VENTURE STORES, INC.",ELGIN,IL,60123-9333
1630,"VENTURE STORES, INC.",2100 S RANDALL ROAD ,4/27/1998,,69,"VENTURE STORES, INC.",GENEVA,IL,60134-3990
1631,"VENTURE STORES, INC.",1555 S LAKE STREET ,4/27/1998,,74,"VENTURE STORES, INC.",MUNDELEIN,IL,60060
1632,"VENTURE STORES, INC.",2700 BELLVIDERE ROAD ,4/27/1998,,105,"VENTURE STORES, INC.",WAUKEGAN,IL,60085-6008
1633,"VENTURE STORES, INC.",7230 WESTSSTORE PLAZA DR ,4/27/1998,,76,"VENTURE STORES, INC.",BELLEVILLE,IL,62223
1634,"VENTURE STORES, INC.",5401 COLLINSVILLE ROAD ,4/27/1998,,57,"VENTURE STORES, INC.",FAIRMONT CITY,IL,62201-2335
1635,"VENTURE STORES, INC.",6525 N ILLINOIS ,4/27/1998,,96,"VENTURE STORES, INC.",FAIRVIEW HEIGHTS,IL,62208-2001
1636,"VENTURE STORES, INC.",5100 W 70TH PLACE ,4/27/1998,,205,"VENTURE STORES, INC.",BEDFORD PARK,IL,60638-6420
1637,"VENTURE STORES, INC.",7725 SOUTH HARLEM ,4/27/1998,,110,"VENTURE STORES, INC.",BRIDGEVIEW,IL,60455-1318
