,company_name,location,notice_date,employees_affected,Incident Type
354,Integrated Manufacturing & Assembly,Detroit,2/6/2019,175,Mass Layoff
355,Dakkota Integrated Systems,Brownstown,2/19/2019,106,Mass Layoff
356,The RADGroup,Troy,2/19/2019,9,Mass Layoff
357,Amstore Corporation,Grand Rapids,2/25/2019,145,Plant Closing
358,Target,Sterling Heights,2/26/2019,136,Plant Closing
359,Kerry Incorporated,Kentwood,2/28/2019,107,Plant Closing
360,AMI Livonia LLC,Livonia,3/12/2019,96,Plant Closing
361,Lapeer Industries Inc,Lapeer,3/12/2019,160,Mass Layoff
362,Vibra Hospital,Lincoln Park,3/21/2019,89,Plant Closing
363,Fifth Third Bank,Ann Arbor,3/22/2019,87,Mass Layoff
364,Thomson Shore,Dexter,3/25/2019,80,Mass Layoff
365,Kroger,Mt Pleasant,3/27/2019,91,Plant Closing
366,Detroit Renewable Power,Detroit,3/27/2019,166,Plant Closing
367,TreeHouse Private Brands,Battle Creek,3/28/2019,75,Plant Closing
368,Fiat Chrysler Automobiles (FCA),Detroit,4/1/2019,703,Plant Closing
369,Falcon Transport Company,Romulus,4/30/2019,84,Plant Closing
370,Amway,Ada,5/3/2019,115,Mass Layoff
371,"Concerto of Michigan, Inc",Kalamazoo,5/6/2019,75,Plant Closing
372,"Concerto of Michigan, Inc",Center Line,5/6/2019,10,Plant Closing
373,"Concerto of Michigan, Inc",Southfield,5/2/2019,54,Plant Closing
374,General Motors,Warren,5/23/2019,265,Plant Closing
375,Durham School Services LP,Ypsilanti,5/28/2019,86,Plant Closing
376,Lord & Taylor,Sterling Heights,6/5/2019,97,Plant Closing
377,Lear Corporation,Taylor,6/10/2019,76,Plant Closing
378,Conifer Health Solutions;,Detroit,6/13/2019,65,Mass Layoff
379,Concentrix Corporation,Southfield,6/26/2019,100,Plant Closing
380,Nordstrom,Clinton Township,7/1/2019,106,Plant Closing
381,"Graham Packaging Company, LP",Holland,7/3/2019,42,Plant Closing
382,Community Development Institute Head Start,Garden City,7/24/2019,49,Mass Layoff
383,Alorica,Jackson,7/26/2019,130,Mass Layoff
384,A123 Systems LLC - Livonia,Livonia,7/30/2019,42,Plant Closing
385,Presbyterian Villages of Michigan,Southfield,8/5/2019,95,Mass Layoff
386,US Steel Corporation - Great Lakes Works,Ecorse,8/5/2019,58,Mass Layoff
387,Venchurs Inc,Adrian,8/16/2019,40,Plant Closing
388,Venchurs Inc,Adrian,8/16/2019,40,Plant Closing
389,Venchurs Inc,Adrian,8/16/2019,40,Plant Closing
390,Venchurs Vehicle Systems LLC,Adrian,8/16/2019,6,Plant Closing
391,Jack Entertainment,Detroit,9/9/2019,92,Plant Closing
392,Nestle,Plymouth,9/3/2019,57,Plant Closing
393,Amway,Ada,9/11/2019,166,Mass Layoff
394,Barber Steel Foundry,Rothbury,9/20/2019,61,Plant Closing
395,Tower International,Livonia,10/2/2019,115,Mass Layoff
396,Alorica,Jackson,10/25/2019,67,Plant Closing
397,OakWood Worldwide (US) LP,Novi,10/30/2019,3,Mass Layoff
398,Hemisphere Design Works,Muskegon,10/29/2019,68,Plant Closing
399,Nestle,Kalamazoo,11/6/2019,7,Mass Layoff
400,AmCane Sugar,Taylor,11/12/2019,73,Plant Closing
401,P&F Systems,Auburn Hills,11/21/2019,50,Plant Closing
402,General Motors Detroit Hamtramck Assembly,Detroit,12/3/2019,,Mass Layoff
403,Logistics Insight Corp.,Detroit,12/9/2019,,Mass Layoff
404,"Focus Hope Companies, Inc.",Detroit,12/16/2019,58,Plant Closing
405,Motus One (ESI),Troy,12/26/2019,37,Mass Layoff
406,U.S. Steel Corporation,Ecorse,12/23/2019,"1,286",Plant Closing
407,Sam's Club #8137,Lansing,1/11/2018,172,Plant Closing
408,Sam's Club #4812,Farmington Hills,1/11/2018,158,Plant Closing
409,Bosal Industries,Ypsilanti,1/31/2018,142,Mass Layoff
410,Elder-Beerman,Adrian,2/5/2018,10,Plant Closing
411,Carson's,Benton Harbor,2/5/2018,50,Plant Closing
412,Compass Group,Statewide,2/5/2018,396,Plant Closing
413,Integrated Manufacturing & Assembly,Highland Park,3/5/2018,127,Mass Layoff
414,"Quest Diagnostics, Inc",Troy,3/8/2018,57,Plant Closing
415,Envoy,Detroit,3/14/2018,114,Plant Closing
416,Live Nation - Filmore Detroit,Detroit,4/2/2018,180,Mass Layoff
417,Younkers,Grandville,4/9/2018,70,Plant Closing
418,Carson's,Livonia,4/9/2018,204,Plant Closing
419,Carson's,Rochester Hills,4/9/2018,130,Plant Closing
420,Carson's,Clinton Twp.,4/9/2018,191,Plant Closing
421,"Trinity Services Group, Inc.",Statewide,4/19/2018,307,Plant Closing
422,Izzyplus,Spring Lake,4/23/2018,72,Plant Closing
423,Carson's,Fort Gratiot,4/19/2018,10,Plant Closing
424,MB Financial Bank,Ann Arbor,4/26/2018,406,Plant Closing
425,MB Financial Bank,Milford,4/26/2018,63,Plant Closing
426,MB Financial Bank,Farmington Hills,4/26/2018,25,Plant Closing
427,MB Financial Bank,Northville,4/26/2018,25,Plant Closing
428,MB Financial Bank,Southfield,4/26/2018,25,Plant Closing
429,MB Financial Bank,Taylor,4/26/2018,25,Plant Closing
430,MB Financial Bank,West Bloomfield,4/26/2018,25,Plant Closing
431,New Center Community Services,Detroit,4/30/2018,66,Plant Closing
432,Sodexo,Detroit,5/3/2018,34,Plant Closing
433,Microline Technology Corporation,Traverse City,5/22/2018,63,Plant Closing
434,Edwards Brothers Malloy Printing,Ann Arbor,6/4/2018,140,Plant Closing
435,Edwards Brothers Malloy Printing,Ann Arbor,6/4/2018,142,Plant Closing
436,Gardens Alive! Farms,Grand Haven,6/4/2018,295,Plant Closing
437,SMART,Detroit,6/8/2018,318,Mass Layoff
438,Country Fresh,Livonia,6/20/2018,85,Plant Closing
439,Teleperformance USA,Grand Rapids,6/21/2018,91,Mass Layoff
440,"Dream Center Education Holdings, LLC",Novi,6/29/2018,116,Plant Closing
441,Kellogg,Battle Creek,7/30/2018,70,Mass Layoff
442,Charter Communications,Walker,8/1/2018,51,Mass Layoff
443,Charter Communications,Livonia,8/6/2018,60,Mass Layoff
444,American Red Cross,Statewide,8/27/2018,284,Mass Layoff
445,Polly's Country Market,Dexter,8/27/2018,49,Plant Closing
446,Great Lakes Coca-Cola,Kalamazoo,9/7/2018,102,Plant Closing
447,Menzies Aviation,Detroit,9/14/2018,189,Mass Layoff
448,LenderLive,Madison Heights,9/19/2018,56,Plant Closing
449,StateFarm,Livonia,10/4/2018,62,Plant Closing
450,"Spectrum Industries Decorative Finishes, Inc",Kentwood,10/8/2018,26,Plant Closing
451,Ernest Industries,Westland,10/16/2018,70,Plant Closing
452,Professional Educational Services Group,Caledonia,10/23/2018,18,Plant Closing
453,Bays Bakery,Detroit,10/24/2018,50,Plant Closing
454,Lowe's - Store #761,Burton,11/5/2018,129,Plant Closing
455,Lowe's - Store 669,Flint,11/5/2018,107,Plant Closing
456,Aunt Millie's,Coldwater,11/5/2018,74,Plant Closing
457,Hard Rock Cafï¿½ International,Detroit,11/27/2018,60,Plant Closing
458,Alphi Manufacturing LLC,Jonesville,11/29/2018,60,Mass Layoff
459,Cracker Barrel Old Country Store,Kalamazoo,11/30/2018,135,Plant Closing
460,Alutiiq Professional Services,Flint,12/4/2018,25,Mass Layoff
461,RCO Engineering,Warren,12/5/2018,68,Mass Layoff
462,GM Detroit Hamtramck,Detroit,12/17/2018,620,Plant Closing
463,GM Detroit Hamtramck LOC,Detroit,12/17/2018,44,Plant Closing
464,GM Brownstown,Brownstown Township,12/17/2018,50,Mass Layoff
465,Adient USA LLC,Charlotte,12/21/2018,212,Plant Closing
466,Bosal Industries,Ypsilanti,12/21/2018,58,Mass Layoff
467,American Seating Company,Grand Rapids,1/4/2017,80,Mass Layoff
468,Macy's,Statewide,1/5/2017,70,Plant Closing
469,Sears,Statewide,1/5/2017,84,Plant Closing
