,company_name,location,notice_date,layoff_date,employees_affected,Layoff Type
158,Embassy Suites - Portland - Wash Sq ,Tigard,2020-05-31 00:00:00,2020-03-29 00:00:00,81.0,Temporary Layoff
159,Interfor - Gilchrist Division,Gilchrist,2020-05-19 00:00:00,2020-06-01 00:00:00,131.0,Temporary Layoff
160,Nordstrom - Clackamas Town Center,Happy Valley,2020-05-11 00:00:00,2020-06-01 00:00:00,189.0,Permanent closure
161,Bright Wood,Madras,2020-05-04 00:00:00,2020-03-23 00:00:00,199.0,Large Layoff - 10 or more workers
162,Bright Wood - Redmond,Redmond,2020-05-04 00:00:00,2020-03-23 00:00:00,12.0,Large Layoff - 10 or more workers
163,Multnomah Street Property,Portland,2020-04-29 00:00:00,2020-03-26 00:00:00,20.0,Permanent closure
164,IVI Hotel Management of Oregon - Innven,"Tukwila, WA",2020-04-29 00:00:00,2020-03-20 00:00:00,350.0,Reduction
165,IVI Hotel Management of Oregon - Innven,"Tukwila, WA",2020-04-29 00:00:00,2020-03-20 00:00:00,18.0,Other
166,DAKINE,Hood River,2020-05-01 00:00:00,2020-05-15 00:00:00,39.0,Permanent closure
167,Portland Art Museum,Portland,2020-04-28 00:00:00,2020-07-01 00:00:00,96.0,Reduction
168,Hertz,"Estero, FL",2020-04-24 00:00:00,2020-06-18 00:00:00,1.0,Reduction
169,Hertz - PDX,Portland,2020-04-24 00:00:00,2020-05-20 00:00:00,17.0,Temporary Layoff
170,Hertz - PDX,Portland,2020-04-24 00:00:00,2020-04-14 00:00:00,67.0,Large Layoff - 10 or more workers
171,Meggitt - Oregon Inc,Mcminnville,2020-04-30 00:00:00,2020-05-18 00:00:00,118.0,Large Layoff - 10 or more workers
172,Regal - Tigard,Tigard,2020-04-29 00:00:00,2020-03-17 00:00:00,68.0,Other
173,Adventist Health - Tillamook,Tillamook,2020-04-23 00:00:00,2020-12-31 00:00:00,7.0,Reduction
174,Adventist Health - Tillamook,Tillamook,2020-04-23 00:00:00,2020-05-05 00:00:00,15.0,Temporary Layoff
175,Adventist Health - Tillamook,Tillamook,2020-04-23 00:00:00,2020-05-05 00:00:00,2.0,Reduction
176,Enterprise Holdings ,Tualatin,2020-04-23 00:00:00,2020-04-30 00:00:00,14.0,Reduction
177,Enterprise Holdings - PDX,Portland,2020-04-23 00:00:00,2020-04-30 00:00:00,18.0,Reduction
178,Enterprise Holdings - Admin,Tualatin,2020-04-23 00:00:00,2020-03-19 00:00:00,262.0,Temporary Layoff
179,Enterprise Holdings - PDX ,Portland,2020-04-23 00:00:00,2020-03-19 00:00:00,60.0,Temporary Layoff
180,Visionworks,"San Antonio, TX",2020-04-23 00:00:00,2020-04-20 00:00:00,103.0,Other
181,Oksenholt Hospitality Company - Meredit,Lincoln City,2020-04-20 00:00:00,2020-03-19 00:00:00,94.0,Large Layoff - 10 or more workers
182,Oksenholt Hospitality Company - Mojo Re,Bend,2020-04-20 00:00:00,2020-03-18 00:00:00,2.0,Large Layoff - 10 or more workers
183,Oksenholt Hospitality - Meredith Lodgin,Bend,2020-04-20 00:00:00,2020-03-17 00:00:00,15.0,Large Layoff - 10 or more workers
184,Women's Healthcare Associates,Portland,2020-04-14 00:00:00,2020-04-13 00:00:00,186.0,Temporary Layoff
185,Enterprise Holdings - PDX,Portland,2020-04-20 00:00:00,2020-03-04 00:00:00,62.0,Temporary Layoff
186,Augusta Sportswear Brands - Coburg,Coburg,2020-04-16 00:00:00,2020-03-31 00:00:00,25.0,Temporary Layoff
187,Augusta Sportswear Brands - Coburg,Coburg,2020-04-16 00:00:00,2020-03-30 00:00:00,21.0,Temporary Layoff
188,Augusta Sportswear Brands - Coburg,Coburg,2020-04-16 00:00:00,2020-03-23 00:00:00,6.0,Temporary Layoff
189,The Portland Clinic,Portland,2020-04-14 00:00:00,2020-06-01 00:00:00,101.0,Reduction
190,The Portland Clinic,Portland,2020-04-14 00:00:00,2020-06-01 00:00:00,90.0,Temporary Layoff
191,The Portland Clinic,Portland,2020-04-14 00:00:00,2020-04-06 00:00:00,193.0,Other
192,The Portland Clinic,Portland,2020-04-14 00:00:00,2020-04-01 00:00:00,234.0,Other
193,John's Incredible Pizza Company ,Beaverton,2020-03-31 00:00:00,2020-04-03 00:00:00,74.0,Temporary Layoff
194,Andale Management Group dba The Country,Portland,2020-04-10 00:00:00,2020-03-17 00:00:00,48.0,Temporary Layoff
195,Eagle Crest Resort,Redmond,2020-04-09 00:00:00,2020-04-10 00:00:00,60.0,Temporary Layoff
196,Multnomah Athletic Club,Portland,2020-04-06 00:00:00,2020-05-01 00:00:00,635.0,Large Layoff - 10 or more workers
197,The Oregon Clinic,Portland,2020-04-08 00:00:00,2020-03-16 00:00:00,820.0,Temporary Layoff
198,Allura - OR,White City,2020-04-08 00:00:00,2020-04-08 00:00:00,80.0,Other
