,company_name,location,notice_date,employees_affected,URL
187,Consolidated Communications,,"Apr 12, 2019",0.0,https://joblink.maine.gov/search/warn_lookups/184
188,Tim Hortons,,"Mar 16, 2019",22.0,https://joblink.maine.gov/search/warn_lookups/185
189,Southern Kennebec Child Development,,"Apr 03, 2019",,https://joblink.maine.gov/search/warn_lookups/186
190,AthenaHealth,,"Apr 16, 2019",20.0,https://joblink.maine.gov/search/warn_lookups/187
191,Propesct Hill Golf Course,,"Apr 25, 2019",1.0,https://joblink.maine.gov/search/warn_lookups/188
192,Edward Laga DDS,,"Apr 29, 2019",5.0,https://joblink.maine.gov/search/warn_lookups/189
193,DaaQuam Lumber,,"Apr 09, 2019",,https://joblink.maine.gov/search/warn_lookups/190
194,Famiies And Children Together,,"Apr 29, 2019",12.0,https://joblink.maine.gov/search/warn_lookups/191
195,fat cats cafe,,"May 02, 2019",4.0,https://joblink.maine.gov/search/warn_lookups/192
196,Broadreach Family & Community Services,,"May 22, 2019",79.0,https://joblink.maine.gov/search/warn_lookups/193
197,Dressbarn,,"May 21, 2019",,https://joblink.maine.gov/search/warn_lookups/194
198,Thornton Academy,,"May 15, 2019",8.0,https://joblink.maine.gov/search/warn_lookups/195
199,Friendlys,,"May 28, 2019",32.0,https://joblink.maine.gov/search/warn_lookups/196
200,Dress Barn,,"May 21, 2019",7.0,https://joblink.maine.gov/search/warn_lookups/197
201,Dress Barn,,"May 21, 2019",,https://joblink.maine.gov/search/warn_lookups/198
202,Dress Barn,,"May 21, 2019",9.0,https://joblink.maine.gov/search/warn_lookups/199
203,Point Lookout Resort,,"Jun 07, 2019",70.0,https://joblink.maine.gov/search/warn_lookups/200
204,Pet Life - Augusta,,"Jun 05, 2019",5.0,https://joblink.maine.gov/search/warn_lookups/201
205,Pet Life,,"Jun 03, 2019",11.0,https://joblink.maine.gov/search/warn_lookups/202
206,RH Foster,,"Jun 10, 2019",7.0,https://joblink.maine.gov/search/warn_lookups/203
207,F&A Market,,"Jun 17, 2019",,https://joblink.maine.gov/search/warn_lookups/204
208,Broadway Hardware,,"Jun 19, 2019",3.0,https://joblink.maine.gov/search/warn_lookups/205
209,Maine Made Furniture Wilton,,"Mar 25, 2019",5.0,https://joblink.maine.gov/search/warn_lookups/206
210,McCain Foods,,"May 24, 2019",60.0,https://joblink.maine.gov/search/warn_lookups/207
211,ReEnergy Holding,,"Mar 29, 2019",,https://joblink.maine.gov/search/warn_lookups/208
212,Jagger,,"Feb 11, 2019",19.0,https://joblink.maine.gov/search/warn_lookups/209
213,The Dress Barn,,"May 21, 2019",8.0,https://joblink.maine.gov/search/warn_lookups/210
214,Habitat for Humanity Restore,,"May 17, 2019",3.0,https://joblink.maine.gov/search/warn_lookups/211
215,US Access / Global Environmental,,"Apr 16, 2019",,https://joblink.maine.gov/search/warn_lookups/212
216,Sears Houlton,,"Jun 19, 2019",4.0,https://joblink.maine.gov/search/warn_lookups/213
217,Kanon Communications,,"Jun 24, 2019",3.0,https://joblink.maine.gov/search/warn_lookups/214
218,Open Door Recovery,,"Jul 01, 2019",23.0,https://joblink.maine.gov/search/warn_lookups/215
219,Stratton Lumber,,"Jul 10, 2019",,https://joblink.maine.gov/search/warn_lookups/216
220,Sitel,,"Jul 16, 2019",94.0,https://joblink.maine.gov/search/warn_lookups/217
221,Ellsworth Collision and Service,,"Jul 29, 2019",0.0,https://joblink.maine.gov/search/warn_lookups/218
222,Lowe's,,"Aug 01, 2019",4.0,https://joblink.maine.gov/search/warn_lookups/219
223,Consolidated Communications,,"Jul 30, 2019",,https://joblink.maine.gov/search/warn_lookups/220
