,company_name,location,notice_date,layoff_date,employees_affected,Type
363,"Protocall Communications, Inc.","204 Main Street Laurel, MD 20707",5/8/2020,3/23/2020,110,2
364,Cox Automotive,"7120 Dorsey Run Road Elkridge, MD 21075",5/8/2020,5/17/2020,161,2
365,"LAZ Parking Mid-Atlantic, LLC","300 E. Lombard Street Suite 930 Baltimore, MD 21202",5/11/2020,3/18/2020,90,2
366,"E&G Corporation, LLC","8730 Greewood Place Savage, MD 20763",5/11/2020,3/30/2020,22,2
367,Delta Hunt Valley,"245 Shawan Road Hunt Valley, MD 21031",5/11/2020,3/20/2020,57,2
368,"PPE Casino Resorts Maryland, LLC d/b/a Live Casino & Hotel","7002 Arundel Mills Circle Hanover, MD 21076",5/12/2020,3/16/2020,2400,2
369,Nordstrom,"1880 Annapolis Mall Annapolis, MD 21401",5/12/2020,6/1/2020,237,1
370,Cambria Suites - Rockville,"1 Helen Heneghan Way Rockville, MD 20850",5/15/2020,3/23/2020,25,2
371,"Maryland Cinema Investments, LLC d/b/a Cinépolis","629 Center Point Way Gaithersburg, MD 20878",5/15/2020,3/23/2020,65,2
372,Crowne Plaza Hotel,"105 W. Fayette Street Baltimore, MD 21201",5/15/2020,3/21/2020,6,2
373,"Evitts Resort, LLC d/b/a Rocky Gap Casino","16701 Lakeview Road Flintstone, Md 21530",5/15/2020,3/16/2020,461,2
374,HMS Host,"107 Fuel Farm Road Baltimore, MD 21240",5/15/2020,3/16/2020,152,2
375,Hyatt Regency Bethesda,"1 Bethesda Metro Center Bethesda, MD 20814",5/15/2020,3/18/2020,95,2
376,Marriott Baltimore,"110 S. Eutaw Street Baltimore, MD 21201",5/15/2020,3/21/2020,120,2
377,Radisson Hotel - Baltimore Inner Harbor,"110 W. Fayette Street Baltimore, MD 21201",5/15/2020,3/21/2020,43,2
378,The Westin - Baltimore Washington Airport,"1110 Old Elkridge Landing Rd Linthicum Heights, MD 21090",5/15/2020,3/27/2020,71,2
379,The Westin - Washington National Harbor,"170 Waterfront Street National Harbor, MD 20745",5/15/2020,3/28/2020,68,2
380,Uncle Julio's,"4870 Bethesda Avenue Bethesda, MD 20814",5/15/2020,3/19/2020,50,2
381,"Guitar Center Stores, Inc.","7114 Geoffrey Way Suite A Frederick, MD 21704",5/15/2020,4/6/2020,105,2
382,Holiday Inn Gaithersburg,"2 Montgomery Village Avenue Gaithersburg, MD 20879",5/15/2020,3/24/2020,57,2
383,Miller's Ale House,"601 Baltimore Pike Bel Air, MD 21014",5/15/2020,3/21/2020,98,2
384,Miller's Ale House,"1471 Rockville Pike Rockville, MD 20852",5/15/2020,3/21/2020,74,2
385,Paper Source,"1809 Reisterstown Road Baltimore, MD 21208",5/15/2020,3/29/2020,14,2
386,Paper Source,"4805 Bethesda Avenue Bethesda, MD 20814",5/15/2020,3/29/2020,15,2
387,"Pier 1 Imports, Inc.","500 Old Post Road Aberdeen, MD 21001",5/15/2020,6/1/2020,134,1
388,Holly Poultry,"2121 Wicomico Street Baltimore, MD 21230",5/15/2020,3/20/2020,36,2
389,Holly Poultry,"2221 Berlin Street Baltimore, MD 21230",5/15/2020,3/20/2020,7,2
390,"Hooters of America, LLC","301 Light Street Suite 173 Baltimore, MD 21202",5/15/2020,3/16/2020,18,2
391,"Hooters of America, LLC","1600 Fedex Way Landover, MD 20785",5/15/2020,3/16/2020,18,2
392,"Hooters of America, LLC","14707-A Baltimore Avenue Laurel, MD 20707",5/15/2020,3/16/2020,18,2
393,"Hooters of America, LLC","3600 Crain Highway Waldorf, MD 20603",5/15/2020,3/16/2020,17,2
394,Charlotte Russe,"8200 Perry Hall Boulevard Unit 2070 Baltimore, MD 21236",5/19/2020,3/27/2020,13,2
395,Charlotte Russe,"11160 Veirs Mill Road Unit 156 Wheaton, MD 20902",5/19/2020,3/27/2020,13,2
396,"GenOn Energy Services, LLC","21200 Martinsburg Road Dickerson, MD 20842",5/19/2020,8/1/2020,63,1
397,North American Dental Group,"1415 River Avenue Suite B Cumberland, MD 21502",5/20/2020,3/23/2020,3,2
398,North American Dental Group,"13975 Connecticut Avenue Suite 309 Silver Spring, MD 20906",5/20/2020,3/23/2020,4,2
399,North American Dental Group,"16069 Comprint Circle Gaithersburg, MD 20877",5/20/2020,3/23/2020,1,2
400,North American Dental Group,"85 Thomas Court Suite A Frederick, MD 21702",5/20/2020,3/23/2020,6,2
401,Sheraton Silver Spring,"8777 Georgia Avenue Silver Spring, MD 20910",5/21/2020,5/7/2020,56,2
402,"Bed, Bath & Beyond","1519 Rockville Pike Rockville, MD 20852",5/27/2020,4/4/2020,95,2
403,Parkhurst Dining Services,"Loyola University 4501 N. Charles Street Baltimore, MD 21210",5/27/2020,4/17/2020,230,2
404,Parkhurst Dining Services,"Maryland Institute College of Art 140 W. Lafayette Ave. Baltimore, MD 21217",5/27/2020,4/17/2020,50,2
405,Prosegur Services Group at BWI,"7050 Friendship Road Baltimore, MD 21240",5/27/2020,5/18/2020,27,2
406,Gaithersburg Marriott Washingtonian Center,"9751 Washingtonian Boulevard Gaithersburg, MD 20878",6/3/2020,3/28/2020,115,2
407,Bethesda North Marriott Hotel & Conference Center,"5701 Marinelli Road North Bethesda, MD 20852",6/3/2020,3/21/2020,230,2
408,Bethesda Marriott Waterfront Hotel,"700 Aliceanna Street Baltimore, MD 21201",6/4/2020,3/21/2020,308,2
409,College Park Marriott Hotel & Conference Center,"3501 University Blvd. E Hyattsville, MD 20783",6/5/2020,3/14/2020,179,2
410,Four Seasons Hotel Baltimore,"200 International Drive Baltimore, MD 21202",6/5/2020,5/24/2020,87,2
