,company_name,location,notice_date,layoff_date,employees_affected,Type
672,MedStar Harbor Hospital,"3001 S. Hanover St. Baltimore, MD 21225",8/31/2018,10/31/2018,55,2
673,MedStar Union Memorial Hospital,"201 E. University Parkway Baltimore, MD 21218",8/31/2018,10/31/2018,63,2
674,CSRA (General Dynamics Information Technology),"9609 Medical Center Drive Rockville, MD 20850",9/27/2018,11/26/2018,122,2
675,Wells Fargo & Company,"8480 Stagecoach Circle Frederick, MD 21701",9/28/2018,11/25/2018,61,2
676,"Dawson's Market (Subsidiary of Ellwood Thompson, Inc.)","225 N. Washington Street Rockville, MD 20850",10/5/2018,10/27/2018,62,2
677,"Lonza Walkersville, Inc.","8830 Biggs Ford Road Walkersville, MD 21793",10/19/2018,12/31/2018,60,2
678,KMART,"835 Solomons Island Road North Prince Frederick, MD 20678",10/25/2018,1/13/2019,82,1
679,KMART,"6163 Oxon Hill Road Oxon Hill, MD 20745",10/26/2018,1/13/2019,96,1
680,First Transit,"7409 Baltimore Annapolis Boulevard Glen Burnie, MD 21061",11/5/2018,1/1/2019,47,1
681,Saks Fith Avenue (Distribution Center),"500 Hickory Drive Aberdeen, MD 21001",11/8/2018,3/1/19 - 8/31/19,TBD,1
682,Crothall Healthcare Laundry Facility,"1350 Brass Mill Road Belcamp, MD 21017",11/13/2018,1/7/2019,152,1
683,"Maintenance Supply Headquarters, LP","13401 Konterra Drive Laurel, MD 20707",11/15/2018,11/9/2018,51,2
684,Sodexo at McDaniel College,"2 College Hill P.O. Box 13A Westminster, MD 21157",11/19/2018,12/31/2018,107,1
685,Wells Fargo & Company,"8480 Stagecoach Circle Frederick, MD 21701",11/19/2018,1/15/2019,8,2
686,GE Healthcare,"8880 Gorman Rd Laurel, MD 20723",11/27/2018,12/31/18 - 7/31/19,76,2
687,"Maines Paper & Food Service, Inc.","1501 Perryman Rd Aberdeen, MD 21001",12/10/2018,2/10/2019,106,2
688,Bridgeview Bank Group,"8820 Columbia Parkway Suite 100 Columbia, MD 21045",12/10/2018,11/11/18 - 12/31/18,41,2
689,Comcast,"8700 B Ritchie Drive, Capitol Heights, MD 20743",1/18/2017,7/14/2017,90,2
690,Whole Foods Market,"1521 Cabin Branch Rd, Landover, MD 20785",1/20/2017,2/12/2017,136,1
691,Good Shepherd Services,"4100 Maple Ave, Baltimore, MD 21227",2/16/2017,4/17/2017,230,1
692,idX,"8901 Snowden River Pkwy, Ste. 100, Columbia, MD 21046",2/22/2017,5/1/2017,68,1
693,"Cempra, Inc.","6320 Quadrangle Drive, Ste. 360, Chapel Hill, NC 27517",2/27/2017,3/1/2017,1,2
694,"HealthStream, Inc.","7710 Montpelier Road, Laurel, MD 20723",3/1/2017,4/30/2017,134,1
695,"HHGregg, Inc.","14301 Mattawoman Drive, Brandywine, MD 20613",3/2/2017,4/30/2017,63,1
696,Canam Steel Corportation,"4010 Clay Street, Point of Rocks, MD 21777",3/9/2017,3/10/2017,80,2
697,Dollar Express,"5110 Indian Head Hwy, Oxon Hill, MD 20745",3/30/2017,6/30/2017,22,1
698,Dollar Express,"2201 Varnum St, Mt. Rainer, MD 20712",3/3020/17,6/30/2017,11,1
699,Dollar Express,"9347 Annapolis Rd, Lanham, MD 20706",3/30/2017,6/30/2017,8,1
700,Dollar Express,"3265 Brinkley Rd, Temple Hills, MD 20748",3/30/2017,6/30/2017,7,1
701,Dollar Express,"9115 Central Ave, Capitol Heights, MD 20743",3/30/2017,6/30/2017,13,1
702,Dollar Express,"5900 Reistertown Rd, Baltimore, MD 21215",3/30/2017,6/30/2017,13,1
703,Dollar Express,"3824 Eastern Ave, Baltimore, MD 21224",3/30/2017,6/30/2017,7,1
704,Dollar Express,"4206 Frankford Ave, Baltimore, MD 21206",3/30/2017,6/30/2017,15,1
705,Dollar Express,"2429 Frederick Ave, Baltimore, MD 21223",3/30/2017,6/30/2017,16,1
706,Dollar Express,"234 Tilghman Rd, Salisbury, MD 21804",3/30/2017,6/30/2017,5,1
707,Dollar Express,"13817 Outlet Dr, Silver Spring, MD 20904",3/30/2017,6/30/2017,13,1
708,"First Transit, Inc.","10745 DeMarr Road, White Plains, MD 20695",5/2/2017,7/1/2017,77,1
709,"Kaydon Ring & Seal, Inc.","1600 Wicomico St, Baltimore, MD 21230",5/17/2017,7/17/2017,217,1
710,Kellogg Company,"11841 Newgate Blvd, Hagerstown, MD 21740",5/26/2017,7/29/2017,76,2
711,Inovalon,"7120 Samuel Morse Drive, Columbia, MD 21046",6/7/2017,7/10/2017,113,2
712,NMS Healthcare of Hagerstown.,"14014 Marsh Pike, Hagerstown, MD 21742",6/29/2017,6/30/2017,approx. 150,1
713,Locke Insulators,"2525 Insulator Dr, Baltimore, MD 21230",7/10/2017,9/8/2017,107,1
714,Direct Energy,"7101 Riverwood Drive, Columbia, MD 21046",7/25/2017,9/12/2017,108,1
715,Volvo Group North America,"7101 Troy Hill Drive Elkridge, MD 21075",7/27/2017,7/28/2017,30,2
716,First Potomac Realty Trust,"10320 Little Patuxent Parkway, Suite 600, Columbia, MD 21044",7/28/2017,10/1/2017,22,2
717,First Potomac Realty Trust,"7600 Wisconsin Ave, Bethesda, MD 20814",7/28/2017,10/1/2017,50,2
718,OrderUp (a subsidiary of Groupon),"2400 Boston St, 2nd Floor, Baltimore, MD 21224",8/1/2017,9/30/2017,70,1
719,"Fibrwrap Construction Services, Inc.","709 East Ordnance Road, Baltimore, MD 21226",8/10/2017,8/2017-12/2018,31,2
720,McArdle Printing Company,"800 Commerce Drive, Upper Marlboro, MD 20774",8/10/2017,9/30/2017,77,1
721,"APTIM Services, LLC","Calvert Cliffs Nuclear Station,1560 Calvert Cliffs Pkwy, Lusby, MD 20657",8/17/2017,8/18/2017,36,2
722,"Lutech Resources, Inc.","Calvert Cliffs Nuclear Station,1560 Calvert Cliffs Pkwy, Lusby, MD 20657",8/23/2017,8/18/2017,36,2
723,Triumph Thermal Systems dba Triumph Electronics Control,"540 Highland Street, Frederick, MD 21701",8/28/2017,12/2017-8/2018,96,1
724,"Charles River Laboratories, Inc.","8501 Progress Drive, Frederick, MD 21701",11/13/2017,3/2018-8/2018,57,1
725,Lord & Taylor,"1600 Annapolis Mall Road, Annapolis, MD 21401",11/16/2017,4/15/2018-4/28/2018,141,1
726,First Guaranty Mortgage Corporation,"5280 Corporate Drive, Suite B200, Frederick, MD 21703",11/27/2017,1/31/2018,82,2
727,The Bon-Ton Stores Inc.,"17301 Valley Mall Road, Hagerstown, MD 21740",11/27/2017,2/22/2018,47,1
728,Acosta Sales & Marketing,"7455 New Ridge Road, Suite R, Hanover, MD 21076",1/5/2016,2/29/2016,7,2
729,Acosta Sales & Marketing,"7455 New Ridge Road, Suite R, Hanover, MD 21076",1/5/2016,2/27/2016,93,2
730,Sims Recycling Solutions,"7575 Washington Blvd, Elkridge, MD 21075",1/5/2016,3/31/2016,86,1
731,Walmart,"2701 Port Covington Dr, Baltimore, MD 21230",1/15/2016,4/15/2016,196,2
732,"C&S Wholesale Grocers, Inc.","100 Lums Road, North East, MD 21901",1/20/2016,3/24/2016,192,1
733,Penn Parking,"9000 Rockville Pike, Bethesda, MD 20892",2/19/2016,3/13/2016,59,2
734,"Graham Packaging Company, L.P.","210 Kane St, Baltimore, MD 21224",2/29/2016,4/1/2016,79,1
735,"Allen Harim Foods, LLC","12041 Cordova Rd, Cordova, MD 21625",3/9/2016,5/9/2016,300,1
736,Safeway,"13814 Outlet Drive, Silver Spring, MD 20904",3/30/2016,5/30/2016,25,1
737,U.S. Foods,"8024 Telegraph Road, Severn, MD 21144",4/6/2016,6/24/2016,304,1
738,Edaptive Systems,"400 Red Brook Blvd, Suite 120, Owings Mills, MD 21117",4/26/2016,6/30/2016,60,2
739,Commune Hotels and Resorts,"612 Cathedral Street, Baltimore, MD 21201",4/27/2016,6/30/2016,49,2
740,Aerospace Testing Alliance,"Tunnel 9 at Moffett Road, Silver Springs, MD 20904",5/2/2016,6/30/2016,23,2
741,"Safeway, Inc","6300 Central Avenue, Seat Pleasant, MD 20743",5/5/2016,7/2/2016,94,1
742,"Safeway, Inc","1902 Vier Mills Road, Rockville, MD 20851",5/5/2016,7/2/2016,70,1
743,"Global Payments, Inc.","10705 Red Run Blvd, Owings Mills, MD 21117",5/26/2016,7/30/2016,334,2
744,"Mars Super Markets, Inc.","7200 Holabird Ave, Baltimore, MD 21222",5/27/2016,7/31/2016,84,1
745,"Mars Super Markets, Inc.","7848 Wise Ave Baltimore, MD 21222",5/27/2016,7/31/2016,119,1
746,"Mars Super Markets, Inc.","165 Orville Rd Baltimore, MD 21221",5/27/2016,7/31/2016,105,1
747,"Mars Super Markets, Inc.","9613 M Harford Rd Baltimore, MD 21234",5/27/2016,7/31/2016,104,1
748,"Mars Super Markets, Inc.","5-15 Padonia Rd Timonium, MD 21093",5/27/2016,7/31/2016,62,1
749,"Mars Super Markets, Inc.","9544 Philadelphia Rd Baltimore, MD 21237",5/27/2016,7/31/2016,52,1
750,"Mars Super Markets, Inc.","1811 York Road Timonium, MD 21093",5/27/2016,7/31/2016,78,1
751,"Mars Super Markets, Inc.","11953 Reisterstown Rd Reisterstown, MD 21136",5/27/2016,7/31/2016,72,1
752,"Mars Super Markets, Inc.","8667 Belair Rd Baltimore, MD 21236",5/27/2016,7/31/2016,75,1
753,"Mars Super Markets, Inc.","1401 Pulaski Hwy Edgewood, MD 21040",5/27/2016,7/31/2016,72,1
754,"Mars Super Markets, Inc.","1080 Maiden Choice Ln Arbutus, MD 21227",5/27/2016,7/31/2016,104,1
755,"Mars Super Markets, Inc.","9150 Baltimore National Pike, Ellicott City, MD 21042",5/27/2016,7/31/2016,70,1
756,"Mars Super Markets, Inc.","1700 E. Northern Pkwy Baltimore, MD 21239",5/27/2016,7/31/2016,75,1
757,MTC Facility,"8803 Kelso Drive Essex, MD 21221",5/27/2016,7/31/2016,20,1
758,Main Office,"9627 Philadelphia Rd Baltimore, MD 21237",5/27/2016,7/31/2016,64,1
759,U.S. Foods,"8024 Telegraph Road, Severn, MD 21144",6/23/2016,6/24/2016,147,2
760,"The Hedwin Division of Zacros America, Inc.","1600 Roland Heights Ave, Baltimore, MD 21211",6/28/2016,8/28/2016,129,1
761,"Safeway, Inc.","14100 Baltimore Ave, Laurel, MD 20707",8/22/2016,10/22/2016,75,1
762,"SecTek, Inc.","8601 Adelphi Rd, College Park, MD 20740; and 700 Pennsylvania Ave, Washington, D.C. 20408",8/29/2016,8/31/2016,137,2
763,American Capital,"2 Bethesda Metro Center, Bethesda, MD 20814",8/31/2016,1/1/2017,138,2
764,"Finiti Title, LLC","7090 Samuel Morse Drive, Columbia, MD 21046",9/1/2016,11/1/2016,100,1
765,"Adventist Healthcare, Inc.","821 Fieldcrest Rd, Cambridge, MD 21613",9/20/2016,11/30/2016,90,2
766,"SunEdison, Inc.","7550 Wisconsin Ave, Bethesda, MD 20814",9/28/2016,9/29/2016,2,2
767,"Harte Hanks Marketing, Inc.","4545 Annapolis Rd, Baltimore, MD 21227",9/28/2016,11/18/2016,112,1
768,"Office Paper Systems, Inc.","7650 Airpark Road, Gaithersburg, MD 20879",9/28/2016,9/9/2016,29,1
769,"Europ Assistance USA, Inc","4330 East-West Hwy, Bethesda, MD 20814",10/25/2016,1/6/2017,36,2
770,Ameritas Insurance Company,"7315 Wisconsin Ave # 1000W, Bethesda, MD 20814",10/25/2016,12/30/2016,94,2
771,"Simpson Strong-Tie, Inc.","3100 Falls Cliff Road, Baltimore, MD 21211",11/4/2016,2/28/2017,73,1
772,Kraft Heinz Foods Company,"300 Reliance Ave, Federalsburg, MD 21632",11/11/2016,1/13/2017,73,1
773,"Kenoc Logistic Services, LLC's","521 Chelsea Road, Aberdeen, MD 21001",11/21/2016,1/22/2017,115,2
774,Transamerica Life Insurance Company,"100 Light St, Baltimore, MD 21202",12/2/2016,2/3/2017,25,2
775,"CoreLogic, Inc.","7090 Samuel Morse Dr, Columbia, MD 21046",12/7/2016,2/7/2017,10,2
776,The Kane Company,"6500 Kane Way, Elkridge, MD 21075",12/13/2016,12/9/2016,900,1
777,"Market Day, LLC","8265 Patuxent Range Road, Ste L, Jessup, MD 20794",1/7/2015,3/7/2015,26,2
778,"Actavis, Inc.","10065 Red Run Blvd, Owings Mills, MD 21117",1/9/2015,3/9/2015,33,1
779,Ciena Corporation,"900 Elkridge Landing RD, Ste 120, Linthicum, MD 21090",1/13/2015,5/29/2015,57,2
780,"DynCorp International, LLC","U.S.Navy's Fleet Readiness Center- Aviation Support Equipment, Solomons Complex, Bldg 105, B Ave, Solomons Island, MD 20688",2/3/2015,3/4/2015,121,2
781,RadioShack Corporation,"100 Tandy Drive, Hagerstown, MD 21740",2/4/2015,3/11/2015,87,1
782,Jos. A. Bank,"500 Hanover Pike, Hampstead, MD 21074",3/27/2015,5/29/2015,122,2
783,AFP Logistics & Service,"2020 Washington Blvd, Baltimore, MD 21230",4/8/2015,6/7/2015,16,2
784,"American Forest Products, LLC","1800 Washington Blvd, Ste 140, Baltimore, MD 21230",4/8/2015,6/7/2015,58,2
785,"Riverbed Technology, Inc.","7255 Woodmont Ave, Bethesda, MD 20814",4/21/2015,6/30/2015,69,2
786,Unilever,"3701 Southwestern Blvd, Baltimore, MD 21229",4/28/2015,5/29/2015,137,1
787,Safran Labinal Power Systems,"600 Glen Ave, Salisbury, MD 21804",5/6/2015,7/6/2015,480,1
788,Orion Safety Products,"28320 St. Michaels Road, Easton, MD 21601",5/22/2015,8/28/2015,54,2
789,"T. Rowe Price Associates, Inc.","4515 Painters Mill Road, Owings Mills, MD 21117",6/1/2015,7/31/2015,211,2
790,Prince George's County Gazette,"13501 Konterra Road, Laurel, MD 20707",6/12/2015,8/11/2015,15,1
791,Montgomery County Gazette,"9030 Comprint Court, Gaithersburg, MD 20877",6/12/2015,8/11/2015,69,1
792,"Diageo Americas Supply, Inc.","5001 Washington Blvd, Baltimore, MD 21227",6/25/2015,8/31/2015,64,2
793,"Dunbar Armored, Inc.","4983 Mercantile Dr, White Marsh, MD 21236",6/30/2015,8/24/2015,100,2
794,Kmart Corporation,"7923 Bel Air Rd, Baltimore, MD 21236",7/29/2015,11/1/2015,102,1
795,"Atlantic & Pacific Tea Company (c/o Superfresh Food Markets, Inc.)","3507 Coastal Hwy; and 12741 Ocean Gateway, Ocean City, MD 21842",8/12/2015,11/12/2015,157,1
796,"ZeniMax Media, Inc.","101 Schilling Road, Hunt Valley, MD 21031",8/14/2015,8/19/2015,25,2
797,"CROWN Cork and Seal USA, Inc.","8801 Citation Road, Baltimore, MD 21221",8/31/2015,10/30/2015,47,1
798,Sonco Worldwide,"5000 Windom Rd, Bladensburg, MD 20710",9/1/2015,10/31/2015,100,1
799,The Home Depot,"16500 Hunters Green Pkwy, Hagerstown, MD 21740",9/8/2015,11/10/2015,315,2
800,Colonial Parking,"9000 Rockville Pike, Bethesda, MD 20892",9/9/2015,10/14/2015,60,2
801,Branch Banking and Trust Corporation (BB&T),"13511 Label Lane, Hagerstown, MD 21470",9/16/2015,10/9/2015,126,2
802,Dimensions Healthcare System,"Laurel Regional Hospital, 7300 Van Dusen Rd, Laurel, MD 20707",9/18/2015,10/10/2015,118,2
803,"Collington Services, LLC","16020 Leeland Rd, Upper Marlboro, MD 20774; 6300 Columbia Park Rd, Landover, MD 20785",10/6/2015,12/5/2015,191,1
804,"Calvert Investments, Inc.","4550 Montgomery Ave, Bethesda, MD 20814",11/3/2015,12/31/2015,41,2
805,"Voltronics, LLC","2250 Northwood Drive, Salisbury, MD 21801",11/18/2015,9/30/2016,26,2
806,"Scripps Networks Interactive, Inc.","5425 Wisconsin Ave, Ste. 500, Chevy Chase, MD 20815",11/19/2015,1/19/2016,78,2
807,Aramark,"Mount St. Mary’s University, 16300 Old Emmitsburg Road, Emmitsburg, MD 21727",11/20/2015,12/31/2015,83,2
808,Giant (Pharmacy Distribution Center),"7110 Ambassador Road, Baltimore, MD 21244",12/1/2015,1/30/2016,89,2
809,Sears Holdings Corporation Product Rebuild Center,"2101 Brightseat Road, Landover, MD 20785",1/3/2014,3/16/2014,86,1
810,Mars Super Markets Inc.,"1401 Edison Highway, Baltimore, MD 21213",1/8/2014,3/9/2014,78,1
811,"PAE Applied Technologies, LLC","Patuxent River NAS 47758 Ranch Road, Building 1492, Patuxent River, MD 20670",1/17/2014,2/24/2014,105,1
812,Winner Distributing Company,"7616 Canton Center Drive, Baltimore, MD 21224",1/29/2014,2/29/2014,125,1
813,Ascend One,"9755 Patuxent Woods Drive, Suite 100, Columbia, MD 21046",1/31/2014,3/31/2014,147,2
814,"HDA, Inc and N-Store Merchandising, Inc",No specific location,2/4/2014,2/3/2014,37,2
815,Meritus Health,"11116 Medical Campus Road, Hagerstown, MD 21742",2/11/2014,2/11/2014,56,1
816,Sun Products Corporation,"5300 Holabird Ave, Baltimore, MD 21224",2/12/2014,4/1/2014,300,1
817,Verizon Wireless,"7401 Coca Cola Drive, Hanover, MD 20176",2/21/2014,5/8/2014,361,2
818,Verizon Wireless,"7600 Montpelier Road, Laurel, MD 20723",2/21/2014,5/8/2014,11,2
819,Emery Federal Credit Union,"90 Painters Mill Road, STE 215, Owings Mills, MD 21117",3/6/2014,3/7/2014,78,1
820,Aramark Educational Services,"Frostburg State University, 101 Braddock Road, Chesapeake Hall, Frostburg, MD 21532",3/11/2014,5/22/2014,172,1
821,Saputo,"14738 Warfordsburg Road, Hancock, MD 21750",3/26/2014,6/27/2014,60,1
822,Crossroads Hospitality Management Co. (Sheraton Baltimore City Center),"101 W. Fayette Street, Baltimore, MD 21201",3/28/2014,5/29/2014,Initially 110 (Possibly as high as 160),2 (Possibly turning into a closure)
823,First Transit,"6333 Macaw Court, Elkridge, MD 21075",4/15/2014,7/1/2014,150,1
824,BAE Systems,"23481 Cottonwood Parkway, California, MD 20619",5/1/2014,6/30/2014,172,1
825,Nielsen Audio Inc.,"9705 Patuxent Woods Drive, Columbia, MD 21046",5/6/2014,8/31/2014,325,2
826,PetSmart,"16522A Huntersgreen Pkwy, Hagerstown, MD 21740",5/23/2014,7/24/2014,56,1
827,Charles River Laboratories,"8501 Progress Drive, Frederick, MD 21701",7/9/2014,9/25/2014,76,2
828,Office Depot Max,"6745 Business Parkway, Elkridge, MD 21075",7/10/2014,9/5/2014,54,1
829,RoundPoint Mortgage Company,"15825 Shady Grove Road, Suite 20, Rockville, MD 20850",7/21/2014,9/19/2014,68,2
830,Vencore Services,"8800 Greenbelt Road, Greenbelt, MD 20771",8/12/2014,9/30/2014,Unknown,1
831,General Dynamics Information Technology,"2600 Tower Oaks Blvd, Ste 600, Rockville, MD 20852",8/19/2014,10/18/14,61,2
832,Murry's Inc.,"8300 Pennsylvania Ave, Upper Marlboro, MD 20772",9/10/2014,11/10/2014,64,2
833,"Nielsen Audio, Inc.","9705 Patuxent Woods Dr, Columbia, MD 21046",9/19/2014,11/23/2014,80,2
834,CORIX Utilities,"8803 Kelso Dr., Essex, MD 21221",9/22/2014,9/23/2014,116,1
835,Kmart,"5760 Wabash Ave, Baltimore, MD 21215",9/23/2014,11/30/2014,107,1
836,"Dolce International/Potomac, Inc.","9600 Newbridge Dr, Potomac, MD 20854",10/22/2014,12/31/2014,261,2
837,"Trinity Services Group, Inc","901 Greenmount Ave, Baltimore, MD",12/17/2014,1/31/2015,143,2
838,Serco Inc.,"6731 Columbia Gateway Drive Suite 300A, Columbia, MD 21046",3/6/2013,Unknown at this time,308,2
839,Serco Inc.,"2099 Gaither Road, Third Floor, Rockville, MD 20850-4040",3/6/2013,Unknown at this time,38,2
840,Serco Inc.,"4700 Silver Hill Road, Rm 3517 Suitland, MD 20746",3/6/2013,Unknown at this time,82,2
841,Serco Inc.,"4305 Susquehanna Ave, Rm 145, Aberdeen Proving Ground, MD 21005-5001",3/6/2013,Unknown at this time,27,2
842,Serco inc.,"8901 Wisconsin Avenue, Bld 17 Ste. 1B, Bethesda, MD 20889-5600",3/6/2013,Unknown at this time,23,2
843,American Suzuki Motor Corporation,"3251 E. Imperial Highway, Brea, CA",1/11/2013,3/14/2013,2,2
844,"Eby F.A Davis, LLC","6610 Cabot Drive, Baltimore, MD 21226",2/7/2013,4/22/2013,194,1
845,Flying Food Group LLC,"15800 Commerce Court, Upper Marlboro, MD 20774",2/19/2013,4/22/2013,68,1
846,Sodexo Inc.,"Loyola College-Maryland, 4501 N. Charles St., Baltimore, MD 21210",3/18/2013,5/31/2013,190,1
847,MV Transportation,"6500 Ammendale Road Beltsville, MD 20705",4/10/2013,6/11/2013,188,1
848,MV Transportation,"8540 Ashwood Drive Capitol Heights, MD 20743",4/12/2013,6/13/2013,447,1
849,"Marriott International, Inc.","10400 Fernwood Road, Bethesda, MD 20817",4/22/2013,6/28/2013,Starting with 35 leading up to several hundred by December 2013,1
850,"Marriott International, Inc.","9737 Washingtonian Boulevard, Suite 501, Gaithersburg, MD 20878",4/22/2013,6/28/2013,Starting with 35 leading up to several hundred by December 2013,1
851,"Marriott International, Inc.","7300 Crestwood Boulevard, Frederick, MD 21703",4/22/2013,6/28/2013,Starting with 35 leading up to several hundred by December 2013,1
852,"ARAMARK Educational Services, LLC","Johns Hopkins University, 3400 North Charles Street; AMR1-LL Basement Baltimore, MD 21218",4/29/2013,6/30/2013,202,1
853,Comcast,"1301 McCormick Drive Largo, MD 20774",5/16/2013,9/7/2013,145,2
854,Complementary Coatings Corp,"4701 O'Donnell Street, Baltimore, MD 21224",7/8/2013,9/13/2013,52,1
855,Smithfield,"5801 Columbia Park Road Landover, MD 20785",7/16/2013,9/14/2013,156,1
856,"MVM, Inc.","1325 East West Highway, Silver Spring, MD 20910",7/22/2013,9/30/2013,"Total 106 (at this time, number impacted at this location is unknown)",2
857,"MVM, Inc.","1315 East West Highway, Silver Spring, MD 20910",7/22/2013,9/30/2013,"Total 106 (at this time, number impacted at this location is unknown)",2
858,"MVM, Inc.","1305 East West Highway, Silver Spring, MD 20910",7/22/2013,9/30/2013,"Total 106 (at this time, number impacted at this location is unknown)",2
859,"MVM, Inc.","5830 University Research Court, College Park, MD 20740",7/22/2013,9/30/2013,"Total 106 (at this time, number impacted at this location is unknown)",2
860,NCO Financial Systems,"7595 Montevideo Road, Jessup, MD 20794",7/31/2013,9/30/2013,86,1
861,Terrapin Systems LLC.,"1201 Seven Locks Road, Suite 300, Rockville, MD 20854",9/10/2013,11/15/2013,173,1
862,"Laboratory Partners, Inc. (Suburban Medical Laboratory)","6800 Virginia Manor Road, Beltsville, MD 20705",10/21/2013,12/13/2013,Not sure of the number of impacted workers in MD at this time,Unsure at this time
863,"Nielsen Audio, Inc.","9705, 9700, 9740 & 9830 Patuxent Woods Drive, Columbia, MD 21046",11/14/2013,1/14/2014,333,2
864,MedStar Health,"MFSMC, 9000 Franklin Square Drive, Baltimore, MD 21237",11/27/2013,1/31/2014,43,2
865,MedStar Health,"MGSH, 5601 Loch Raven Blvd., Baltimore, MD 21218",11/27/2013,1/31/2014,19,2
866,MedStar Health,"MHH, 3001 S. Hanover St., Baltimore, MD 21225",11/27/2013,1/31/2014,29,2
867,MedStar Health,"MMMC, 18101 Prince Phillip Drive, Olney, MD 20831",11/27/2013,1/31/2014,24,2
868,MedStar Health,"MUMH, 201 E. University Parkway, Baltimore, MD 21218",11/27/2013,1/31/2014,26,2
869,MedStar Health,"MedStar Health, 9105 Franklin Square Drive, Baltimore, MD 21237",11/27/2013,1/31/2014,4,2
870,MedStar Health,"MedStar Health, 600 Pulaski Park Drive, Baltimore, MD 21220",11/27/2013,1/31/2014,2,2
871,Saks Incorporated,"500 Hickory Drive, Aberdeen, MD 21001",12/4/2013,1/3/2014,191,2
872,Worthington Industries,"8911 Kelso Drive, Baltimore, MD 21221",12/10/2013,2/10/2014,54,1
873,Baltimore County Savings Bank,"4111 East Joppa Road, Suite 300, Baltimore MD 21236",12/10/2013,2/14/2014,53,2
874,First National Bank,"9250 Rumsey Road, Suite 102, Columbia, MD 21045",12/16/2013,2/20/2014,11,1
875,Bloomingdales,"11305 Rockville Pike, Kensington, MD",1/4/2012,3/17/2012,184,1
876,Macy's,"14828 Baltimore-Washington Boulevard, Laurel, MD",1/6/2012,3/9/2012,113,1
877,SSP America,"501 McCormick Drive #J, Glen Burnie, MD",1/19/2012,1/3/2012,112,1
878,Adventist Behavioral Health,"14 Romig Drive, Crownsville, MD",1/30/2012,3/31/2012,100,1
879,Stanley Black & Decker,"2631 Sisson Street, Baltimore MD",2/1/2012,4/1/2012-11/6/2012,142,1
880,DocuLynx,"8007 Corporate Drive, Ste H, Baltimore, MD",2/14/2012,7/31/2012,19,1
881,Northrop Grumman,"P.O. Box 100, Fort Meade, MD",2/15/2012,4/20/2012,224,2
882,DIAGEO,"5001 Washington Blvd., Baltimore , MD",2/23/2012,4/27/2012,34,2
883,"Science Systems and Applications, Inc.","10210 Greenbelt Road, Suite 600, Lanham, MD",3/8/2012,4/30/2012,117,2
884,McKesson Pharmaceutical,"7721 Polk Street, Landover MD",3/16/2012,4/20/2012,106,1
885,ARAMARK,"10000 New Hampshire Avenue, Silver Spring, MD",3/21/2012,5/21/2012,64,1
886,HMS Host,"Maryland House Travel Plaza, I-95, JFK Memorial Highway, Mile Markers 82, Aberdeen, MD & Chesapeake House Travel Plaza, I-95, JFK Memorial Highway, Mile Marker 96.5, North East, MD",4/2/2012,9/15/2012,396,1
887,Harland Clarke Holdings Corp.,"1094 Park 100 Drive, Glen Burnie, MD",4/3/2012,6/2/2012,125,2
888,Best Buy,"118 Shawan Road, Hunt Valley, MD",4/14/2012,6/15/2012,68,1
889,Sears,"16331 Shady Grove Road, Gaithersburg, MD",4/16/2012,6/16/2012,82,1
890,Jessup Logistics,"7805 Assateague Drive, Jessup, MD",4/25/2012,6/30/2012,244,1
891,Capital One,"1352 ""A"" Charwood Road, Hanover, MD",5/2/2012,4th quarter of this year,40,1
892,Phillips Foods Inc.,"1215 E. Fort Avenue, Baltimore, MD",5/3/2012,7/1/2012,100,1
893,Saks Fifth Avenue,"500 Hickory Drive, Abredeen, MD",5/4/2012,5/28/2012,223,2
894,University of Maryland Medical System chronic care programs offered at University Specialty Hospital,"601 South Charles Street, Baltimore, MD",5/4/2012,7/11/2012,350,1
895,Hostess Brands Inc.,"3675 Leonardtown Road, Waldorf, MD",5/4/2012,7/3/2012,158,1
896,Hostess Brands Inc.,"11400 Baltimore Boulevard, Beltsville, MD",5/4/2012,7/3/2012,34,1
897,Unilever Ice Cream,"1100 Frederick Street, Hagerstown, MD",5/9/2012,7/27/2012,420,"1 *Note-This is an update to the WARN sent by the company on September 2, 2011"
898,RG Steel LLC,"1430 Sparrows Point Blvd., Sparrows Point, MD",5/23/2012,6/4/2012,1975,"The company is idling the plant, unsure at this time if temporary or permanent"
899,iAP Worldwide Services,"8901 Rockville Pike, Bethesda, MD",6/4/2012,6/18/2012,99,1
900,Capital One,"7501 Wisconsin Ave., Bethesda, MD",6/26/2012,11/5/2012,80,2
901,Bank of America,"11333 McCormick Road, Hunt Valley, MD",7/17/2012,11/30/2012,55,2
902,G4S Government Solutions Inc.,"Fort Meade, 4217 Roberts Ave., Ste 320, Fort Meade, MD",8/2/2012,9/30/2012,62,1
903,G4S Government Solutions Inc.,"Walter Reed Medical Center, Forest Glen Annex, 2460 Linden Lane, Bldg. #605, PMO/WSI, Silver Spring, MD",8/2/2012,9/30/2012,31,1
904,Ritz Camera & Image,"6711 Ritz Way, Beltsville, MD",8/14/2012,9/6/2012,72,1
905,Harborside Nursing & Rehabilitation Center,"501 West Franklin Street, Baltimore, MD",8/24/2012,8/25/2012,71,2
906,Human Genome Sciences,"14200 Shady Grove Road, Rockville, MD",8/30/2012,10/30/2012,114,2
907,"White Marsh Distribution, LLC","10000 Franklin Square Drive, White Marsh, MD",9/7/2012,11/30/2012,120,1
