,company_name,location,notice_date,employees_affected
158,Leprino Foods,Ravenna,9/3/2013,168
159,"Oakland Logistics Service, Inc.",Grand Island,8/26/2013,319
160,"OTR Logistics, Inc.",Grand Island,8/26/2013,8
161,QBE North America,Lincoln,4/15/2013,113
162,First Student,Omaha,4/4/2013,500
163,American Suzuki Motor Corporation,Butler County,1/22/2013,1
164,"AMES Companies, Inc.",Falls City,12/31/2013,22
165,Lancaster County Community Mental Health Center,Lincoln,12/31/2013,70
166,Pacific Coast Feather Company,Wayne,12/31/2013,117
167,Dress Barn,Nebraska City,12/21/2013,11
168,Dress Barn,Nebraska City,12/21/2013,11
169,DressBarn,Nebraska City,12/21/2013,11
170,MBA Poultry,Tecumseh,12/13/2013,9
171,CSG Systems International Inc.,Omaha,12/5/2013,36
172,"School Specialty, Inc. - Hammond & Stephens",Fremont,11/30/2013,52
173,Blockbuster,Lincoln - 27th St./Superior,11/22/2013,7
174,Schroeder's Jack & Jill,Fairbury,11/17/2013,12
175,Great Harvest Bread,Lincoln,11/16/2013,5
176,Leprino Foods,Ravenna,11/8/2013,168
177,Hewlett Packard,Omaha - Farnam Dr.,11/4/2013,100
178,Pet Sense,Columbus,10/27/2013,6
179,"Oakland Logistics Service, Inc.",Grand Island,10/22/2013,319
180,"OTR Logistics, Inc.",Grand Island,10/22/2013,8
181,Bubba Foods,Hastings,9/7/2013,11
182,Pawnee Assisted Living Hotel,North Platte,8/31/2013,10
183,Bubba Foods,Hastings,8/30/2013,11
184,"AMES Companies, Inc.",Falls City,8/30/2013,15
185,Village Inn Corporation,North Platte,8/27/2013,15
186,Grede LLC,Omaha,7/31/2013,56
187,Kayton International,Norfolk,7/31/2013,10
188,Grede LLC,Omaha,7/12/2013,1
189,Wesley Crisis Nursery Center,Norfolk,7/1/2013,2
190,First Student,Omaha,6/30/2013,500
191,Salvation Army,Grand Island,6/15/2013,10
192,Novartis,Lincoln2,5/16/2013,72
193,QBE North America,Lincoln,5/10/2013,70
194,First Data,Omaha,4/26/2013,60
195,Classen Manufacturing,Norfolk,4/24/2013,22
196,QBE North America,Lincoln,4/16/2013,44
197,"Even Temp, Inc.",Waco,4/8/2013,11
198,American Suzuki Motor Corporation,Butler County,3/14/2013,1
199,Schreiber Foods Inc.,Ravenna,2/28/2013,43
200,TriWest Healthcare Alliance,Offutt AFB,2/15/2013,7
201,Pitney Bowes Presort Services,Omaha,2/8/2013,33
202,Ag Processing Inc.,Hastings,2/1/2013,43
203,Wisconsin Physician Services,Omaha,1/25/2013,22
204,Stepping Stones Daycare,Omaha,1/2/2013,17
205,"Merrick Manor, Litzenberg Memorial County Hospital",Central City,1/1/2013,12
206,"Skyline Manor, Inc.",Omaha,11/3/2014,200
207,Tenneco,Cozad,10/28/2014,2
208,Nationstar,Scottsbluff,10/14/2014,114
209,Nationstar,Scottsbluff,8/19/2014,90
210,West Corporation,Omaha,5/16/2014,244
211,Cox Communications,Omaha,4/2/2014,77
212,"HDA, Inc. & N-Store Merchandising, Inc.",Statewide,2/3/2014,20
213,Tenneco,Cozad,12/31/2014,2
214,Agrium Advanced Technologies,Fairbury,12/15/2014,25
215,CNH America LLC,Grand Island,11/14/2014,2
216,Novartis,Lincoln2,11/3/2014,17
217,Sun Mart,Lincoln (S. 48th Street),10/31/2014,19
218,Bag'n Save/No Frills,Omaha (Dodge),10/25/2014,0
219,Bag'n Save/No Frills,Omaha (N. 114th St.),10/25/2014,0
220,CNH America LLC,Grand Island,10/24/2014,2
221,CNH America LLC,Grand Island,10/17/2014,30
222,Nationstar,Scottsbluff,10/14/2014,78
223,Store Kraft,Beatrice,10/10/2014,44
224,CNH America LLC,Grand Island,10/10/2014,103
225,Store Kraft,Beatrice,10/9/2014,1
226,Store Kraft,Beatrice,10/7/2014,2
227,Store Kraft,Beatrice,10/6/2014,56
228,ADM Alliance Nutrition,Cozad,10/1/2014,15
229,Big Apple Bagels,Norfolk,8/29/2014,11
230,Milk Specialties,Norfolk,8/19/2014,15
231,West Corporation,Omaha,7/12/2014,47
232,Old Home Bakery,North Platte,6/11/2014,7
233,K-Mart,Grand Island,6/6/2014,14
234,Cox Communications,Omaha,6/1/2014,77
235,Norfolk Family Medicine,Norfolk,5/31/2014,21
236,"Transport Plus of Lincoln, Inc.",Lincoln,5/18/2014,16
237,Cedar Bowl/Touch Down Club,North Platte,5/14/2014,35
238,Nationstar,Scottsbluff,4/30/2014,50
239,McKesson Medical Surgical,Omaha,4/18/2014,17
240,Four Seasons Mini-Mart,Pierce,4/15/2014,2
241,Milk Specialties,Norfolk,4/8/2014,15
242,Nationstar,Scottsbluff,3/28/2014,50
243,Sun Mart,Hastings,3/21/2014,31
244,B&D Office City,North Platte,2/28/2014,4
245,"Mallory USA, Inc.",South Sioux City,2/28/2014,34
246,"HDA, Inc. & N-Store Merchandising, Inc.",Statewide,2/3/2014,20
247,"International Nutrition, Inc.",Omaha,1/31/2014,25
248,ConAgra Foods,Lincoln,1/10/2014,38
249,IAC Acoustics,Lincoln,11/17/2015,160
